r2,r2_ceiled,nat_ed,eco_ed,model_ed,data_ed,eco_alignment,eco_alignment_strength,model_alignment,model_alignment_strength,data_alignment,data_alignment_strength,ambient,n_samples,resolution
0.0010184722320447294,0.003938269478659315,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.05996784968174116,-0.19840344320503092,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.10242692180016526,-0.3705706941080162,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.0816849822966307,-0.3163330472580396,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.040164445942352245,-0.17678702948128494,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.13838159906906777,-0.7799874595834647,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.13686590205367213,-0.4897401416202118,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.10493797509308984,-0.4481889447187868,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.06613076443890481,-0.28778226613633784,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.024776822145276725,-0.10390140484199353,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.11482765852652482,-0.5684252299070488,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
0.01738096360093632,0.05894007035724316,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.12126192748092549,-0.47473417423619374,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.0967894345551214,-0.4317336143874852,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.09381108072805446,-0.46213261406902856,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.05384178700411825,-0.1729209850994139,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.07933139897514346,-0.30055599748714124,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.10072190358614605,-0.3296899639196748,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.0312727925553179,-0.12502692282965713,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
0.032386964665193044,0.10911581807621698,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.04040845106840402,-0.16590053022145634,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.09029700560135209,-0.3854394088591018,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.08961283401446839,-0.38458810143285643,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.06685948336990721,-0.28185014780373824,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.044459724625875885,-0.1645469615495164,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.11350743375089939,-0.35106564426152037,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.13107526063295727,-0.39380321261439133,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.12339288830895268,-0.7242692294554901,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.05605424047516793,-0.244664657422109,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.12154771260296288,-0.5056916862214185,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.08353110860487314,-0.2950475421032756,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.09420441279256214,-0.34138322573091745,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.11702200409858429,-0.5372009357282431,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.10552403537276694,-0.5584965820408145,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
0.031053728284356034,0.0930486793907431,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.11588348366977971,-0.4667781210705835,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.09536369310804146,-0.35562033012341704,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.08852310792483256,-0.4113605497829095,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.051396957653932485,-0.20159402144692787,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.10508604114166342,-0.4472309763467451,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
0.017655818891838624,0.06543215915351219,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.1303292081895547,-0.37809491338105655,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.07869553658131448,-0.28982275114756806,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.14412566853609626,-0.7437164779158727,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.1214238939949784,-0.5282870295416825,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.03336849555833359,-0.11822447339825125,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.08772830493214039,-0.3602912478695323,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.04026291909848912,-0.1752548254662479,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.14277097956180024,-0.6400937797367579,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.07646641918721771,-0.23865120886033692,20,10,1.01,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
0.05136665971535863,0.14237463010770968,20,10,1.286343898742246,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.05504102473732632,-0.21330729273091675,20,10,1.286343898742246,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.07332791931358341,-0.3320227145528761,20,10,1.286343898742246,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
0.07917147096929313,0.2583539297654698,20,10,1.286343898742246,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.0786868289249922,-0.33652462689317886,20,10,1.286343898742246,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
0.11547479043150678,0.3292755969489766,20,10,1.286343898742246,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.044121127370461005,-0.19028337423178743,20,10,1.286343898742246,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
0.0446355552980457,0.15094877622095004,20,10,1.286343898742246,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.04623164145340566,-0.24552623330365425,20,10,1.286343898742246,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.030079843255417536,-0.1096564166867025,20,10,1.286343898742246,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.07360014454358745,-0.31388198434614734,20,10,1.286343898742246,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
0.009625222198333762,0.026183599878254683,20,10,1.286343898742246,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.02719732764586987,-0.11816300261377985,20,10,1.286343898742246,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.08417531529852364,-0.39961303331470266,20,10,1.286343898742246,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.05718341012261112,-0.22540006760122064,20,10,1.286343898742246,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
0.09783865729435212,0.2894655085467486,20,10,1.286343898742246,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.08011901099398448,-0.32335726460345215,20,10,1.286343898742246,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.10211989885834867,-0.3089381522544756,20,10,1.286343898742246,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.0069132143354490375,-0.026449919972581625,20,10,1.286343898742246,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
0.11526184174113553,0.3308530553201621,20,10,1.286343898742246,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
0.03232459288330777,0.10163956677662435,20,10,1.286343898742246,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.09344716347187175,-0.4438636473583751,20,10,1.286343898742246,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.010487580172922494,-0.03792079540540069,20,10,1.286343898742246,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.017629493300575602,-0.05137657455488683,20,10,1.286343898742246,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
0.12622868517528127,0.36841613451384686,20,10,1.286343898742246,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.05932534739541734,-0.20675701320118134,20,10,1.286343898742246,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
0.13360378675527812,0.3333749260871638,20,10,1.286343898742246,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
0.04989638710680859,0.1551310098866114,20,10,1.286343898742246,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.051818307673770346,-0.20636427422361228,20,10,1.286343898742246,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.00787242324007991,-0.030766704499446913,20,10,1.286343898742246,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.024696265980957928,-0.09134734573183471,20,10,1.286343898742246,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.030592540719436036,-0.12099233544642632,20,10,1.286343898742246,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
-0.06014266813154256,-0.2424430206324279,20,10,1.286343898742246,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
0.03135674642420354,0.11262403977010108,20,10,1.286343898742246,5,nat,0.75,nat,0.75,nat,0.75,100,1000,0.1
