r2,r2_ceiled,nat_ed,eco_ed,model_ed,data_ed,eco_alignment,eco_alignment_strength,model_alignment,model_alignment_strength,data_alignment,data_alignment_strength,ambient,n_samples,resolution
1.0,1.0,2,2,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.0
1.0,1.0,2,2,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.0
1.0,1.0,2,2,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.0
1.0,1.0,2,2,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.0
1.0,1.0,2,2,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.0
1.0,1.0,2,2,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.0
1.0,1.0,2,2,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.0
1.0,1.0,2,2,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.0
1.0,1.0,2,2,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.0
1.0,1.0,2,2,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.0
1.0,1.0,2,2,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.0
1.0,1.0,2,2,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.0
1.0,1.0,2,2,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.0
1.0,1.0,2,2,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.0
1.0,1.0,2,2,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.0
1.0,1.0,2,2,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.0
1.0,1.0,2,2,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.0
1.0,1.0,2,2,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.0
1.0,1.0,2,2,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.0
1.0,1.0,2,2,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.0
1.0,1.0,2,2,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.0
1.0,1.0,2,2,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.0
1.0,1.0,2,2,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.0
1.0,1.0,2,2,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.0
1.0,1.0,2,2,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.0
1.0,1.0,2,2,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.0
1.0,1.0,2,2,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.0
1.0,1.0,2,2,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.0
1.0,1.0,2,2,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.0
1.0,1.0,2,2,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.0
1.0,1.0,2,2,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.0
1.0,1.0,2,2,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.0
1.0,1.0,2,2,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.0
1.0,1.0,2,2,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.0
1.0,1.0,2,2,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.0
1.0,1.0,2,2,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.0
1.0,1.0,2,2,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.0
1.0,1.0,2,2,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.0
1.0,1.0,2,2,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.0
1.0,1.0,2,2,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.0
1.0,1.0,2,2,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.0
1.0,1.0,2,2,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.0
1.0,1.0,2,2,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.0
1.0,1.0,2,2,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.0
1.0,1.0,2,2,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.0
