r2,r2_ceiled,nat_ed,eco_ed,model_ed,data_ed,eco_alignment,eco_alignment_strength,model_alignment,model_alignment_strength,data_alignment,data_alignment_strength,ambient,n_samples,resolution
-0.13396834908321356,-0.17017544107579427,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.15695934347163945,-0.19860024718780586,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.1517320648019568,-0.19166413562977533,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.15878885273779467,-0.20190152298289996,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.15422702112717818,-0.19424604151806596,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.12903096521822974,-0.1632405201781768,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.14881908020880005,-0.1888553178884219,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.12418414729242108,-0.15692129369221408,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.1478829158355713,-0.18768784747158235,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.12573772733887123,-0.15924758396711908,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.09815542298828257,-0.12477162893151288,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.15096058427967682,-0.19081133625858676,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.11455235453238924,-0.1454322253000146,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.14151230329406272,-0.17948330505717097,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.12804629132562884,-0.1622568604238804,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.14130186975991618,-0.17900754769084756,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.11502324331436249,-0.1453557339033875,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.11238578147112198,-0.14342630004009324,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.15038289203305336,-0.1908001308421468,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.11631548425711657,-0.14680463989495787,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.13381041051678996,-0.16928690272940916,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.12460335598467959,-0.15849516871428385,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.1075102150528669,-0.13598690513954315,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.14242161782398882,-0.1799647668406828,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.13156270108653412,-0.16651596523283335,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.12534582098674218,-0.15831712963929007,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.1538026923017363,-0.19384077298559552,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.18965951186086874,-0.24075899944527474,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.14623532457020819,-0.184859118159637,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.1370765438263266,-0.17387893384698247,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.14267179722764847,-0.18097928284309536,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.1437119135239268,-0.18235398961647492,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.12151073804755348,-0.15351665638166687,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.10931595368374865,-0.13854645779642874,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.11185578463710587,-0.1406445628438311,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.10441160855420402,-0.13220320587053044,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.15874546530092326,-0.20022533664433648,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.14148350744801266,-0.17839966763203255,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.13832532502525255,-0.17502080307109422,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.15509999999046026,-0.1970404883019976,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.15856249174103446,-0.20219826505052677,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.11830256384458684,-0.15081399705997636,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.12699122240272298,-0.1614532224470277,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.16107085188469566,-0.20439873943306247,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.13887485934910557,-0.17597009567568345,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.12019866481863099,-0.1524993810964032,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
-0.11120424889933578,-0.1406106615958455,20,10,1.01,100,nat,0.0,nat,0.0,,,100,1000,0.1
