r2,r2_ceiled,nat_ed,eco_ed,model_ed,data_ed,eco_alignment,eco_alignment_strength,model_alignment,model_alignment_strength,data_alignment,data_alignment_strength,ambient,n_samples,resolution
-0.12516128688194486,-0.15912426151406223,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.08724643368048784,-0.11010440328552772,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.13092107907882738,-0.16697161534469246,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.1378738442968648,-0.17386651800321618,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.08424182452059441,-0.10704169085972973,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.12548547609424543,-0.1583173176981403,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.026012470734140782,-0.03302303462203397,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.13167288929366602,-0.16750974580427014,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.12293317490497267,-0.1553183526252681,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.09643000605666226,-0.12234973970888036,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.03969946235087525,-0.05008240358658321,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.10944076532005573,-0.13905775248067104,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.11740776577329982,-0.1485917763735321,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.09401790594118735,-0.11935445122796025,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.1133170198678172,-0.1438149682559569,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.10381974919365713,-0.13136510198667098,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.11781047613601422,-0.1493798487996876,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.10568744993387046,-0.13457905222470584,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.09044851530872465,-0.11474143293716357,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.11077106717993904,-0.14115172160268377,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.09754799472473163,-0.12364819249649878,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.06677082447278616,-0.08451229248975105,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.04831877061582385,-0.061303840779989134,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.0938663958727006,-0.1192524326539882,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.13237149374929313,-0.1685156091327663,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.09762209151814191,-0.12354498147621298,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.09161468195394581,-0.11569545755730386,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.10923549301113585,-0.13845634785535732,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.0818619207949238,-0.10361187523567263,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.05334843508520374,-0.06771748695454802,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.02239079626422694,-0.02826914779941326,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.059998778804197274,-0.07593244768434305,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.10436515970041843,-0.13200746735816438,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.11743995105369778,-0.14836986453985426,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.122866752352499,-0.15582319147743062,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.11429677431113118,-0.14481909349566868,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.12620881798387065,-0.16069127919319287,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.0968292674932635,-0.1227417473440327,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.11471459257498737,-0.1451438011536106,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.08599139349861472,-0.10825368494155434,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.10734421814147795,-0.13648365966348233,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.08846176144687261,-0.11229487731941361,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.13401331542233436,-0.1711737647784856,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.10440861187626947,-0.13262384045161346,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.09015326271238353,-0.11448594413118855,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.10896318718639085,-0.13811223230177572,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.04157133095402212,-0.05262424808108899,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.13070114932425922,-0.16620341718701281,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.09088175532343663,-0.11515374995802016,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.11364918382387842,-0.143420171798849,20,10,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.04583783596481026,-0.05798806817993717,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.018742005554591833,-0.023773240149575478,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.0064772707099472375,0.008190235097449245,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.013440182661057192,-0.01704182332080939,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.004456670418632397,0.00564297421103875,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.03479936517455078,-0.04412456441013148,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.05355993596688429,-0.06820398202438728,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.00362208245840364,-0.004592587463859727,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.01395565355870741,-0.01776352347017411,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.0725921873940136,0.09206663334971044,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.007340802218859868,-0.009324010809527512,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.05934130042862753,0.07508105736391696,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.03393901959431911,0.04305185506138108,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.033785596803609305,0.042889739985718316,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.03150021177468529,-0.03996803969657943,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.027875415153532795,-0.035243278549816535,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.00039884409544739595,0.0005049468039586663,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.0033959030093239626,0.004290732309846715,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.026616038161163404,0.0338021451693054,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.02842968514060766,0.035911687699894924,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.04876839108768259,-0.061808599123891535,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.036373353226593894,-0.046326860679424285,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.04438495637777915,-0.056032006597700273,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.010137125620912329,-0.012863759947004224,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.0361027202116401,0.045748645752192424,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.031878577888833304,-0.040324503847700144,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.07417003310281875,-0.09409909664946944,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.004976049263943354,0.0062640470696779926,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.004807353759557669,-0.006103253006825567,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.027917048692682894,-0.0355165875529309,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.06695461700234392,0.08480574021468777,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.0027629011836567954,0.0035226333458986663,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.005927498020178184,-0.007503406071378207,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.008646191310784429,0.010977291908464413,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.028697024566368617,-0.036289612004751705,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.007591372709601343,0.009610562441085022,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.008670428000933218,0.010959218262459831,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.02350429922912275,0.02973264633030779,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.009407039357213948,0.011925457811125638,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.06178309544014548,0.07826669239327029,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.00078237594348445,-0.000994739520307242,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.003949764359125186,-0.005001740339821723,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.003648622429134084,0.004657402389687992,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.03833596769181273,-0.04894274197527595,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.00939854957396437,0.011907712197914554,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.04963386574766504,-0.06280659621740026,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.03064326932174805,-0.03873338503353009,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.006892676056816186,-0.008753690328682865,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.006693279241431618,0.008536246641971118,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.008356180304792838,-0.010568365749062867,20,10,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.13734851491910538,0.17390047691058275,20,10,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.08512617698594384,0.10816856169077799,20,10,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.15959310224558443,0.20294898459378605,20,10,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.08888715379899946,0.11253979073535395,20,10,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.08895587142257722,0.11296732457535782,20,10,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.10630976328758715,0.1342948915403902,20,10,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.07907629043012997,0.10077693729546157,20,10,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.0991859658611093,0.12584562736167587,20,10,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.10772370099942072,0.13663926744434743,20,10,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.05210331328035971,0.06582792104407352,20,10,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.07033687867717191,0.08860726965914006,20,10,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.043161255543855144,0.0546114589437504,20,10,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.15461553684646795,0.19625516002555263,20,10,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.11254488295899198,0.14239485878692948,20,10,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.08744300459260498,0.11096803201799783,20,10,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.13518053941453564,0.17058805004568672,20,10,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.08723348167930757,0.11000691249673715,20,10,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.09619976204761518,0.12195665642614699,20,10,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.058672462756193255,0.07393277105441769,20,10,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.09657154415849992,0.12186239153530691,20,10,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.08079815187617923,0.10285390321645196,20,10,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.13396343139040845,0.1687688137540412,20,10,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.09899754260577796,0.12509819479965717,20,10,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.09457242494451226,0.12026666334693231,20,10,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.09137664584192294,0.11574377795144279,20,10,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.10444447919466196,0.1326818928384549,20,10,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.06994635855375672,0.08864657736193539,20,10,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.05385185310226902,0.06869095898150132,20,10,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.11333353478232513,0.14391549727895747,20,10,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.11078502953981237,0.13986002882192874,20,10,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.130382094459662,0.16454024106455362,20,10,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.0993646435802075,0.12581611647801696,20,10,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.11819535674981432,0.15049518213992683,20,10,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.1417310421388894,0.17911524545257965,20,10,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.11677200971808682,0.14752706998170487,20,10,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.17243621551935093,0.21964201453466126,20,10,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.16889062148313919,0.21392960546182752,20,10,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.11983274555759425,0.15275606608244008,20,10,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.06366849752548938,0.0805373856756239,20,10,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.07777650925859995,0.09862308485549112,20,10,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.06783921910104762,0.08588343518798042,20,10,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.08501519017622268,0.10780328705844289,20,10,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
