,architecture,task,kind,source,layer,ED,SNR,MRR,Encoding score
0,ResNet18,,Untrained,PyTorch,layer1.0.relu,2.7244182094603846,1.0965022455823363,0.23082513399779345,0.2040811445240129
1,ResNet18,,Untrained,PyTorch,layer1.1.relu,2.4960299922355675,0.9873049892691405,0.2126804419196724,0.2083862128079365
2,ResNet18,,Untrained,PyTorch,layer2.0.relu,2.317719490545292,0.9827811905333826,0.20670890903639835,0.2177408761953036
3,ResNet18,,Untrained,PyTorch,layer2.1.relu,1.988403264185318,0.8899495181598412,0.1996516304275643,0.2188633311361033
4,ResNet18,,Untrained,PyTorch,layer3.0.relu,1.8243845023443723,0.8783646427406823,0.2016719074856415,0.2194154603875345
5,ResNet18,,Untrained,PyTorch,layer3.1.relu,1.5383956576280733,0.7741406532629919,0.19339945514267506,0.2222291331848503
6,ResNet18,,Untrained,PyTorch,layer4.0.relu,1.4777157454650558,0.7625002658788982,0.19186605957207986,0.2254504925550727
7,ResNet18,,Untrained,PyTorch,layer4.1.relu,1.3731225406599723,0.708177211550698,0.1861030570815835,0.2246273235391332
8,ResNet50,,Untrained,PyTorch,layer1.0.relu,2.1178202910600468,1.0082748562961696,0.21965488049862247,0.2135538041835294
9,ResNet50,,Untrained,PyTorch,layer1.1.relu,2.1996226100286296,0.9546087609619064,0.21957029541276155,0.2119742235001424
10,ResNet50,,Untrained,PyTorch,layer1.2.relu,1.7882010408470446,0.8929948688980477,0.20172429690379973,0.2105909171028613
11,ResNet50,,Untrained,PyTorch,layer2.0.relu,1.6807155506307827,0.838688771998921,0.20061347737915752,0.2063292828557479
12,ResNet50,,Untrained,PyTorch,layer2.1.relu,1.5487896136537331,0.7319923681133889,0.1928221635984743,0.2079424652350696
13,ResNet50,,Untrained,PyTorch,layer2.2.relu,1.4076245533173153,0.6831939134306297,0.18510325779854325,0.2091957251948936
14,ResNet50,,Untrained,PyTorch,layer2.3.relu,1.270884359694329,0.6431340529384392,0.17061036774534327,0.2116958692368948
15,ResNet50,,Untrained,PyTorch,layer3.0.relu,1.228517020351708,0.6400167877854149,0.1670127695438573,0.2104467316179389
16,ResNet50,,Untrained,PyTorch,layer3.1.relu,1.1913577879742798,0.6015696855504243,0.16273301968489662,0.2023956524938125
17,ResNet50,,Untrained,PyTorch,layer3.2.relu,1.130331663863339,0.5440797167030552,0.15739146611515198,0.1967377085868032
