layer,score,score_error,architecture,task,kind,source,between-concept dimensionality,between-concept radius,bias (mean),bias (std),other signal-noise-overlap (mean),other signal-noise-overlap (std),self signal-noise-overlap (mean),self signal-noise-overlap (std),signal (mean),signal (std),signal-noise-ratio (mean),signal-noise-ratio (std),within-concept dimensionality (mean),within-concept dimensionality (std),within-concept radius (mean),within-concept radius (std),80% variance,alpha,effective dimensionality,MRR
layer1.0.relu,0.2040811445240129,0.0037284525701331,ResNet18,,Untrained,PyTorch,3.2158274167167646,0.0839597284793853,0.0245926510542631,0.2271224111318588,17.029308319091797,9.11296272277832,17.010723114013672,8.994988441467285,4.725158214569092,1.9839003086090088,0.68764201172443,0.303696297740288,2.6164889205587945,0.3994403661205937,0.1690051406621933,0.0255451407283544,2.0,2.937279265835705,2.7244182094603846,0.23082513399779345
layer1.1.relu,0.2083862128079365,0.0045845720713338,ResNet18,,Untrained,PyTorch,2.6926140871471254,0.1111224591732025,0.0237281136214733,0.2227958142757415,17.34079360961914,10.016151428222656,17.355993270874023,10.003076553344728,4.430548667907715,1.974674940109253,0.5974995023694271,0.2603136935944098,2.4057746629287977,0.3008622870796897,0.2361982017755508,0.0351510904729366,2.0,3.033943416629492,2.4960299922355675,0.2126804419196724
layer2.0.relu,0.2177408761953036,0.0044202356239169,ResNet18,,Untrained,PyTorch,2.4104340488280127,0.1600037813186645,0.0225295033305883,0.2169766128063202,18.15206527709961,10.9729642868042,18.158973693847656,10.946343421936035,4.386637210845947,2.0325846672058105,0.5629798689884278,0.246002131115819,2.2648746525975145,0.2637272496943527,0.3411952257156372,0.0492983125150203,2.0,3.185554190547087,2.317719490545292,0.20670890903639835
layer2.1.relu,0.2188633311361033,0.0038931473829973,ResNet18,,Untrained,PyTorch,1.949307914506485,0.2420420944690704,0.0232188981026411,0.220474362373352,20.06587600708008,13.309115409851074,20.060396194458008,13.2470064163208,4.402354717254639,2.2310690879821777,0.5179280709415475,0.228148181173852,1.9788277561297145,0.2320510021193564,0.5061557292938232,0.074453555047512,2.0,2.977917285526689,1.988403264185318,0.1996516304275643
layer3.0.relu,0.2194154603875345,0.0040556808941594,ResNet18,,Untrained,PyTorch,1.8244525814557508,0.3057103455066681,0.0230302773416042,0.2195146679878235,20.93219947814941,14.286123275756836,20.919002532958984,14.221139907836914,4.4120378494262695,2.2818498611450195,0.505396674086761,0.2251028574015703,1.8453979113592305,0.2099912910523384,0.6353499889373779,0.0930701941251754,2.0,2.807560986834215,1.8243845023443723,0.2016719074856415
layer3.1.relu,0.2222291331848503,0.0038455465023331,ResNet18,,Untrained,PyTorch,1.558309790174922,0.4197710454463959,0.0232086069881916,0.2205137312412262,22.551700592041016,16.35903549194336,22.527647018432617,16.269670486450195,4.372618198394775,2.430081844329834,0.4696959901076624,0.2239835963443938,1.581695257975929,0.1666140882646903,0.866820216178894,0.1280998587608337,2.0,2.440369093264368,1.5383956576280733,0.19339945514267506
layer4.0.relu,0.2254504925550727,0.0031774253946876,ResNet18,,Untrained,PyTorch,1.426772329407368,0.5517690777778625,0.0225559864193201,0.2173003256320953,23.04456329345703,17.19748878479004,23.00167465209961,17.063983917236328,4.316370487213135,2.514265775680542,0.4518934339670949,0.221893223420673,1.5393072522726998,0.1571217314959975,1.143975853919983,0.1683413237333297,1.0,2.0969959265569478,1.4777157454650558,0.19186605957207986
layer4.1.relu,0.2246273235391332,0.0016432080404556,ResNet18,,Untrained,PyTorch,1.3070301060158416,0.7289692759513855,0.0222983490675687,0.2159754931926727,24.178504943847656,18.29578971862793,24.128631591796875,18.14535903930664,4.304164409637451,2.6339304447174072,0.4280090572839172,0.2199405637631723,1.430193791345748,0.1297117574783046,1.498572826385498,0.2201034426689148,1.0,1.915484372806536,1.3731225406599723,0.1861030570815835
layer1.0.relu,0.2135538041835294,0.003968992835427,ResNet50,,Untrained,PyTorch,3.293206669032665,0.0706247016787529,0.0279864408075809,0.2431712001562118,15.4802885055542,8.71108627319336,15.469307899475098,8.622150421142578,4.188511848449707,1.6629371643066406,0.6110162144375649,0.2602029480404968,2.257775100215248,0.4709080003028218,0.1625426113605499,0.0271642059087753,2.0,3.0212703421785654,2.1178202910600468,0.21965488049862247
layer1.1.relu,0.2119742235001424,0.0049556642469646,ResNet50,,Untrained,PyTorch,3.327590103163118,0.0891888961195945,0.0274137072265148,0.240655168890953,15.406055450439451,8.241616249084473,15.40237522125244,8.165682792663574,4.212540149688721,1.6512945890426636,0.6158393294200333,0.2634396516571161,2.3876467671474835,0.5102058249301218,0.2029228210449218,0.0334762297570705,2.0,2.8433174945812008,2.1996226100286296,0.21957029541276155
layer1.2.relu,0.2105909171028613,0.0054547059327622,ResNet50,,Untrained,PyTorch,2.310523426680295,0.1475021094083786,0.0278477668762207,0.2425509840250015,18.170801162719727,11.18567943572998,18.160627365112305,11.09187126159668,4.16902494430542,1.8654636144638064,0.5202359791261238,0.2347404989455875,1.947623397028302,0.3462550292092745,0.3316638469696045,0.0543200671672821,2.0,3.110918400727765,1.7882010408470446,0.20172429690379973
layer2.0.relu,0.2063292828557479,0.0053460854233523,ResNet50,,Untrained,PyTorch,2.122846680959691,0.2034405469894409,0.0295177437365055,0.2501387298107147,18.633920669555664,11.937156677246094,18.602724075317383,11.76318359375,4.129281520843506,1.8959109783172607,0.5030062938292026,0.2288412911239566,1.8497839982991664,0.3347354016311594,0.4588224291801452,0.0773208811879158,2.0,2.8933842208273663,1.6807155506307827,0.20061347737915752
layer2.1.relu,0.2079424652350696,0.0048398067664439,ResNet50,,Untrained,PyTorch,1.916517870570809,0.2520093619823456,0.0326008759438991,0.2636685073375702,18.784629821777344,12.571651458740234,18.735498428344727,12.331223487854004,3.960367202758789,1.909402847290039,0.4633343655418827,0.2162768425307306,1.713204616670546,0.3098326235493875,0.5893576741218567,0.1050435155630111,2.0,2.8033242728706704,1.5487896136537331,0.1928221635984743
layer2.2.relu,0.2091957251948936,0.0045812847613424,ResNet50,,Untrained,PyTorch,1.6781351635636317,0.3626130223274231,0.0335849113762378,0.2678967416286468,19.788299560546875,13.716729164123535,19.733856201171875,13.477981567382812,3.895050287246704,1.9966517686843872,0.4256874316789492,0.1997841389929182,1.542180340052617,0.236689894793412,0.8526027798652649,0.1539765149354934,1.0,2.6750615906662323,1.4076245533173153,0.18510325779854325
layer2.3.relu,0.2116958692368948,0.0046257062486309,ResNet50,,Untrained,PyTorch,1.4186839788166652,0.5475677251815796,0.0367471538484096,0.2810621261596679,20.819141387939453,14.97971248626709,20.75732421875,14.72451400756836,3.764749765396118,2.1237425804138184,0.3742574685975045,0.1831862288131221,1.372090679378164,0.1755708995688998,1.3072947263717651,0.2474665939807891,1.0,2.7999558302478027,1.270884359694329,0.17061036774534327
layer3.0.relu,0.2104467316179389,0.0043366259806678,ResNet50,,Untrained,PyTorch,1.3400981439743591,0.7511256337165833,0.0361531786620616,0.2785950303077698,21.192007064819336,15.377934455871582,21.134130477905277,15.157318115234377,3.712975025177002,2.158888816833496,0.3561884345245888,0.1770141348629616,1.3143890723767877,0.1445634184341984,1.8066121339797971,0.3393933475017547,1.0,2.58133574077763,1.228517020351708,0.1670127695438573
layer3.1.relu,0.2023956524938125,0.0050839752991382,ResNet50,,Untrained,PyTorch,1.2730032569395249,1.0967763662338257,0.0366977900266647,0.2807767689228058,21.68030166625977,15.848658561706545,21.624168395996094,15.643951416015623,3.683463096618652,2.21506404876709,0.3398080938162101,0.1739190930501211,1.258599322250201,0.1175925139197607,2.6404266357421875,0.4993906915187835,1.0,2.423579156489109,1.1913577879742798,0.16273301968489662
layer3.2.relu,0.1967377085868032,0.0040997691643742,ResNet50,,Untrained,PyTorch,1.1835250538298958,1.6731963157653809,0.0380546264350414,0.2862564027309418,22.44841194152832,16.5623722076416,22.401111602783203,16.39250373840332,3.639039278030396,2.297102928161621,0.3181421739820709,0.1727650603679397,1.1758823980473905,0.0788344226524977,4.017547607421875,0.7711547017097473,1.0,2.6032420515777037,1.130331663863339,0.15739146611515198
layer3.3.relu,0.188601436655984,0.0028882266545912,ResNet50,,Untrained,PyTorch,1.1331184180260638,2.356635332107544,0.0383273959159851,0.2873276770114898,22.805076599121094,16.90204429626465,22.764204025268555,16.759185791015625,3.5923173427581787,2.3442130088806152,0.301763224915097,0.1705349734610459,1.1344597728489925,0.0579752526458407,5.684005260467529,1.095034956932068,1.0,2.5833263407094864,1.1011133290825226,0.15421055887579588
layer3.4.relu,0.1869873033159285,0.003413173902159,ResNet50,,Untrained,PyTorch,1.098764601965786,3.605746030807495,0.0388718657195568,0.2894831895828247,22.959760665893555,17.07953453063965,22.921783447265625,16.948320388793945,3.54085373878479,2.372403860092163,0.2878509562363581,0.1684914961227359,1.1084683590851243,0.0467721622997061,8.765704154968262,1.7015225887298584,1.0,2.385965698788275,1.081767308775272,0.14949373885792147
layer3.5.relu,0.18155570192498,0.0035970513171349,ResNet50,,Untrained,PyTorch,1.078964983109708,5.523638725280762,0.0400887615978717,0.2943082749843597,23.057905197143555,17.210973739624023,23.02363586425781,17.093290328979492,3.5067479610443115,2.3928210735321045,0.2791066388378545,0.1688737168399655,1.0889621826804237,0.0381481358337812,13.501280784606934,2.660559892654419,1.0,2.5769053954776715,1.0667062585188456,0.14699648488465258
layer4.0.relu,0.1767935153178803,0.0032504257442199,ResNet50,,Untrained,PyTorch,1.0727503907895966,7.60420036315918,0.0393212772905826,0.2911976873874664,23.072444915771484,17.2177791595459,23.03201484680176,17.08123207092285,3.5059814453125,2.4036223888397217,0.2787325958266326,0.1694083410417154,1.099262195157554,0.0414124815932799,18.598859786987305,3.6353988647460938,1.0,2.1773838382794737,1.073664147192141,0.14684883032218451
layer4.1.relu,0.1677783592805612,0.0041585657139118,ResNet50,,Untrained,PyTorch,1.0579246250322605,11.413732528686523,0.0394071415066719,0.2915200889110565,23.251426696777344,17.329524993896484,23.21630477905273,17.212587356567383,3.491208553314209,2.422865390777588,0.2733037911609558,0.1723980230935045,1.082842855328344,0.0351948001836963,27.9268798828125,5.456961631774902,1.0,2.2496660699431943,1.0616244553510985,0.14461861069379092
