r2,r2_ceiled,nat_ed,eco_ed,model_ed,data_ed,eco_alignment,eco_alignment_strength,model_alignment,model_alignment_strength,data_alignment,data_alignment_strength,ambient,n_samples,resolution
-0.05799962412880748,-0.08122397868328694,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.10812799777946222,-0.15169160218289318,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.10047616803487398,-0.14223251198327522,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.08630024663241262,-0.12139547236054327,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.04755282460834948,-0.06666871725267275,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.1441670931162199,-0.20092988950856688,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.11984579403912607,-0.16802557461671105,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.08439401028471963,-0.12041250863137197,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.0929663388835101,-0.13038905737033535,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.13514310126756873,-0.18872537142951692,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.09418785598812739,-0.1334597869327098,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.10311411018777847,-0.14471968731335094,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.14334932713778828,-0.20167188867873528,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.12146397377328816,-0.17255266279429027,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.07411328995633513,-0.10535290591865415,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.09487208114924484,-0.13426670232539273,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.08031017390545213,-0.11262981015013891,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.12921914377401603,-0.18074794419982845,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.07715810878404361,-0.10910636921790495,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.14296727918563817,-0.20103443410853916,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.1278682796317572,-0.18307236977550392,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.11996015257181766,-0.17003289881477282,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.09302095808141053,-0.13007574199267216,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.1232833610056972,-0.1728218406605451,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.09959333587802312,-0.14202328872840358,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.12865689460462937,-0.18035485753144567,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.02030012491432236,-0.028432713065052212,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.10633652370799371,-0.14860339985017712,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.11234141688111506,-0.15806197512476122,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.1345592902535031,-0.18932403301310216,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.14196151197804802,-0.1982829203926588,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.10239079483772853,-0.1443865400014219,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.13611936666508753,-0.19196924923148195,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.09881060329061545,-0.13930579000378782,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.06035748402296654,-0.08516200388274796,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.09305813942828836,-0.13113778358719458,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.14780468196342397,-0.20738011910104026,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.03654226140664926,-0.05144736772597436,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.0976735181256999,-0.1378522827925947,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.0721580320082735,-0.10202001003807727,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.11749574433038738,-0.16596351046534363,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.0644698446155335,-0.09109535293737263,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.1106901058314675,-0.15569111763259708,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.08573800371032653,-0.12193205783750567,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.07342713199718814,-0.10375171817019466,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.08812751324178891,-0.12424531703095702,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.07591236617304038,-0.10679677705038536,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.13391097887569392,-0.18661810809518478,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.08239964880548332,-0.11539105949795514,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.1422642339612701,-0.20016205613680593,5,5,1.01,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.05840118111209022,0.08245178780651177,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.05472240445218722,0.07648085162299058,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.03750019239091417,-0.052662255214530065,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.0015562968584401093,-0.0021903058978115595,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.0011292331624447591,-0.001627074589855386,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.008722649266431945,0.012298811165244478,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.04927293510861395,-0.06930248497796411,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.020355806406339248,-0.02862650101403804,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.051250988646654866,0.07269712240928522,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.1554600780249823,0.2182709433566162,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.04700617460575429,0.06603410175542554,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.0394383235212587,0.05605797475404013,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.012804635001912465,0.01815753572507728,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.006067887868601221,0.008548867140275548,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-8.44891669387525e-05,-0.00011968392042289196,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.029595223975340465,0.04147633101511746,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.07724346876167469,0.10822836155395536,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.04503889187271998,-0.06325189802278565,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.00011353412355241907,-0.00015765657878269565,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.045583090052324644,-0.06373839367548498,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.11206329267924858,0.1588235519922014,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.032917631524409366,-0.046943963000119784,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.008607945052665255,0.01215591947362821,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.006317668130219419,-0.008899377861838951,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.08334325791522242,0.11665281869569366,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.015317676395756269,0.021425574221866625,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.04828789703650099,-0.06731361175145964,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.040861375233865106,-0.05734670513512778,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.04277398087665973,0.060316251104075416,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.019759412913161405,-0.0277686910165121,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.022924570121394684,0.03223999273064886,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.009176394594039239,0.012969596614591138,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.09380217696781419,0.13129448941045171,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.03623186129425403,-0.05133520268644359,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.062424419168201004,0.08815467635514565,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.017319096852312196,-0.024562161697175962,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.0029590672831029154,0.004190923083125749,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.05469788227473477,-0.07720479161863128,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.004525617592205005,-0.006350873569419929,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.01488737413713546,0.020830641868687765,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.03754841148190981,0.05310606265095188,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.15278440684123773,0.21217268703768496,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.005780438669709655,-0.008129768392613049,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.02160820631432321,0.030595566019045627,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.0114393986017704,-0.016115812358930514,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.03890066307888851,0.0544307549950791,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.0042735656994788975,-0.00597783859764729,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.03534051195408154,0.049832410278816124,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.03414383540295469,0.04816391056304551,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
-0.003552621482018199,-0.004975757456046987,5,5,1.286343898742246,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.08929261430620518,0.12589104324074518,5,5,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.13299991731633679,0.18647384857920105,5,5,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.06964710803709807,0.09845297897130119,5,5,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.08487586989921111,0.11934980428961564,5,5,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.05452482095905023,0.07652550248078885,5,5,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.08128692454497626,0.1147223283651447,5,5,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.10360429142316713,0.14658422814292377,5,5,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.12542965566983927,0.1760061779949412,5,5,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.02105877897162626,0.02954344309330688,5,5,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.14619608282721244,0.20600352355819457,5,5,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.08793591711398109,0.12370874882670235,5,5,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.11320598940915332,0.1589868336942384,5,5,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.03597389031697155,0.05029874815448074,5,5,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.07667333762394091,0.10799587291006742,5,5,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.08090900966212375,0.1137404948097645,5,5,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.16919908926524554,0.23652316204407203,5,5,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.02939738666236499,0.041159874714281744,5,5,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.12249329159215416,0.17179864936612474,5,5,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.0417174800231203,0.05857655339715575,5,5,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.07709057548070267,0.10905673758476597,5,5,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.15551279959551578,0.21839891815580298,5,5,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.10992217833488327,0.15583298347586563,5,5,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.043350409754450044,0.060474431239694766,5,5,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.06211983302902438,0.08685782466485067,5,5,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.09053627344614626,0.12770561113856538,5,5,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
0.07775331391243406,0.10963578881585345,5,5,1.6382976493380212,100,nat,0.75,nat,0.75,,,100,1000,0.1
