80% variance,alpha,effective dimensionality,layer,architecture,task,kind,source
7.0,1.6910164463346253,4.325100106988979,layer1.0.relu,ResNet18,CIFAR10,Supervised,Counter-Example
7.0,1.6247971597022297,4.349707996097544,layer1.1.relu,ResNet18,CIFAR10,Supervised,Counter-Example
16.0,1.2967006029114114,4.362205703154582,layer2.0.relu,ResNet18,CIFAR10,Supervised,Counter-Example
18.0,1.2418676365928625,3.728810268873263,layer2.1.relu,ResNet18,CIFAR10,Supervised,Counter-Example
46.0,1.0710049729645008,3.4780006895278452,layer3.0.relu,ResNet18,CIFAR10,Supervised,Counter-Example
3.0,1.1316925744112067,1.6467711694678857,layer3.1.relu,ResNet18,CIFAR10,Supervised,Counter-Example
119.0,1.0009696737032288,4.41963830127424,layer4.0.relu,ResNet18,CIFAR10,Supervised,Counter-Example
123.0,1.1020200445775794,20.45855831073976,layer4.1.relu,ResNet18,CIFAR10,Supervised,Counter-Example
4.0,1.6983280444452669,3.356810733927965,layer1.0.relu,ResNet18,CIFAR10,Supervised Random Labels,Counter-Example
7.0,1.5077117231396435,3.6415912375817037,layer1.1.relu,ResNet18,CIFAR10,Supervised Random Labels,Counter-Example
16.0,1.3073447769111606,4.757710862943101,layer2.0.relu,ResNet18,CIFAR10,Supervised Random Labels,Counter-Example
35.0,1.1496358974332352,7.887030895066455,layer2.1.relu,ResNet18,CIFAR10,Supervised Random Labels,Counter-Example
113.0,0.9267954001263519,9.097431909689094,layer3.0.relu,ResNet18,CIFAR10,Supervised Random Labels,Counter-Example
71.0,0.9454498299471535,2.9506237523633256,layer3.1.relu,ResNet18,CIFAR10,Supervised Random Labels,Counter-Example
224.0,0.8575451531788463,8.710203580484068,layer4.0.relu,ResNet18,CIFAR10,Supervised Random Labels,Counter-Example
244.0,0.878791814961632,32.70715832321007,layer4.1.relu,ResNet18,CIFAR10,Supervised Random Labels,Counter-Example
