num_pcs,scores,ambient_dim,layer,architecture,task,kind,source
1,0.016495719253175615,64,layer1.0.relu,ResNet18,None,Untrained,PyTorch
2,0.029161087446246695,64,layer1.0.relu,ResNet18,None,Untrained,PyTorch
3,0.037287668954302806,64,layer1.0.relu,ResNet18,None,Untrained,PyTorch
4,0.04287197525433509,64,layer1.0.relu,ResNet18,None,Untrained,PyTorch
6,0.06768963387168636,64,layer1.0.relu,ResNet18,None,Untrained,PyTorch
9,0.08473872137289028,64,layer1.0.relu,ResNet18,None,Untrained,PyTorch
14,0.09464006084080495,64,layer1.0.relu,ResNet18,None,Untrained,PyTorch
21,0.10409337114611157,64,layer1.0.relu,ResNet18,None,Untrained,PyTorch
30,0.11071825212047823,64,layer1.0.relu,ResNet18,None,Untrained,PyTorch
45,0.11988183108648842,64,layer1.0.relu,ResNet18,None,Untrained,PyTorch
1,0.01488347529983918,64,layer1.1.relu,ResNet18,None,Untrained,PyTorch
2,0.027680321051660888,64,layer1.1.relu,ResNet18,None,Untrained,PyTorch
3,0.0309333071064328,64,layer1.1.relu,ResNet18,None,Untrained,PyTorch
4,0.03641644429215907,64,layer1.1.relu,ResNet18,None,Untrained,PyTorch
6,0.05523365551439459,64,layer1.1.relu,ResNet18,None,Untrained,PyTorch
9,0.07646882850557614,64,layer1.1.relu,ResNet18,None,Untrained,PyTorch
14,0.08041392568661469,64,layer1.1.relu,ResNet18,None,Untrained,PyTorch
21,0.09714314857349293,64,layer1.1.relu,ResNet18,None,Untrained,PyTorch
30,0.10302263902457225,64,layer1.1.relu,ResNet18,None,Untrained,PyTorch
45,0.11593721706492979,64,layer1.1.relu,ResNet18,None,Untrained,PyTorch
1,0.01534173110013824,128,layer2.0.relu,ResNet18,None,Untrained,PyTorch
2,0.02588171666599774,128,layer2.0.relu,ResNet18,None,Untrained,PyTorch
3,0.03583484465456059,128,layer2.0.relu,ResNet18,None,Untrained,PyTorch
4,0.039678236294889695,128,layer2.0.relu,ResNet18,None,Untrained,PyTorch
6,0.05699696139004005,128,layer2.0.relu,ResNet18,None,Untrained,PyTorch
9,0.0821861391512471,128,layer2.0.relu,ResNet18,None,Untrained,PyTorch
14,0.09118450006153996,128,layer2.0.relu,ResNet18,None,Untrained,PyTorch
21,0.10221951098894348,128,layer2.0.relu,ResNet18,None,Untrained,PyTorch
30,0.10785597519887759,128,layer2.0.relu,ResNet18,None,Untrained,PyTorch
45,0.11527929699877218,128,layer2.0.relu,ResNet18,None,Untrained,PyTorch
66,0.12468814163168059,128,layer2.0.relu,ResNet18,None,Untrained,PyTorch
97,0.12960749690105233,128,layer2.0.relu,ResNet18,None,Untrained,PyTorch
1,0.015434351051964067,128,layer2.1.relu,ResNet18,None,Untrained,PyTorch
2,0.026807439814309674,128,layer2.1.relu,ResNet18,None,Untrained,PyTorch
3,0.0343981968598519,128,layer2.1.relu,ResNet18,None,Untrained,PyTorch
4,0.0390491781560129,128,layer2.1.relu,ResNet18,None,Untrained,PyTorch
6,0.0658498911834852,128,layer2.1.relu,ResNet18,None,Untrained,PyTorch
9,0.0762308402841212,128,layer2.1.relu,ResNet18,None,Untrained,PyTorch
14,0.09872676942761291,128,layer2.1.relu,ResNet18,None,Untrained,PyTorch
21,0.10865465374862945,128,layer2.1.relu,ResNet18,None,Untrained,PyTorch
30,0.11621909316024803,128,layer2.1.relu,ResNet18,None,Untrained,PyTorch
45,0.12238183535831587,128,layer2.1.relu,ResNet18,None,Untrained,PyTorch
66,0.1301724487196634,128,layer2.1.relu,ResNet18,None,Untrained,PyTorch
97,0.14204137499089592,128,layer2.1.relu,ResNet18,None,Untrained,PyTorch
1,0.015041498471060101,256,layer3.0.relu,ResNet18,None,Untrained,PyTorch
2,0.02743338013181155,256,layer3.0.relu,ResNet18,None,Untrained,PyTorch
3,0.04249132016068179,256,layer3.0.relu,ResNet18,None,Untrained,PyTorch
4,0.055694444718545136,256,layer3.0.relu,ResNet18,None,Untrained,PyTorch
6,0.06274124623698134,256,layer3.0.relu,ResNet18,None,Untrained,PyTorch
