num_pcs,scores,layer,architecture,task,kind,source
1,0.016495719253175615,layer1.0.relu,ResNet18,None,Untrained,PyTorch
6,0.06768963387168636,layer1.0.relu,ResNet18,None,Untrained,PyTorch
11,0.09103518473770345,layer1.0.relu,ResNet18,None,Untrained,PyTorch
16,0.09841839102573913,layer1.0.relu,ResNet18,None,Untrained,PyTorch
21,0.10409337114611157,layer1.0.relu,ResNet18,None,Untrained,PyTorch
26,0.10924926704427745,layer1.0.relu,ResNet18,None,Untrained,PyTorch
31,0.11208709892507833,layer1.0.relu,ResNet18,None,Untrained,PyTorch
1,0.01488347529983918,layer1.1.relu,ResNet18,None,Untrained,PyTorch
6,0.05523365551439459,layer1.1.relu,ResNet18,None,Untrained,PyTorch
11,0.07843756080671413,layer1.1.relu,ResNet18,None,Untrained,PyTorch
16,0.08957421123904007,layer1.1.relu,ResNet18,None,Untrained,PyTorch
21,0.09714314857349293,layer1.1.relu,ResNet18,None,Untrained,PyTorch
26,0.10005773223748515,layer1.1.relu,ResNet18,None,Untrained,PyTorch
31,0.10268149887943037,layer1.1.relu,ResNet18,None,Untrained,PyTorch
1,0.01534173110013824,layer2.0.relu,ResNet18,None,Untrained,PyTorch
6,0.05699696139004005,layer2.0.relu,ResNet18,None,Untrained,PyTorch
11,0.08759463010689496,layer2.0.relu,ResNet18,None,Untrained,PyTorch
16,0.09473958441623877,layer2.0.relu,ResNet18,None,Untrained,PyTorch
21,0.10221951098894348,layer2.0.relu,ResNet18,None,Untrained,PyTorch
26,0.10248901128115856,layer2.0.relu,ResNet18,None,Untrained,PyTorch
31,0.1080110117721838,layer2.0.relu,ResNet18,None,Untrained,PyTorch
1,0.015434351051964067,layer2.1.relu,ResNet18,None,Untrained,PyTorch
6,0.0658498911834852,layer2.1.relu,ResNet18,None,Untrained,PyTorch
11,0.08794673898017619,layer2.1.relu,ResNet18,None,Untrained,PyTorch
16,0.1034868075418214,layer2.1.relu,ResNet18,None,Untrained,PyTorch
21,0.10865465374862945,layer2.1.relu,ResNet18,None,Untrained,PyTorch
26,0.11217706437210727,layer2.1.relu,ResNet18,None,Untrained,PyTorch
31,0.1157258032518014,layer2.1.relu,ResNet18,None,Untrained,PyTorch
1,0.015041498471060101,layer3.0.relu,ResNet18,None,Untrained,PyTorch
6,0.06274124623698134,layer3.0.relu,ResNet18,None,Untrained,PyTorch
11,0.08757225437686358,layer3.0.relu,ResNet18,None,Untrained,PyTorch
16,0.10466221319079579,layer3.0.relu,ResNet18,None,Untrained,PyTorch
21,0.12395367544696934,layer3.0.relu,ResNet18,None,Untrained,PyTorch
26,0.12645917665687897,layer3.0.relu,ResNet18,None,Untrained,PyTorch
31,0.12750203556335343,layer3.0.relu,ResNet18,None,Untrained,PyTorch
1,0.013050735241972977,layer3.1.relu,ResNet18,None,Untrained,PyTorch
6,0.07637564282628208,layer3.1.relu,ResNet18,None,Untrained,PyTorch
11,0.09821790675248286,layer3.1.relu,ResNet18,None,Untrained,PyTorch
16,0.1176013485402992,layer3.1.relu,ResNet18,None,Untrained,PyTorch
21,0.1271503888829898,layer3.1.relu,ResNet18,None,Untrained,PyTorch
26,0.12981344619712024,layer3.1.relu,ResNet18,None,Untrained,PyTorch
31,0.1344622551060548,layer3.1.relu,ResNet18,None,Untrained,PyTorch
1,0.01018528832151764,layer4.0.relu,ResNet18,None,Untrained,PyTorch
6,0.06504605236208781,layer4.0.relu,ResNet18,None,Untrained,PyTorch
11,0.09449506306629615,layer4.0.relu,ResNet18,None,Untrained,PyTorch
16,0.10740633022960583,layer4.0.relu,ResNet18,None,Untrained,PyTorch
21,0.12293819177857397,layer4.0.relu,ResNet18,None,Untrained,PyTorch
26,0.1371783183581547,layer4.0.relu,ResNet18,None,Untrained,PyTorch
31,0.14119344123771885,layer4.0.relu,ResNet18,None,Untrained,PyTorch
1,0.008791813921028489,layer4.1.relu,ResNet18,None,Untrained,PyTorch
6,0.06962417812420363,layer4.1.relu,ResNet18,None,Untrained,PyTorch
11,0.10049499087725246,layer4.1.relu,ResNet18,None,Untrained,PyTorch
16,0.10813177119999386,layer4.1.relu,ResNet18,None,Untrained,PyTorch
21,0.11757783081620737,layer4.1.relu,ResNet18,None,Untrained,PyTorch
26,0.1279382595737598,layer4.1.relu,ResNet18,None,Untrained,PyTorch
31,0.1387295509130173,layer4.1.relu,ResNet18,None,Untrained,PyTorch
1,0.010930745356891949,layer1.0.relu,ResNet50,None,Untrained,PyTorch
6,0.06001415961219686,layer1.0.relu,ResNet50,None,Untrained,PyTorch
11,0.08143355419026883,layer1.0.relu,ResNet50,None,Untrained,PyTorch
16,0.09737056278416402,layer1.0.relu,ResNet50,None,Untrained,PyTorch
21,0.11014697149578388,layer1.0.relu,ResNet50,None,Untrained,PyTorch
26,0.11784881530839686,layer1.0.relu,ResNet50,None,Untrained,PyTorch
31,0.11954633021788078,layer1.0.relu,ResNet50,None,Untrained,PyTorch
1,0.010790580500638587,layer1.1.relu,ResNet50,None,Untrained,PyTorch
