num_pcs,scores,ambient_dim,layer,architecture,task,kind,source
1,0.016495719064440854,64,layer1.0.relu,ResNet18,None,Untrained,PyTorch
2,0.02916108772733007,64,layer1.0.relu,ResNet18,None,Untrained,PyTorch
3,0.03728766843954356,64,layer1.0.relu,ResNet18,None,Untrained,PyTorch
4,0.04287197276239214,64,layer1.0.relu,ResNet18,None,Untrained,PyTorch
6,0.06768963812139833,64,layer1.0.relu,ResNet18,None,Untrained,PyTorch
9,0.08473871970467882,64,layer1.0.relu,ResNet18,None,Untrained,PyTorch
14,0.09464005684770888,64,layer1.0.relu,ResNet18,None,Untrained,PyTorch
21,0.10409337137586659,64,layer1.0.relu,ResNet18,None,Untrained,PyTorch
30,0.1110511011932429,64,layer1.0.relu,ResNet18,None,Untrained,PyTorch
45,0.12003484838934689,64,layer1.0.relu,ResNet18,None,Untrained,PyTorch
1,0.014883475625509308,64,layer1.1.relu,ResNet18,None,Untrained,PyTorch
2,0.02768032172663458,64,layer1.1.relu,ResNet18,None,Untrained,PyTorch
3,0.030933306688347723,64,layer1.1.relu,ResNet18,None,Untrained,PyTorch
4,0.036416444713537006,64,layer1.1.relu,ResNet18,None,Untrained,PyTorch
6,0.05523365732721459,64,layer1.1.relu,ResNet18,None,Untrained,PyTorch
9,0.07646881992120937,64,layer1.1.relu,ResNet18,None,Untrained,PyTorch
14,0.08041392561594066,64,layer1.1.relu,ResNet18,None,Untrained,PyTorch
21,0.09714315216290395,64,layer1.1.relu,ResNet18,None,Untrained,PyTorch
30,0.1028964492912412,64,layer1.1.relu,ResNet18,None,Untrained,PyTorch
45,0.11469373832379523,64,layer1.1.relu,ResNet18,None,Untrained,PyTorch
1,0.0153417310132246,128,layer2.0.relu,ResNet18,None,Untrained,PyTorch
2,0.025881718178371555,128,layer2.0.relu,ResNet18,None,Untrained,PyTorch
3,0.03583484666515412,128,layer2.0.relu,ResNet18,None,Untrained,PyTorch
4,0.03967823310821365,128,layer2.0.relu,ResNet18,None,Untrained,PyTorch
6,0.056996958323000675,128,layer2.0.relu,ResNet18,None,Untrained,PyTorch
9,0.0821861457931279,128,layer2.0.relu,ResNet18,None,Untrained,PyTorch
14,0.09118449239016384,128,layer2.0.relu,ResNet18,None,Untrained,PyTorch
21,0.10221950996004682,128,layer2.0.relu,ResNet18,None,Untrained,PyTorch
30,0.10731592882404212,128,layer2.0.relu,ResNet18,None,Untrained,PyTorch
45,0.11140216643084495,128,layer2.0.relu,ResNet18,None,Untrained,PyTorch
66,0.11907898530889666,128,layer2.0.relu,ResNet18,None,Untrained,PyTorch
97,0.12103008755102285,128,layer2.0.relu,ResNet18,None,Untrained,PyTorch
1,0.015434350737547467,128,layer2.1.relu,ResNet18,None,Untrained,PyTorch
2,0.026807439571173437,128,layer2.1.relu,ResNet18,None,Untrained,PyTorch
3,0.03439820019904579,128,layer2.1.relu,ResNet18,None,Untrained,PyTorch
4,0.03904917497827059,128,layer2.1.relu,ResNet18,None,Untrained,PyTorch
6,0.06584989277743827,128,layer2.1.relu,ResNet18,None,Untrained,PyTorch
9,0.07623083683525558,128,layer2.1.relu,ResNet18,None,Untrained,PyTorch
14,0.09872677350026245,128,layer2.1.relu,ResNet18,None,Untrained,PyTorch
21,0.10865465446574253,128,layer2.1.relu,ResNet18,None,Untrained,PyTorch
30,0.11444246875827871,128,layer2.1.relu,ResNet18,None,Untrained,PyTorch
45,0.12012892766677073,128,layer2.1.relu,ResNet18,None,Untrained,PyTorch
66,0.12341378331640994,128,layer2.1.relu,ResNet18,None,Untrained,PyTorch
97,0.13046921490369745,128,layer2.1.relu,ResNet18,None,Untrained,PyTorch
1,0.015041498451602166,256,layer3.0.relu,ResNet18,None,Untrained,PyTorch
2,0.027433380027851804,256,layer3.0.relu,ResNet18,None,Untrained,PyTorch
3,0.0424913199994162,256,layer3.0.relu,ResNet18,None,Untrained,PyTorch
4,0.055694441718100424,256,layer3.0.relu,ResNet18,None,Untrained,PyTorch
6,0.0627412423089838,256,layer3.0.relu,ResNet18,None,Untrained,PyTorch
9,0.08545467255607207,256,layer3.0.relu,ResNet18,None,Untrained,PyTorch
14,0.09561685045822045,256,layer3.0.relu,ResNet18,None,Untrained,PyTorch
21,0.12395367327790235,256,layer3.0.relu,ResNet18,None,Untrained,PyTorch
30,0.12692975778906368,256,layer3.0.relu,ResNet18,None,Untrained,PyTorch
45,0.13347364708660686,256,layer3.0.relu,ResNet18,None,Untrained,PyTorch
66,0.13376448668924762,256,layer3.0.relu,ResNet18,None,Untrained,PyTorch
97,0.1330197341566646,256,layer3.0.relu,ResNet18,None,Untrained,PyTorch
142,0.13704165260268078,256,layer3.0.relu,ResNet18,None,Untrained,PyTorch
207,0.13951647432578423,256,layer3.0.relu,ResNet18,None,Untrained,PyTorch
1,0.01305073526378542,256,layer3.1.relu,ResNet18,None,Untrained,PyTorch
2,0.025808047367282986,256,layer3.1.relu,ResNet18,None,Untrained,PyTorch
3,0.04108878609464109,256,layer3.1.relu,ResNet18,None,Untrained,PyTorch
4,0.0537185723934732,256,layer3.1.relu,ResNet18,None,Untrained,PyTorch
6,0.07637564829081417,256,layer3.1.relu,ResNet18,None,Untrained,PyTorch
9,0.08872375571306956,256,layer3.1.relu,ResNet18,None,Untrained,PyTorch
14,0.11221088305758894,256,layer3.1.relu,ResNet18,None,Untrained,PyTorch
21,0.12715038787665608,256,layer3.1.relu,ResNet18,None,Untrained,PyTorch
30,0.13370543595431922,256,layer3.1.relu,ResNet18,None,Untrained,PyTorch
45,0.13854869485826185,256,layer3.1.relu,ResNet18,None,Untrained,PyTorch
66,0.14311511167242716,256,layer3.1.relu,ResNet18,None,Untrained,PyTorch
97,0.1505235449481078,256,layer3.1.relu,ResNet18,None,Untrained,PyTorch
142,0.14684800242493276,256,layer3.1.relu,ResNet18,None,Untrained,PyTorch
207,0.14640184864539843,256,layer3.1.relu,ResNet18,None,Untrained,PyTorch
1,0.010185288280444613,512,layer4.0.relu,ResNet18,None,Untrained,PyTorch
2,0.024948796903514953,512,layer4.0.relu,ResNet18,None,Untrained,PyTorch
3,0.03864245551659187,512,layer4.0.relu,ResNet18,None,Untrained,PyTorch
4,0.05662913653693247,512,layer4.0.relu,ResNet18,None,Untrained,PyTorch
6,0.06504604898918533,512,layer4.0.relu,ResNet18,None,Untrained,PyTorch
9,0.08695375981889995,512,layer4.0.relu,ResNet18,None,Untrained,PyTorch
