80% variance,alpha,effective dimensionality,layer,architecture,task,kind,source
218.0,1.0321511954223626,26.8892646873545,layer1.0.relu,ResNet18,None,Untrained,PyTorch
278.0,0.989279294485505,31.342113382344582,layer1.1.relu,ResNet18,None,Untrained,PyTorch
325.0,0.9536142206314879,38.58242202172786,layer2.0.relu,ResNet18,None,Untrained,PyTorch
308.0,0.9723105829499631,28.002841955785293,layer2.1.relu,ResNet18,None,Untrained,PyTorch
302.0,0.9748609291222263,25.404506168307964,layer3.0.relu,ResNet18,None,Untrained,PyTorch
290.0,0.9909438973036038,20.21144910516967,layer3.1.relu,ResNet18,None,Untrained,PyTorch
301.0,0.9740593809243787,19.53928799223069,layer4.0.relu,ResNet18,None,Untrained,PyTorch
276.0,0.9960879598213976,13.149070840519556,layer4.1.relu,ResNet18,None,Untrained,PyTorch
177.0,1.0725069943147632,22.803117474192433,layer1.0.relu,ResNet50,None,Untrained,PyTorch
209.0,1.0490748384191504,24.906042057323543,layer1.1.relu,ResNet50,None,Untrained,PyTorch
221.0,1.0351068017838356,24.799277441298823,layer1.2.relu,ResNet50,None,Untrained,PyTorch
216.0,1.0369792763737422,22.237548548869498,layer2.0.relu,ResNet50,None,Untrained,PyTorch
200.0,1.0477242043340422,19.260902736425432,layer2.1.relu,ResNet50,None,Untrained,PyTorch
154.0,1.0893859951829155,14.20201202663752,layer2.2.relu,ResNet50,None,Untrained,PyTorch
127.0,1.107037894443433,10.752774161639115,layer2.3.relu,ResNet50,None,Untrained,PyTorch
111.0,1.130563041140998,9.6828500149048,layer3.0.relu,ResNet50,None,Untrained,PyTorch
102.0,1.1374774169854485,8.954916196578576,layer3.1.relu,ResNet50,None,Untrained,PyTorch
72.0,1.172503939814003,7.475557329972133,layer3.2.relu,ResNet50,None,Untrained,PyTorch
43.0,1.2137582023345446,5.686048022737138,layer3.3.relu,ResNet50,None,Untrained,PyTorch
32.0,1.23177022496759,4.933860115473736,layer3.4.relu,ResNet50,None,Untrained,PyTorch
26.0,1.2415370233463816,4.421646856872684,layer3.5.relu,ResNet50,None,Untrained,PyTorch
33.0,1.2307717376787284,4.883085433914948,layer4.0.relu,ResNet50,None,Untrained,PyTorch
25.0,1.238602293388025,4.158856083022695,layer4.1.relu,ResNet50,None,Untrained,PyTorch
27.0,1.2237243277513163,3.930461051299651,layer4.2.relu,ResNet50,None,Untrained,PyTorch
569.0,0.6525801531931031,245.73086131472516,layer1.0.relu,ResNet18,Object Classification,Supervised,PyTorch
640.0,0.4464498634661511,630.4805783416411,layer1.1.relu,ResNet18,Object Classification,Supervised,PyTorch
616.0,0.5074444512691281,504.2825328758948,layer2.0.relu,ResNet18,Object Classification,Supervised,PyTorch
631.0,0.4495225726853452,616.0092852622641,layer2.1.relu,ResNet18,Object Classification,Supervised,PyTorch
544.0,0.6043326603801558,330.8602654986401,layer3.0.relu,ResNet18,Object Classification,Supervised,PyTorch
564.0,0.5817343033261437,332.6818740972106,layer3.1.relu,ResNet18,Object Classification,Supervised,PyTorch
558.0,0.5405104861517006,441.3262690002238,layer4.0.relu,ResNet18,Object Classification,Supervised,PyTorch
371.0,0.6666336426905481,259.6584516235096,layer4.1.relu,ResNet18,Object Classification,Supervised,PyTorch
531.0,0.7282067641745268,157.78903298558444,layer1.0.relu,ResNet50,Object Classification,Supervised,PyTorch
582.0,0.6489049632761382,256.0206926221343,layer1.1.relu,ResNet50,Object Classification,Supervised,PyTorch
615.0,0.5997406890226579,334.50900487107396,layer1.2.relu,ResNet50,Object Classification,Supervised,PyTorch
562.0,0.7074379375322597,174.01792567263303,layer2.0.relu,ResNet50,Object Classification,Supervised,PyTorch
609.0,0.5467978297744563,416.8220558962025,layer2.1.relu,ResNet50,Object Classification,Supervised,PyTorch
630.0,0.48036121284626265,563.3023976085742,layer2.2.relu,ResNet50,Object Classification,Supervised,PyTorch
643.0,0.4449827474865583,636.8490625268524,layer2.3.relu,ResNet50,Object Classification,Supervised,PyTorch
595.0,0.5758930060933913,372.33660059706284,layer3.0.relu,ResNet50,Object Classification,Supervised,PyTorch
604.0,0.5376862982531374,456.2039245172297,layer3.1.relu,ResNet50,Object Classification,Supervised,PyTorch
613.0,0.5090665657156156,513.6216845456834,layer3.2.relu,ResNet50,Object Classification,Supervised,PyTorch
617.0,0.5196066507600283,484.75014445457595,layer3.3.relu,ResNet50,Object Classification,Supervised,PyTorch
624.0,0.5150354346466887,487.63036391152303,layer3.4.relu,ResNet50,Object Classification,Supervised,PyTorch
637.0,0.4912802973192904,502.64243141213336,layer3.5.relu,ResNet50,Object Classification,Supervised,PyTorch
588.0,0.5454680362235985,446.00298615358184,layer4.0.relu,ResNet50,Object Classification,Supervised,PyTorch
536.0,0.5923940483534109,354.46573511706026,layer4.1.relu,ResNet50,Object Classification,Supervised,PyTorch
447.0,0.6092484373492365,319.6941217938224,layer4.2.relu,ResNet50,Object Classification,Supervised,PyTorch
574.0,0.6242670958762889,268.40837358775366,encode_2,ResNet18,Object Classification,Supervised,VVS
641.0,0.43968793166927056,625.5503409506125,encode_3,ResNet18,Object Classification,Supervised,VVS
619.0,0.5053699318160004,510.3746896787677,encode_4,ResNet18,Object Classification,Supervised,VVS
641.0,0.42735329613937817,660.8394074003385,encode_5,ResNet18,Object Classification,Supervised,VVS
541.0,0.5813778706458871,362.8649927384713,encode_6,ResNet18,Object Classification,Supervised,VVS
566.0,0.5477497738473597,429.8228293549696,encode_7,ResNet18,Object Classification,Supervised,VVS
559.0,0.556414414581024,418.11421008917534,encode_8,ResNet18,Object Classification,Supervised,VVS
455.0,0.6167932198038756,315.78555701474164,encode_9,ResNet18,Object Classification,Supervised,VVS
584.0,0.6183442774282676,203.65769828044412,encode_2,ResNet18,Local Aggregation,Self-Supervised,VVS
642.0,0.44818247873889716,620.585203021418,encode_3,ResNet18,Local Aggregation,Self-Supervised,VVS
601.0,0.5404782715950133,442.57674591430714,encode_4,ResNet18,Local Aggregation,Self-Supervised,VVS
617.0,0.4812092836094658,548.7128591656335,encode_5,ResNet18,Local Aggregation,Self-Supervised,VVS
496.0,0.6696496195469487,232.139516769091,encode_6,ResNet18,Local Aggregation,Self-Supervised,VVS
466.0,0.7584498161534797,51.93107848194381,encode_7,ResNet18,Local Aggregation,Self-Supervised,VVS
365.0,0.8256703685721313,16.159478814522096,encode_8,ResNet18,Local Aggregation,Self-Supervised,VVS
462.0,0.6278195297135001,298.02977165758784,encode_9,ResNet18,Local Aggregation,Self-Supervised,VVS
574.0,0.6239446519984451,256.3668684090981,encode_2,ResNet18,Instance Recognition,Self-Supervised,VVS
