architecture,task,kind,source,layer,80% variance,alpha,effective dimensionality
ResNet18,None,Untrained,PyTorch,layer1.0.relu,6.0,1.1945710780320486,2.7870724809311427
ResNet18,None,Untrained,PyTorch,layer1.1.relu,6.0,1.1261223751213714,2.7319184082765946
ResNet18,None,Untrained,PyTorch,layer2.0.relu,13.0,0.9790465008856308,3.1995649572608382
ResNet18,None,Untrained,PyTorch,layer2.1.relu,11.0,0.9831288847532043,2.9214665678772587
ResNet18,None,Untrained,PyTorch,layer3.0.relu,26.0,0.8450577432654189,3.4564786684804942
ResNet18,None,Untrained,PyTorch,layer3.1.relu,11.0,0.8987892297594987,2.599629837018758
ResNet18,None,Untrained,PyTorch,layer4.0.relu,32.0,0.7686479418748617,2.8760364758009307
ResNet18,None,Untrained,PyTorch,layer4.1.relu,14.0,0.7945670654287104,2.344804570080618
ResNet50,None,Untrained,PyTorch,layer1.0.relu,10.0,1.016889619639123,3.010917065484917
ResNet50,None,Untrained,PyTorch,layer1.1.relu,9.0,1.0132687365246213,2.5442246353089413
ResNet50,None,Untrained,PyTorch,layer1.2.relu,6.0,0.9998741059599779,2.1835715722072133
ResNet50,None,Untrained,PyTorch,layer2.0.relu,9.0,0.8998531826624667,2.2210949439196623
ResNet50,None,Untrained,PyTorch,layer2.1.relu,8.0,0.9409474374667237,2.1147201746618163
ResNet50,None,Untrained,PyTorch,layer2.2.relu,8.0,0.9207375849796623,2.090695809724565
ResNet50,None,Untrained,PyTorch,layer2.3.relu,5.0,0.918660519617805,1.9949267217803868
ResNet50,None,Untrained,PyTorch,layer3.0.relu,10.0,0.8393539193633061,2.0783815293953363
ResNet50,None,Untrained,PyTorch,layer3.1.relu,5.0,0.8664965806235266,1.938245296792622
ResNet50,None,Untrained,PyTorch,layer3.2.relu,4.0,0.8774555821189073,1.88695980830221
ResNet50,None,Untrained,PyTorch,layer3.3.relu,3.0,0.8610643242461629,1.7065652917944285
ResNet50,None,Untrained,PyTorch,layer3.4.relu,2.0,0.883192956021911,1.5898980803270546
ResNet50,None,Untrained,PyTorch,layer3.5.relu,1.0,0.8893366785020858,1.5286050721390398
ResNet50,None,Untrained,PyTorch,layer4.0.relu,2.0,0.8733068709243854,1.5749035457268987
ResNet50,None,Untrained,PyTorch,layer4.1.relu,1.0,0.8960591025790468,1.5439791395434088
ResNet50,None,Untrained,PyTorch,layer4.2.relu,1.0,0.8871858593448662,1.4344087349557155
ResNet18,Object Classification,Supervised,PyTorch,layer1.0.relu,15.0,1.1414639246544707,5.896697003985138
ResNet18,Object Classification,Supervised,PyTorch,layer1.1.relu,22.0,0.9790440099903597,7.075903156846566
ResNet18,Object Classification,Supervised,PyTorch,layer2.0.relu,41.0,1.02054626072773,16.72629128221216
ResNet18,Object Classification,Supervised,PyTorch,layer2.1.relu,47.0,0.9449513133671569,20.812757417381533
ResNet18,Object Classification,Supervised,PyTorch,layer3.0.relu,71.0,1.045469939875405,28.664492264765997
ResNet18,Object Classification,Supervised,PyTorch,layer3.1.relu,82.0,0.952995766517137,29.97183084177825
ResNet18,Object Classification,Supervised,PyTorch,layer4.0.relu,184.0,0.8955202255000223,70.31869026916799
ResNet18,Object Classification,Supervised,PyTorch,layer4.1.relu,156.0,1.027378526494078,126.93301574327047
ResNet50,Object Classification,Supervised,PyTorch,layer1.0.relu,23.0,1.3774374831930896,6.944284815704659
ResNet50,Object Classification,Supervised,PyTorch,layer1.1.relu,33.0,1.1925842817865595,7.8556952999271825
ResNet50,Object Classification,Supervised,PyTorch,layer1.2.relu,49.0,1.0852394228255935,8.805287734154886
ResNet50,Object Classification,Supervised,PyTorch,layer2.0.relu,86.0,1.144980640755947,17.212072616132083
ResNet50,Object Classification,Supervised,PyTorch,layer2.1.relu,115.0,1.0061512545568876,17.405130247581656
ResNet50,Object Classification,Supervised,PyTorch,layer2.2.relu,147.0,0.9100873648097098,19.893641052019877
ResNet50,Object Classification,Supervised,PyTorch,layer2.3.relu,163.0,0.8749747739680058,23.372329214773348
ResNet50,Object Classification,Supervised,PyTorch,layer3.0.relu,234.0,0.981554638438122,40.70563338682391
ResNet50,Object Classification,Supervised,PyTorch,layer3.1.relu,270.0,0.9286208500588287,43.27350086852007
ResNet50,Object Classification,Supervised,PyTorch,layer3.2.relu,303.0,0.8933837980491829,48.23910560855217
ResNet50,Object Classification,Supervised,PyTorch,layer3.3.relu,307.0,0.8855023071850359,47.041745126354535
ResNet50,Object Classification,Supervised,PyTorch,layer3.4.relu,325.0,0.8675232888574577,51.16509976100534
ResNet50,Object Classification,Supervised,PyTorch,layer3.5.relu,343.0,0.8500931852089875,56.46914929219787
ResNet50,Object Classification,Supervised,PyTorch,layer4.0.relu,451.0,1.003040038077402,94.94952690264836
ResNet50,Object Classification,Supervised,PyTorch,layer4.1.relu,373.0,1.0682596427246065,103.86896970168527
ResNet50,Object Classification,Supervised,PyTorch,layer4.2.relu,210.0,1.2746416840094419,122.61225507180102
ResNet18,Object Classification,Supervised,VVS,encode_2,15.0,1.1721914591016263,6.062068524770653
ResNet18,Object Classification,Supervised,VVS,encode_3,23.0,0.9483481565934433,6.890303801358521
ResNet18,Object Classification,Supervised,VVS,encode_4,41.0,1.0080860647800485,17.549559777193963
ResNet18,Object Classification,Supervised,VVS,encode_5,46.0,0.9492673525488976,22.33992224591905
ResNet18,Object Classification,Supervised,VVS,encode_6,70.0,1.0617067415410046,30.037760071316843
ResNet18,Object Classification,Supervised,VVS,encode_7,88.0,0.9322928239578719,37.565230717567175
ResNet18,Object Classification,Supervised,VVS,encode_8,171.0,0.9251758200122044,62.10734626440247
ResNet18,Object Classification,Supervised,VVS,encode_9,169.0,0.9584429210438482,103.94339939229556
ResNet18,Local Aggregation,Self-Supervised,VVS,encode_2,14.0,1.147568658025769,4.45886448611973
ResNet18,Local Aggregation,Self-Supervised,VVS,encode_3,17.0,1.1548914584814836,7.318860129031458
ResNet18,Local Aggregation,Self-Supervised,VVS,encode_4,33.0,1.156309109750595,15.70903534077608
