80% variance,alpha,effective dimensionality,layer,architecture,task,kind,source
2.0,2.937279265835705,2.7244182094603846,layer1.0.relu,ResNet18,None,Untrained,PyTorch
2.0,3.0339434166294916,2.4960299922355675,layer1.1.relu,ResNet18,None,Untrained,PyTorch
2.0,3.185554190547087,2.3177194905452922,layer2.0.relu,ResNet18,None,Untrained,PyTorch
2.0,2.977917285526689,1.988403264185318,layer2.1.relu,ResNet18,None,Untrained,PyTorch
2.0,2.807560986834215,1.8243845023443725,layer3.0.relu,ResNet18,None,Untrained,PyTorch
2.0,2.4403690932643682,1.5383956576280733,layer3.1.relu,ResNet18,None,Untrained,PyTorch
1.0,2.0969959265569473,1.4777157454650558,layer4.0.relu,ResNet18,None,Untrained,PyTorch
1.0,1.915484372806536,1.3731225406599725,layer4.1.relu,ResNet18,None,Untrained,PyTorch
2.0,3.0212703421785654,2.1178202910600468,layer1.0.relu,ResNet50,None,Untrained,PyTorch
2.0,2.8433174945812008,2.1996226100286296,layer1.1.relu,ResNet50,None,Untrained,PyTorch
2.0,3.110918400727765,1.7882010408470446,layer1.2.relu,ResNet50,None,Untrained,PyTorch
2.0,2.8933842208273663,1.6807155506307827,layer2.0.relu,ResNet50,None,Untrained,PyTorch
2.0,2.8033242728706704,1.5487896136537331,layer2.1.relu,ResNet50,None,Untrained,PyTorch
1.0,2.6750615906662323,1.4076245533173153,layer2.2.relu,ResNet50,None,Untrained,PyTorch
1.0,2.7999558302478027,1.2708843596943287,layer2.3.relu,ResNet50,None,Untrained,PyTorch
1.0,2.58133574077763,1.228517020351708,layer3.0.relu,ResNet50,None,Untrained,PyTorch
1.0,2.423579156489109,1.1913577879742798,layer3.1.relu,ResNet50,None,Untrained,PyTorch
1.0,2.6032420515777033,1.130331663863339,layer3.2.relu,ResNet50,None,Untrained,PyTorch
1.0,2.5833263407094864,1.1011133290825226,layer3.3.relu,ResNet50,None,Untrained,PyTorch
1.0,2.385965698788275,1.081767308775272,layer3.4.relu,ResNet50,None,Untrained,PyTorch
1.0,2.5769053954776715,1.0667062585188456,layer3.5.relu,ResNet50,None,Untrained,PyTorch
1.0,2.1773838382794737,1.0736641471921413,layer4.0.relu,ResNet50,None,Untrained,PyTorch
1.0,2.2496660699431943,1.0616244553510983,layer4.1.relu,ResNet50,None,Untrained,PyTorch
1.0,2.258919908999131,1.0646889280845722,layer4.2.relu,ResNet50,None,Untrained,PyTorch
6.0,1.9609533048183243,7.195634245406435,layer1.0.relu,ResNet18,Object Classification,Supervised,PyTorch
9.0,1.5690756747371357,9.282137093035672,layer1.1.relu,ResNet18,Object Classification,Supervised,PyTorch
14.0,1.5134536587378102,12.530979839044697,layer2.0.relu,ResNet18,Object Classification,Supervised,PyTorch
21.0,1.2754973049148735,14.80121066360096,layer2.1.relu,ResNet18,Object Classification,Supervised,PyTorch
31.0,1.252678981460216,21.361880719316783,layer3.0.relu,ResNet18,Object Classification,Supervised,PyTorch
50.0,1.0539756283603943,33.51101450249391,layer3.1.relu,ResNet18,Object Classification,Supervised,PyTorch
117.0,0.9438267618156124,56.75116901216077,layer4.0.relu,ResNet18,Object Classification,Supervised,PyTorch
135.0,0.8118965434635579,113.02335437306434,layer4.1.relu,ResNet18,Object Classification,Supervised,PyTorch
7.0,2.746895701702773,8.045734732624231,layer1.0.relu,ResNet50,Object Classification,Supervised,PyTorch
9.0,2.575363224485893,9.359566093650233,layer1.1.relu,ResNet50,Object Classification,Supervised,PyTorch
9.0,1.8754559721857933,9.948390710761034,layer1.2.relu,ResNet50,Object Classification,Supervised,PyTorch
8.0,2.818572213515524,8.310351397869393,layer2.0.relu,ResNet50,Object Classification,Supervised,PyTorch
16.0,2.247451457552616,13.140007007571487,layer2.1.relu,ResNet50,Object Classification,Supervised,PyTorch
21.0,1.5557944193249573,15.338724123638135,layer2.2.relu,ResNet50,Object Classification,Supervised,PyTorch
25.0,1.459621007086758,17.67596760194595,layer2.3.relu,ResNet50,Object Classification,Supervised,PyTorch
30.0,2.0359118204384727,18.091324798616984,layer3.0.relu,ResNet50,Object Classification,Supervised,PyTorch
49.0,1.8385580230114333,27.15842480208781,layer3.1.relu,ResNet50,Object Classification,Supervised,PyTorch
63.0,1.6131344000206662,30.50286395385793,layer3.2.relu,ResNet50,Object Classification,Supervised,PyTorch
75.0,1.6988348878577006,33.8369007555539,layer3.3.relu,ResNet50,Object Classification,Supervised,PyTorch
