80% variance,alpha,effective dimensionality,layer,architecture,task,kind,source
144.0,1.114533987825859,27.717637185085874,layer1.0.relu,ResNet18,None,Untrained,PyTorch
129.0,1.1398063705184502,25.304298472915626,layer1.1.relu,ResNet18,None,Untrained,PyTorch
142.0,1.1237929987986548,24.93184747940513,layer2.0.relu,ResNet18,None,Untrained,PyTorch
137.0,1.1322924016954257,20.31862287582494,layer2.1.relu,ResNet18,None,Untrained,PyTorch
152.0,1.11681366755299,21.004401304898963,layer3.0.relu,ResNet18,None,Untrained,PyTorch
151.0,1.1249577695879658,17.034101897419617,layer3.1.relu,ResNet18,None,Untrained,PyTorch
141.0,1.1423114988368468,13.540922188469645,layer4.0.relu,ResNet18,None,Untrained,PyTorch
140.0,1.1461489784980012,12.255002357832323,layer4.1.relu,ResNet18,None,Untrained,PyTorch
158.0,1.0987024004088557,29.57631593780584,layer1.0.relu,ResNet50,None,Untrained,PyTorch
186.0,1.0653842846070318,34.4540609311049,layer1.1.relu,ResNet50,None,Untrained,PyTorch
134.0,1.1286952752249098,25.978815961437363,layer1.2.relu,ResNet50,None,Untrained,PyTorch
128.0,1.1406992502317088,23.11869150080105,layer2.0.relu,ResNet50,None,Untrained,PyTorch
107.0,1.1653783587044921,19.618512883312082,layer2.1.relu,ResNet50,None,Untrained,PyTorch
74.0,1.2125523836090746,15.514369848891286,layer2.2.relu,ResNet50,None,Untrained,PyTorch
62.0,1.2352916237230676,12.918076389548501,layer2.3.relu,ResNet50,None,Untrained,PyTorch
56.0,1.2446999664462388,11.729729415164208,layer3.0.relu,ResNet50,None,Untrained,PyTorch
46.0,1.2674819837215368,10.234599328114733,layer3.1.relu,ResNet50,None,Untrained,PyTorch
37.0,1.281676323692151,8.458583307785949,layer3.2.relu,ResNet50,None,Untrained,PyTorch
33.0,1.2902329014337865,7.962166419767316,layer3.3.relu,ResNet50,None,Untrained,PyTorch
29.0,1.2990617169673389,7.61254408510388,layer3.4.relu,ResNet50,None,Untrained,PyTorch
