80% variance,alpha,effective dimensionality,layer,architecture,task,kind,source
5.0,1.4745527220638073,3.1332313074061298,layer1.0.relu,ResNet18,None,Untrained,PyTorch
4.0,1.530573534358889,2.889605502851264,layer1.1.relu,ResNet18,None,Untrained,PyTorch
8.0,2.086426024572641,3.691616367689113,layer2.0.relu,ResNet18,None,Untrained,PyTorch
8.0,1.5746580194289024,3.4412780741839235,layer2.1.relu,ResNet18,None,Untrained,PyTorch
19.0,1.9056619847483398,3.3323669775272258,layer3.0.relu,ResNet18,None,Untrained,PyTorch
13.0,1.3014949507820681,2.805639108603491,layer3.1.relu,ResNet18,None,Untrained,PyTorch
29.0,1.369821581127139,2.7201127360787303,layer4.0.relu,ResNet18,None,Untrained,PyTorch
12.0,1.2468380401988057,2.2118601799107216,layer4.1.relu,ResNet18,None,Untrained,PyTorch
10.0,1.995387100902844,2.8381428366959405,layer1.0.relu,ResNet50,None,Untrained,PyTorch
7.0,1.7894570120520417,2.6048872906028557,layer1.1.relu,ResNet50,None,Untrained,PyTorch
8.0,1.4113954560810085,2.675661495609569,layer1.2.relu,ResNet50,None,Untrained,PyTorch
27.0,1.766184509759005,2.929731829997839,layer2.0.relu,ResNet50,None,Untrained,PyTorch
15.0,1.863446605518802,2.633078622448334,layer2.1.relu,ResNet50,None,Untrained,PyTorch
10.0,1.8141609699007015,2.333988879705457,layer2.2.relu,ResNet50,None,Untrained,PyTorch
8.0,1.8142164653700477,2.25421287948332,layer2.3.relu,ResNet50,None,Untrained,PyTorch
36.0,1.5821737383885675,2.6366636697138164,layer3.0.relu,ResNet50,None,Untrained,PyTorch
14.0,1.7042309517176413,2.3676870663676306,layer3.1.relu,ResNet50,None,Untrained,PyTorch
7.0,1.7172099721793002,2.0335284811759586,layer3.2.relu,ResNet50,None,Untrained,PyTorch
4.0,1.7485630664466507,1.8568339679129098,layer3.3.relu,ResNet50,None,Untrained,PyTorch
3.0,1.8413939307369163,1.70508707989691,layer3.4.relu,ResNet50,None,Untrained,PyTorch
1.0,1.822784338036338,1.5536844440154702,layer3.5.relu,ResNet50,None,Untrained,PyTorch
3.0,1.6615794812810167,1.6859835729711365,layer4.0.relu,ResNet50,None,Untrained,PyTorch
2.0,1.7151915314103907,1.6307944874088092,layer4.1.relu,ResNet50,None,Untrained,PyTorch
1.0,1.737670954507678,1.5559998799581833,layer4.2.relu,ResNet50,None,Untrained,PyTorch
15.0,1.5092392890078457,6.1483329618251235,layer1.0.relu,ResNet18,Object Classification,Supervised,PyTorch
21.0,1.3580345356154406,8.557376258235962,layer1.1.relu,ResNet18,Object Classification,Supervised,PyTorch
35.0,1.5988206546418393,18.874647095312675,layer2.0.relu,ResNet18,Object Classification,Supervised,PyTorch
39.0,1.2095171246675864,24.73405704802546,layer2.1.relu,ResNet18,Object Classification,Supervised,PyTorch
65.0,1.1350392172389898,32.025956485696504,layer3.0.relu,ResNet18,Object Classification,Supervised,PyTorch
71.0,1.0523842409142978,42.0111467717081,layer3.1.relu,ResNet18,Object Classification,Supervised,PyTorch
144.0,0.9910077078896191,48.57551909967372,layer4.0.relu,ResNet18,Object Classification,Supervised,PyTorch
97.0,1.0069655434765805,48.6838088707258,layer4.1.relu,ResNet18,Object Classification,Supervised,PyTorch
20.0,2.0203888768733367,5.047648941721692,layer1.0.relu,ResNet50,Object Classification,Supervised,PyTorch
33.0,1.7756269332037493,6.026423927490268,layer1.1.relu,ResNet50,Object Classification,Supervised,PyTorch
49.0,1.4114541471370792,8.214320150434522,layer1.2.relu,ResNet50,Object Classification,Supervised,PyTorch
97.0,2.0516692266888605,26.620126690976797,layer2.0.relu,ResNet50,Object Classification,Supervised,PyTorch
109.0,1.551907651086232,27.54501518455248,layer2.1.relu,ResNet50,Object Classification,Supervised,PyTorch
135.0,1.3996180904325892,36.024419621236326,layer2.2.relu,ResNet50,Object Classification,Supervised,PyTorch
145.0,1.3488063088687958,44.92943517673012,layer2.3.relu,ResNet50,Object Classification,Supervised,PyTorch
220.0,1.4405620412966738,64.69039237378144,layer3.0.relu,ResNet50,Object Classification,Supervised,PyTorch
257.0,1.4499480572007235,77.14131045909345,layer3.1.relu,ResNet50,Object Classification,Supervised,PyTorch
279.0,1.486392357226291,87.56595729272482,layer3.2.relu,ResNet50,Object Classification,Supervised,PyTorch
281.0,1.2881939609568387,92.90366999025866,layer3.3.relu,ResNet50,Object Classification,Supervised,PyTorch
288.0,0.9952800995866788,100.50365994145862,layer3.4.relu,ResNet50,Object Classification,Supervised,PyTorch
286.0,0.9908687444778508,105.51488792440603,layer3.5.relu,ResNet50,Object Classification,Supervised,PyTorch
364.0,1.0648766421278728,89.95122781060769,layer4.0.relu,ResNet50,Object Classification,Supervised,PyTorch
321.0,1.06867299513547,80.80975115114491,layer4.1.relu,ResNet50,Object Classification,Supervised,PyTorch
127.0,1.2066171843421105,56.249859128467875,layer4.2.relu,ResNet50,Object Classification,Supervised,PyTorch
14.0,2.0623521896708246,5.6628880021639585,encode_2,ResNet18,Object Classification,Supervised,VVS
22.0,1.1909177018018544,8.294547813269208,encode_3,ResNet18,Object Classification,Supervised,VVS
36.0,1.5601114942410264,21.399203341681353,encode_4,ResNet18,Object Classification,Supervised,VVS
40.0,1.2032596998181369,28.36106632192032,encode_5,ResNet18,Object Classification,Supervised,VVS
67.0,1.1148489110227175,34.748404557291785,encode_6,ResNet18,Object Classification,Supervised,VVS
82.0,0.9312307966921098,53.17226315385175,encode_7,ResNet18,Object Classification,Supervised,VVS
