layer,score,score_error,architecture,task,kind,source
layer1.0.relu,0.3076451232525794,0.009289283973255655,ResNet18,None,Untrained,PyTorch
layer1.1.relu,0.31383458748885457,0.009314808297672547,ResNet18,None,Untrained,PyTorch
layer2.0.relu,0.31108512088016527,0.009448059061312825,ResNet18,None,Untrained,PyTorch
layer2.1.relu,0.2978691623547481,0.009751921712106202,ResNet18,None,Untrained,PyTorch
layer3.0.relu,0.31272332914086576,0.009958065809134003,ResNet18,None,Untrained,PyTorch
layer3.1.relu,0.3181806675028026,0.010703334704629964,ResNet18,None,Untrained,PyTorch
layer4.0.relu,0.3231399570188408,0.011943104299952875,ResNet18,None,Untrained,PyTorch
layer4.1.relu,0.31884279223324746,0.011334185762514656,ResNet18,None,Untrained,PyTorch
layer1.0.relu,0.3059777622168373,0.009629975910870264,ResNet50,None,Untrained,PyTorch
layer1.1.relu,0.29961286187779546,0.009455801887780795,ResNet50,None,Untrained,PyTorch
layer1.2.relu,0.28842599107147227,0.009241002912037336,ResNet50,None,Untrained,PyTorch
layer2.0.relu,0.2840956653745321,0.009118706943505629,ResNet50,None,Untrained,PyTorch
layer2.1.relu,0.2712741062286267,0.008930722791320959,ResNet50,None,Untrained,PyTorch
layer2.2.relu,0.267513289277336,0.009156057858824904,ResNet50,None,Untrained,PyTorch
layer2.3.relu,0.25568974197117833,0.008968840072775614,ResNet50,None,Untrained,PyTorch
layer3.0.relu,0.2536334387340103,0.008965312972826588,ResNet50,None,Untrained,PyTorch
layer3.1.relu,0.2516188952618399,0.00881726451661642,ResNet50,None,Untrained,PyTorch
layer3.2.relu,0.24636411594478141,0.00894674080903765,ResNet50,None,Untrained,PyTorch
layer3.3.relu,0.24643111010961727,0.00870677404165019,ResNet50,None,Untrained,PyTorch
layer3.4.relu,0.23767273528869776,0.008716433141538076,ResNet50,None,Untrained,PyTorch
layer3.5.relu,0.2305268341434213,0.009070892155766414,ResNet50,None,Untrained,PyTorch
layer4.0.relu,0.24449126748167344,0.009249041602331561,ResNet50,None,Untrained,PyTorch
layer4.1.relu,0.23915123343119804,0.0088222067887577,ResNet50,None,Untrained,PyTorch
