layer,score,score_error,architecture,task,kind,source
layer1.0.relu,0.3215367790040748,0.012098787439541273,ResNet18,None,Untrained,PyTorch
layer1.1.relu,0.3234769903171264,0.012008506893441939,ResNet18,None,Untrained,PyTorch
layer2.0.relu,0.3221149361944404,0.011827106791382686,ResNet18,None,Untrained,PyTorch
layer2.1.relu,0.3147880754284587,0.01171749209010761,ResNet18,None,Untrained,PyTorch
layer3.0.relu,0.31224008547271603,0.011879578392761459,ResNet18,None,Untrained,PyTorch
layer3.1.relu,0.31868198387982727,0.011747785225935862,ResNet18,None,Untrained,PyTorch
layer4.0.relu,0.34222921477539975,0.011595256704198543,ResNet18,None,Untrained,PyTorch
layer4.1.relu,0.3629601092349164,0.011556159137881019,ResNet18,None,Untrained,PyTorch
layer1.0.relu,0.3190089940242601,0.012500226510566578,ResNet50,None,Untrained,PyTorch
layer1.1.relu,0.32440392186269995,0.012908378647437883,ResNet50,None,Untrained,PyTorch
layer1.2.relu,0.3351387607664405,0.012546154950117388,ResNet50,None,Untrained,PyTorch
layer2.0.relu,0.3347561136249817,0.01246144813043698,ResNet50,None,Untrained,PyTorch
layer2.1.relu,0.3149699080972029,0.012410414587001529,ResNet50,None,Untrained,PyTorch
layer2.2.relu,0.31256950856071286,0.01219694854598258,ResNet50,None,Untrained,PyTorch
layer2.3.relu,0.30294210464163274,0.012093925577421262,ResNet50,None,Untrained,PyTorch
layer3.0.relu,0.30261488631202677,0.012018511512184632,ResNet50,None,Untrained,PyTorch
layer3.1.relu,0.30814098661295697,0.011738286910062082,ResNet50,None,Untrained,PyTorch
layer3.2.relu,0.3060111531518428,0.011627317122557723,ResNet50,None,Untrained,PyTorch
layer3.3.relu,0.31420053888664734,0.011291736967803442,ResNet50,None,Untrained,PyTorch
layer3.4.relu,0.32094974248488606,0.010942598794480549,ResNet50,None,Untrained,PyTorch
layer3.5.relu,0.32099660679956044,0.010903787746883189,ResNet50,None,Untrained,PyTorch
layer4.0.relu,0.3213596546748334,0.010827475264143705,ResNet50,None,Untrained,PyTorch
layer4.1.relu,0.3112868637605575,0.010819121744330171,ResNet50,None,Untrained,PyTorch
layer4.2.relu,0.30041242838776033,0.010754159049833997,ResNet50,None,Untrained,PyTorch
layer1.0.relu,0.42988180785374897,0.01140571893860848,ResNet18,Object Classification,Supervised,PyTorch
layer1.1.relu,0.44578610375024147,0.012051931467344613,ResNet18,Object Classification,Supervised,PyTorch
layer2.0.relu,0.46621909735253386,0.011096430756294113,ResNet18,Object Classification,Supervised,PyTorch
layer2.1.relu,0.45214122934386314,0.011576772294424033,ResNet18,Object Classification,Supervised,PyTorch
layer3.0.relu,0.4525225237473057,0.010638519443056394,ResNet18,Object Classification,Supervised,PyTorch
layer3.1.relu,0.4627123269899333,0.01068567586899678,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu,0.46075348991394766,0.010642487424199626,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu,0.45942570824886503,0.009531349017471486,ResNet18,Object Classification,Supervised,PyTorch
layer1.0.relu,0.42654691225478636,0.011269077998297933,ResNet50,Object Classification,Supervised,PyTorch
layer1.1.relu,0.41960041247819085,0.01171778439813156,ResNet50,Object Classification,Supervised,PyTorch
layer1.2.relu,0.4192509363114321,0.011798661805970993,ResNet50,Object Classification,Supervised,PyTorch
layer2.0.relu,0.41415096417308156,0.011479657558604054,ResNet50,Object Classification,Supervised,PyTorch
layer2.1.relu,0.4236364678100903,0.011730525567147328,ResNet50,Object Classification,Supervised,PyTorch
layer2.2.relu,0.4408096487557691,0.011679688048731186,ResNet50,Object Classification,Supervised,PyTorch
layer2.3.relu,0.44951893457791114,0.011769760701809018,ResNet50,Object Classification,Supervised,PyTorch
layer3.0.relu,0.4485568279072584,0.012430887250673168,ResNet50,Object Classification,Supervised,PyTorch
layer3.1.relu,0.46055551530517924,0.012095235087854681,ResNet50,Object Classification,Supervised,PyTorch
layer3.2.relu,0.4648444035376267,0.01120282101437396,ResNet50,Object Classification,Supervised,PyTorch
layer3.3.relu,0.4714580394090847,0.011394192744032522,ResNet50,Object Classification,Supervised,PyTorch
layer3.4.relu,0.4779746285733695,0.011260073355241053,ResNet50,Object Classification,Supervised,PyTorch
layer3.5.relu,0.4713497064187579,0.011442047895050003,ResNet50,Object Classification,Supervised,PyTorch
layer4.0.relu,0.5258562475136541,0.009624750591715305,ResNet50,Object Classification,Supervised,PyTorch
layer4.1.relu,0.5121780799852713,0.00916628422436011,ResNet50,Object Classification,Supervised,PyTorch
layer4.2.relu,0.4797469129884028,0.009775896931229794,ResNet50,Object Classification,Supervised,PyTorch
encode_2,0.41398370884784375,0.011413417517345306,ResNet18,Object Classification,Supervised,VVS
encode_3,0.423437981810274,0.012161833709158777,ResNet18,Object Classification,Supervised,VVS
encode_4,0.45338812508430004,0.01183938315327429,ResNet18,Object Classification,Supervised,VVS
encode_5,0.42506668697366706,0.012482626698369307,ResNet18,Object Classification,Supervised,VVS
encode_6,0.46688144390500386,0.010832193079755786,ResNet18,Object Classification,Supervised,VVS
encode_7,0.483805778891954,0.010438718671301583,ResNet18,Object Classification,Supervised,VVS
encode_8,0.4870753883571502,0.010457454007839942,ResNet18,Object Classification,Supervised,VVS
encode_9,0.48582197158027474,0.010984251168291746,ResNet18,Object Classification,Supervised,VVS
encode_2,0.4205750122995874,0.011119156314665223,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_3,0.4353760285450129,0.012688389497357597,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_4,0.4331807499377692,0.012806555348484917,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_5,0.4527090272526013,0.013012314429132841,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_6,0.4489307424226005,0.011955165275498473,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_7,0.44715876954947037,0.012156762484734044,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_8,0.46526536300886484,0.012229706584496592,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_9,0.3927541917426457,0.012479621194102395,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_2,0.42102229416530423,0.011507369405580002,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_3,0.4209535569696655,0.012697943684709435,ResNet18,Instance Recognition,Self-Supervised,VVS
