layer,score,score_error,architecture,task,kind,source
layer1.0.relu,0.3033629235070691,0.006867083296336373,ResNet18,None,Untrained,PyTorch
layer1.1.relu,0.303701495039821,0.006852386196715911,ResNet18,None,Untrained,PyTorch
layer2.0.relu,0.30069460697002226,0.0065204516672169475,ResNet18,None,Untrained,PyTorch
layer2.1.relu,0.30191314062177016,0.006267245431831721,ResNet18,None,Untrained,PyTorch
layer3.0.relu,0.2957643554985559,0.006283957368840785,ResNet18,None,Untrained,PyTorch
layer3.1.relu,0.3020273993300536,0.006590644850657318,ResNet18,None,Untrained,PyTorch
layer4.0.relu,0.31364937628238504,0.0066196073167300975,ResNet18,None,Untrained,PyTorch
layer4.1.relu,0.3088624613712015,0.006736015986281647,ResNet18,None,Untrained,PyTorch
layer1.0.relu,0.2895155688153922,0.0071698816970652566,ResNet50,None,Untrained,PyTorch
layer1.1.relu,0.2809715989304394,0.006830564789313642,ResNet50,None,Untrained,PyTorch
layer1.2.relu,0.26931860865868373,0.006507883646109961,ResNet50,None,Untrained,PyTorch
layer2.0.relu,0.26117584086353324,0.006700289480003968,ResNet50,None,Untrained,PyTorch
layer2.1.relu,0.24240601248709986,0.006778435895490499,ResNet50,None,Untrained,PyTorch
layer2.2.relu,0.22818011373678582,0.006952484002466501,ResNet50,None,Untrained,PyTorch
layer2.3.relu,0.2044797987295433,0.006745736737519861,ResNet50,None,Untrained,PyTorch
layer3.0.relu,0.20079566263554488,0.006741687312326014,ResNet50,None,Untrained,PyTorch
layer3.1.relu,0.20146715176018565,0.006758393638381051,ResNet50,None,Untrained,PyTorch
layer3.2.relu,0.1919454646843532,0.006777901641274022,ResNet50,None,Untrained,PyTorch
layer3.3.relu,0.1956404774531055,0.006616595670287501,ResNet50,None,Untrained,PyTorch
layer3.4.relu,0.2010618890954785,0.006628916183787907,ResNet50,None,Untrained,PyTorch
layer3.5.relu,0.1957892848277263,0.006728551100272825,ResNet50,None,Untrained,PyTorch
layer4.0.relu,0.20678705195752117,0.007138652782865962,ResNet50,None,Untrained,PyTorch
layer4.1.relu,0.20766967682608686,0.0070403517638270765,ResNet50,None,Untrained,PyTorch
layer4.2.relu,0.2086877344795898,0.007142418243584059,ResNet50,None,Untrained,PyTorch
layer1.0.relu,0.38534717471772917,0.007836552660162277,ResNet18,Object Classification,Supervised,PyTorch
layer1.1.relu,0.41206110637130516,0.007731444926912084,ResNet18,Object Classification,Supervised,PyTorch
layer2.0.relu,0.4235014038264777,0.007571871579409521,ResNet18,Object Classification,Supervised,PyTorch
layer2.1.relu,0.44452019921620156,0.008631920400267517,ResNet18,Object Classification,Supervised,PyTorch
layer3.0.relu,0.4152334533146393,0.009769941801350433,ResNet18,Object Classification,Supervised,PyTorch
layer3.1.relu,0.39919194308097083,0.00948073285063594,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu,0.40098136942780127,0.009845113938179257,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu,0.38484529185686034,0.007934152081102824,ResNet18,Object Classification,Supervised,PyTorch
layer1.0.relu,0.36900952463134046,0.00730511572808038,ResNet50,Object Classification,Supervised,PyTorch
layer1.1.relu,0.37678079325342023,0.007384268697347289,ResNet50,Object Classification,Supervised,PyTorch
layer1.2.relu,0.38545720792272875,0.007292483610793626,ResNet50,Object Classification,Supervised,PyTorch
layer2.0.relu,0.3996145401827962,0.007308313487042156,ResNet50,Object Classification,Supervised,PyTorch
layer2.1.relu,0.40816907859446383,0.007744882887299611,ResNet50,Object Classification,Supervised,PyTorch
layer2.2.relu,0.41212094277663147,0.007896977338433869,ResNet50,Object Classification,Supervised,PyTorch
layer2.3.relu,0.4183751762850423,0.008015737723345418,ResNet50,Object Classification,Supervised,PyTorch
layer3.0.relu,0.40511564728085814,0.009112288167763785,ResNet50,Object Classification,Supervised,PyTorch
layer3.1.relu,0.41375088788358116,0.009060260761012975,ResNet50,Object Classification,Supervised,PyTorch
layer3.2.relu,0.3972596936019896,0.009564667865663092,ResNet50,Object Classification,Supervised,PyTorch
layer3.3.relu,0.3833322147408028,0.009790604143068486,ResNet50,Object Classification,Supervised,PyTorch
layer3.4.relu,0.38239063649525595,0.009549700309612661,ResNet50,Object Classification,Supervised,PyTorch
layer3.5.relu,0.3822123588168536,0.009476205307022867,ResNet50,Object Classification,Supervised,PyTorch
layer4.0.relu,0.40323385575101484,0.009234480039426216,ResNet50,Object Classification,Supervised,PyTorch
layer4.1.relu,0.382888544002959,0.009195780285827671,ResNet50,Object Classification,Supervised,PyTorch
layer4.2.relu,0.4146231248629872,0.007632800906135351,ResNet50,Object Classification,Supervised,PyTorch
encode_2,0.3641170203059617,0.007915975774703503,ResNet18,Object Classification,Supervised,VVS
encode_3,0.3803240985137645,0.007770318977177054,ResNet18,Object Classification,Supervised,VVS
encode_4,0.4073996618615332,0.007908824386040408,ResNet18,Object Classification,Supervised,VVS
encode_5,0.4206857829291947,0.008613966285489362,ResNet18,Object Classification,Supervised,VVS
encode_6,0.4073632822966148,0.009580507940101419,ResNet18,Object Classification,Supervised,VVS
encode_7,0.3889244144869239,0.009817161379136512,ResNet18,Object Classification,Supervised,VVS
encode_8,0.3960842285764587,0.009961670294883311,ResNet18,Object Classification,Supervised,VVS
encode_9,0.4188712269011613,0.008995021865633416,ResNet18,Object Classification,Supervised,VVS
