layer,score,score_error,architecture,task,kind,source
layer1.0.relu,0.2480930884458028,0.007623066070631762,ResNet18,None,Untrained,PyTorch
layer1.1.relu,0.25741483358596184,0.006727557940678368,ResNet18,None,Untrained,PyTorch
layer2.0.relu,0.32261328840484776,0.006366749459094217,ResNet18,None,Untrained,PyTorch
layer2.1.relu,0.25764469858954586,0.007244575305272652,ResNet18,None,Untrained,PyTorch
layer3.0.relu,0.3153663082302159,0.009026033919406823,ResNet18,None,Untrained,PyTorch
layer3.1.relu,0.3249485144493146,0.008566066840670988,ResNet18,None,Untrained,PyTorch
layer4.0.relu,0.34996203478463517,0.00851313804574353,ResNet18,None,Untrained,PyTorch
layer4.1.relu,0.352645709202009,0.008881533738245444,ResNet18,None,Untrained,PyTorch
layer1.0.relu,0.2067411994443643,0.007396606119044957,ResNet50,None,Untrained,PyTorch
layer1.1.relu,0.218360341445952,0.0074431109261864185,ResNet50,None,Untrained,PyTorch
layer1.2.relu,0.18496168531124157,0.007338045354760309,ResNet50,None,Untrained,PyTorch
layer2.0.relu,0.14456218169535828,0.0075423528236018165,ResNet50,None,Untrained,PyTorch
layer2.1.relu,0.10426193347756882,0.0067993054562196465,ResNet50,None,Untrained,PyTorch
layer2.2.relu,0.1067182776968783,0.006312872156827079,ResNet50,None,Untrained,PyTorch
layer2.3.relu,0.09577836068821488,0.0060166369987844324,ResNet50,None,Untrained,PyTorch
layer3.0.relu,0.17051251387779756,0.007235859028066244,ResNet50,None,Untrained,PyTorch
layer3.1.relu,0.14894357832528415,0.007334456670343961,ResNet50,None,Untrained,PyTorch
layer3.2.relu,0.17844324253885113,0.006599094305884745,ResNet50,None,Untrained,PyTorch
layer3.3.relu,0.19421881514748598,0.006620244361689853,ResNet50,None,Untrained,PyTorch
layer3.4.relu,0.24336454558973822,0.006708772433825852,ResNet50,None,Untrained,PyTorch
layer3.5.relu,0.22730822832133482,0.006740972600770048,ResNet50,None,Untrained,PyTorch
layer4.0.relu,0.2899003713392776,0.007339376028860849,ResNet50,None,Untrained,PyTorch
layer4.1.relu,0.3222630414123916,0.00705478675342837,ResNet50,None,Untrained,PyTorch
layer4.2.relu,0.28904011984985384,0.007389852559308948,ResNet50,None,Untrained,PyTorch
layer1.0.relu,0.48613382388963317,0.008368106533016369,ResNet18,Object Classification,Supervised,PyTorch
layer1.1.relu,0.5140479849197327,0.00850058694787627,ResNet18,Object Classification,Supervised,PyTorch
layer2.0.relu,0.554917389400437,0.009256801615274757,ResNet18,Object Classification,Supervised,PyTorch
layer2.1.relu,0.5684134526558073,0.009717084275942135,ResNet18,Object Classification,Supervised,PyTorch
layer3.0.relu,0.5750787254110569,0.008326377198946668,ResNet18,Object Classification,Supervised,PyTorch
layer3.1.relu,0.5833457754596008,0.007744334388101227,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu,0.5969538813735321,0.006803226169981107,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu,0.5640685960900111,0.006857652337059492,ResNet18,Object Classification,Supervised,PyTorch
layer1.0.relu,0.45828944522969384,0.008514581806466512,ResNet50,Object Classification,Supervised,PyTorch
layer1.1.relu,0.4775953158374903,0.008855979884004345,ResNet50,Object Classification,Supervised,PyTorch
layer1.2.relu,0.4816982099908265,0.008933856461228126,ResNet50,Object Classification,Supervised,PyTorch
layer2.0.relu,0.5255374121915634,0.00932028843972668,ResNet50,Object Classification,Supervised,PyTorch
layer2.1.relu,0.5514215840144929,0.009626163378479838,ResNet50,Object Classification,Supervised,PyTorch
layer2.2.relu,0.563848923633514,0.009745575634347315,ResNet50,Object Classification,Supervised,PyTorch
layer2.3.relu,0.5701200383760237,0.009860361213571436,ResNet50,Object Classification,Supervised,PyTorch
layer3.0.relu,0.584818058780156,0.009531804384790728,ResNet50,Object Classification,Supervised,PyTorch
layer3.1.relu,0.6037472784919029,0.00878673436604445,ResNet50,Object Classification,Supervised,PyTorch
layer3.2.relu,0.5981177376874387,0.008345839201921529,ResNet50,Object Classification,Supervised,PyTorch
layer3.3.relu,0.5978276578944962,0.007616211102607323,ResNet50,Object Classification,Supervised,PyTorch
layer3.4.relu,0.5991405724489097,0.007608252009884169,ResNet50,Object Classification,Supervised,PyTorch
