layer,score,score_error,architecture,task,kind,source
layer1.0.relu,0.32223056732573707,0.006785078520078783,ResNet18,None,Untrained,PyTorch
layer1.1.relu,0.1264427510268809,0.006531571279015673,ResNet18,None,Untrained,PyTorch
layer2.0.relu,0.28239402114800494,0.006246771380361659,ResNet18,None,Untrained,PyTorch
layer2.1.relu,0.19369214396172763,0.007490411258861327,ResNet18,None,Untrained,PyTorch
layer3.0.relu,0.30462434787506476,0.009549393821819597,ResNet18,None,Untrained,PyTorch
layer3.1.relu,0.4219875676258102,0.007812245317008573,ResNet18,None,Untrained,PyTorch
layer4.0.relu,0.39810883358938404,0.009551237891138946,ResNet18,None,Untrained,PyTorch
layer4.1.relu,0.4741568467803824,0.0075754430517618095,ResNet18,None,Untrained,PyTorch
layer1.0.relu,0.2578748685443734,0.009544309873050189,ResNet50,None,Untrained,PyTorch
layer1.1.relu,0.3452203801748235,0.00812024159383442,ResNet50,None,Untrained,PyTorch
layer1.2.relu,0.4342187057111046,0.006953578449219221,ResNet50,None,Untrained,PyTorch
layer2.0.relu,0.479991463811834,0.009158603773475323,ResNet50,None,Untrained,PyTorch
layer2.1.relu,0.42163630968811616,0.009073033507455738,ResNet50,None,Untrained,PyTorch
layer2.2.relu,0.3669482987084549,0.00863896574114934,ResNet50,None,Untrained,PyTorch
layer2.3.relu,0.30968038420494437,0.009236467963371053,ResNet50,None,Untrained,PyTorch
layer3.0.relu,0.4405473610254056,0.008366409885294707,ResNet50,None,Untrained,PyTorch
layer3.1.relu,0.34933556738949867,0.010189817559636778,ResNet50,None,Untrained,PyTorch
layer3.2.relu,0.328655317303989,0.01161234884287865,ResNet50,None,Untrained,PyTorch
layer3.3.relu,0.3440444212727186,0.009562881180391733,ResNet50,None,Untrained,PyTorch
layer3.4.relu,0.29268620833331216,0.00825758588828444,ResNet50,None,Untrained,PyTorch
layer3.5.relu,0.30056398397532014,0.008592405422110056,ResNet50,None,Untrained,PyTorch
layer4.0.relu,0.3627775077842979,0.008366289672604638,ResNet50,None,Untrained,PyTorch
layer4.1.relu,0.3346706928709942,0.00816408266773161,ResNet50,None,Untrained,PyTorch
layer4.2.relu,0.34424420669819167,0.008976539334999263,ResNet50,None,Untrained,PyTorch
layer1.0.relu,0.2708158536621071,0.006582353117241961,ResNet18,Object Classification,Supervised,PyTorch
layer1.1.relu,0.24617694039696775,0.0064035536605779935,ResNet18,Object Classification,Supervised,PyTorch
layer2.0.relu,0.354841705643327,0.00828726000029004,ResNet18,Object Classification,Supervised,PyTorch
layer2.1.relu,0.3878323197526766,0.009452319227664659,ResNet18,Object Classification,Supervised,PyTorch
layer3.0.relu,0.5627337759664467,0.008444054994100107,ResNet18,Object Classification,Supervised,PyTorch
layer3.1.relu,0.5736332067312448,0.007983720717888198,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu,0.5731818648862009,0.008800862702368127,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu,0.5438973228416089,0.007173013321454647,ResNet18,Object Classification,Supervised,PyTorch
layer1.0.relu,0.3532380790914357,0.009714908554342518,ResNet50,Object Classification,Supervised,PyTorch
layer1.1.relu,0.3558753026616265,0.010367018737341827,ResNet50,Object Classification,Supervised,PyTorch
layer1.2.relu,0.3167685874852249,0.011321827188543422,ResNet50,Object Classification,Supervised,PyTorch
layer2.0.relu,0.5010037374708396,0.009805281609930109,ResNet50,Object Classification,Supervised,PyTorch
layer2.1.relu,0.5080147257255538,0.009742687499823623,ResNet50,Object Classification,Supervised,PyTorch
layer2.2.relu,0.5047232972428041,0.009267769989672927,ResNet50,Object Classification,Supervised,PyTorch
layer2.3.relu,0.48780023404290196,0.00996284703381305,ResNet50,Object Classification,Supervised,PyTorch
layer3.0.relu,0.545332158032815,0.009338937589334049,ResNet50,Object Classification,Supervised,PyTorch
layer3.1.relu,0.5976809053072346,0.008030483328780732,ResNet50,Object Classification,Supervised,PyTorch
layer3.2.relu,0.6067886955704308,0.007991738064791509,ResNet50,Object Classification,Supervised,PyTorch
layer3.3.relu,0.6215965190891595,0.008088881819784215,ResNet50,Object Classification,Supervised,PyTorch
layer3.4.relu,0.6269728612029865,0.007897513397820535,ResNet50,Object Classification,Supervised,PyTorch
layer3.5.relu,0.6293026539118575,0.007224531762541974,ResNet50,Object Classification,Supervised,PyTorch
layer4.0.relu,0.6123994619222636,0.0076944426289288735,ResNet50,Object Classification,Supervised,PyTorch
layer4.1.relu,0.6034697669225637,0.007410654026659081,ResNet50,Object Classification,Supervised,PyTorch
layer4.2.relu,0.6049414213450607,0.007591563465342627,ResNet50,Object Classification,Supervised,PyTorch
encode_2,0.33023298401660084,0.0064108456619345645,ResNet18,Object Classification,Supervised,VVS
encode_3,0.2661471452044664,0.006415299640356829,ResNet18,Object Classification,Supervised,VVS
encode_4,0.3556123618636615,0.007721705231266096,ResNet18,Object Classification,Supervised,VVS
