layer,score,score_error,architecture,task,kind,source
layer1.0.relu,0.32859368659141786,0.008983316242736065,ResNet18,None,Untrained,PyTorch
layer1.1.relu,0.3369770486956255,0.00850381356986981,ResNet18,None,Untrained,PyTorch
layer2.0.relu,0.33566289127867127,0.008802252067773419,ResNet18,None,Untrained,PyTorch
layer2.1.relu,0.3285292456955222,0.009178332222677516,ResNet18,None,Untrained,PyTorch
layer3.0.relu,0.3289048699591163,0.009519481100958235,ResNet18,None,Untrained,PyTorch
layer3.1.relu,0.34089627228150543,0.009954357313923991,ResNet18,None,Untrained,PyTorch
layer4.0.relu,0.3567467561138767,0.010309787722671179,ResNet18,None,Untrained,PyTorch
layer4.1.relu,0.3476867382364221,0.0097677170547282,ResNet18,None,Untrained,PyTorch
layer1.0.relu,0.3078742568656397,0.008895532544665555,ResNet50,None,Untrained,PyTorch
layer1.1.relu,0.3083709890243844,0.008676712687737651,ResNet50,None,Untrained,PyTorch
layer1.2.relu,0.3017532339563308,0.008086986041989198,ResNet50,None,Untrained,PyTorch
layer2.0.relu,0.2917859222300495,0.00805924528114324,ResNet50,None,Untrained,PyTorch
layer2.1.relu,0.26367985954948203,0.00795617274526344,ResNet50,None,Untrained,PyTorch
layer2.2.relu,0.24856644543202622,0.008218510856092171,ResNet50,None,Untrained,PyTorch
layer2.3.relu,0.23420867715918528,0.00847772099127416,ResNet50,None,Untrained,PyTorch
layer3.0.relu,0.234457382221899,0.008444091591041413,ResNet50,None,Untrained,PyTorch
layer3.1.relu,0.22620610251609588,0.008383034996445663,ResNet50,None,Untrained,PyTorch
layer3.2.relu,0.21443465111080404,0.008276799502259102,ResNet50,None,Untrained,PyTorch
layer3.3.relu,0.22712708709507312,0.008159292901321228,ResNet50,None,Untrained,PyTorch
layer3.4.relu,0.22848937110454057,0.007710364367138186,ResNet50,None,Untrained,PyTorch
layer3.5.relu,0.21328465232075164,0.007919600298626338,ResNet50,None,Untrained,PyTorch
layer4.0.relu,0.2280127906277511,0.00792266729758927,ResNet50,None,Untrained,PyTorch
layer4.1.relu,0.20957813147842913,0.008753659577255666,ResNet50,None,Untrained,PyTorch
layer4.2.relu,0.21296001667012715,0.008695678985109668,ResNet50,None,Untrained,PyTorch
layer1.0.relu,0.48007429253428047,0.009801946542960084,ResNet18,Object Classification,Supervised,PyTorch
layer1.1.relu,0.5146941625467645,0.008123492223353974,ResNet18,Object Classification,Supervised,PyTorch
layer2.0.relu,0.5337650896148184,0.00823867956744111,ResNet18,Object Classification,Supervised,PyTorch
layer2.1.relu,0.5508715662833273,0.008971959262193305,ResNet18,Object Classification,Supervised,PyTorch
layer3.0.relu,0.5443544473967235,0.00948829100298316,ResNet18,Object Classification,Supervised,PyTorch
layer3.1.relu,0.5380304833313055,0.009314488841482864,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu,0.5472996897175362,0.009139042754901997,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu,0.5171686340017942,0.009610067492903026,ResNet18,Object Classification,Supervised,PyTorch
layer1.0.relu,0.4526117011567041,0.009192643856771881,ResNet50,Object Classification,Supervised,PyTorch
layer1.1.relu,0.46927079150044615,0.008740271604602667,ResNet50,Object Classification,Supervised,PyTorch
layer1.2.relu,0.4761958847311395,0.008490692760522634,ResNet50,Object Classification,Supervised,PyTorch
layer2.0.relu,0.5060256711889068,0.008250426926144729,ResNet50,Object Classification,Supervised,PyTorch
layer2.1.relu,0.5248959695957446,0.009044590874843033,ResNet50,Object Classification,Supervised,PyTorch
layer2.2.relu,0.5398727769766032,0.008915905073061057,ResNet50,Object Classification,Supervised,PyTorch
layer2.3.relu,0.5497014695342924,0.008838789121815146,ResNet50,Object Classification,Supervised,PyTorch
layer3.0.relu,0.543211923210304,0.009999500814520976,ResNet50,Object Classification,Supervised,PyTorch
layer3.1.relu,0.5562721876644426,0.009750419965251786,ResNet50,Object Classification,Supervised,PyTorch
layer3.2.relu,0.5476847640065968,0.009608858488305692,ResNet50,Object Classification,Supervised,PyTorch
