layer,score,score_error,architecture,task,kind,source
layer1.0.relu,0.12649394112279064,0.007153102134181645,ResNet18,None,Untrained,PyTorch
layer1.1.relu,0.14057096275225456,0.00674105393264467,ResNet18,None,Untrained,PyTorch
layer2.0.relu,0.1429978516796201,0.006428493058864929,ResNet18,None,Untrained,PyTorch
layer2.1.relu,0.13507653723898297,0.006515308366907186,ResNet18,None,Untrained,PyTorch
layer3.0.relu,0.16675405093973727,0.00628887462224623,ResNet18,None,Untrained,PyTorch
layer3.1.relu,0.2117058657507297,0.005555798057120625,ResNet18,None,Untrained,PyTorch
layer4.0.relu,0.20749774577317703,0.00565713988017141,ResNet18,None,Untrained,PyTorch
layer4.1.relu,0.20754396434003705,0.005795311729755377,ResNet18,None,Untrained,PyTorch
layer1.0.relu,0.14993638557708222,0.006853715544864233,ResNet50,None,Untrained,PyTorch
layer1.1.relu,0.16065109517745885,0.006452388290046887,ResNet50,None,Untrained,PyTorch
layer1.2.relu,0.15245182944025737,0.006358026017118375,ResNet50,None,Untrained,PyTorch
layer2.0.relu,0.1442278965892299,0.006310474710976399,ResNet50,None,Untrained,PyTorch
layer2.1.relu,0.1422841851999999,0.006070742691674835,ResNet50,None,Untrained,PyTorch
layer2.2.relu,0.15683893421521677,0.005825055937607324,ResNet50,None,Untrained,PyTorch
layer2.3.relu,0.16816245218484488,0.005610632584988135,ResNet50,None,Untrained,PyTorch
layer3.0.relu,0.17479523588176848,0.005386226169763032,ResNet50,None,Untrained,PyTorch
layer3.1.relu,0.18983624555270923,0.005064891313838851,ResNet50,None,Untrained,PyTorch
layer3.2.relu,0.17812816319441657,0.005256184100186157,ResNet50,None,Untrained,PyTorch
layer3.3.relu,0.20029995397965716,0.005490499907731695,ResNet50,None,Untrained,PyTorch
layer3.4.relu,0.20917715242772097,0.005496559459236032,ResNet50,None,Untrained,PyTorch
layer3.5.relu,0.20804356803404522,0.005525260240720772,ResNet50,None,Untrained,PyTorch
layer4.0.relu,0.2177793036068247,0.005392543256241634,ResNet50,None,Untrained,PyTorch
layer4.1.relu,0.24662215356378106,0.005147946955436447,ResNet50,None,Untrained,PyTorch
layer4.2.relu,0.25699068155710386,0.00512860580334397,ResNet50,None,Untrained,PyTorch
layer1.0.relu,0.38153244154311683,0.006874316059292564,ResNet18,Object Classification,Supervised,PyTorch
layer1.1.relu,0.4527865418932362,0.006547422867492936,ResNet18,Object Classification,Supervised,PyTorch
layer2.0.relu,0.4552630529424884,0.006448200329020536,ResNet18,Object Classification,Supervised,PyTorch
layer2.1.relu,0.4769771702960911,0.0056283989831395626,ResNet18,Object Classification,Supervised,PyTorch
layer3.0.relu,0.46847054122377346,0.006034439596473491,ResNet18,Object Classification,Supervised,PyTorch
layer3.1.relu,0.47780328409333517,0.0057768332030734195,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu,0.5256673440231836,0.005355585664659442,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu,0.5157219479019249,0.005840207398960665,ResNet18,Object Classification,Supervised,PyTorch
layer1.0.relu,0.37861183633913575,0.0067103990474956885,ResNet50,Object Classification,Supervised,PyTorch
layer1.1.relu,0.40277883569340633,0.006529536974978986,ResNet50,Object Classification,Supervised,PyTorch
layer1.2.relu,0.3944571765875835,0.007082660305373837,ResNet50,Object Classification,Supervised,PyTorch
layer2.0.relu,0.3979696545440647,0.006971790267627934,ResNet50,Object Classification,Supervised,PyTorch
layer2.1.relu,0.42106863301599723,0.006714432362599963,ResNet50,Object Classification,Supervised,PyTorch
layer2.2.relu,0.43371740636754774,0.006850850198816903,ResNet50,Object Classification,Supervised,PyTorch
layer2.3.relu,0.4418154956285503,0.0065922163898824455,ResNet50,Object Classification,Supervised,PyTorch
layer3.0.relu,0.45502579328635173,0.006014077733195895,ResNet50,Object Classification,Supervised,PyTorch
layer3.1.relu,0.47957067674623416,0.005842081930605798,ResNet50,Object Classification,Supervised,PyTorch
layer3.2.relu,0.47750801116837616,0.0060281437239143075,ResNet50,Object Classification,Supervised,PyTorch
layer3.3.relu,0.4710187455403819,0.006105329985050846,ResNet50,Object Classification,Supervised,PyTorch
layer3.4.relu,0.4913193006551183,0.005838800220172488,ResNet50,Object Classification,Supervised,PyTorch
layer3.5.relu,0.4901396229399747,0.005738868045250356,ResNet50,Object Classification,Supervised,PyTorch
layer4.0.relu,0.5520743349982302,0.005603822809413794,ResNet50,Object Classification,Supervised,PyTorch
layer4.1.relu,0.5139874956815301,0.005733924129483702,ResNet50,Object Classification,Supervised,PyTorch
layer4.2.relu,0.5085351360560948,0.005703863048777199,ResNet50,Object Classification,Supervised,PyTorch
encode_2,0.36429305525583494,0.006821942448441531,ResNet18,Object Classification,Supervised,VVS
encode_3,0.4015196396292124,0.00617653244937685,ResNet18,Object Classification,Supervised,VVS
encode_4,0.3827840654171807,0.0066922385749583774,ResNet18,Object Classification,Supervised,VVS
encode_5,0.4283882866759925,0.00592687294699267,ResNet18,Object Classification,Supervised,VVS
encode_6,0.45871217161786915,0.005756972697452531,ResNet18,Object Classification,Supervised,VVS
encode_7,0.47687355511304885,0.005752746202377948,ResNet18,Object Classification,Supervised,VVS
encode_8,0.5116368480027426,0.005855171493937248,ResNet18,Object Classification,Supervised,VVS
encode_9,0.522309837423242,0.005383587532685014,ResNet18,Object Classification,Supervised,VVS
encode_2,0.34633949448735335,0.006402431534417336,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_3,0.4240698632528507,0.006304567458207285,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_4,0.4004781207035269,0.006571542667026153,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_5,0.44222115502395065,0.006693136373915177,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_6,0.45422122495629025,0.005918354315696174,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_7,0.45726315360581415,0.005236941681024604,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_8,0.5196693089836323,0.004950918403441755,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_9,0.49485798134249104,0.0055508500687062754,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_2,0.3204408878386592,0.0065058070308314534,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_3,0.37421709922876667,0.006719611816498636,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_4,0.3783998513262206,0.0067095938719871125,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_5,0.3944394878300339,0.006341024050047758,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_6,0.45677929284668756,0.005941939908206218,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_7,0.4582746035580404,0.005878271774178821,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_8,0.5276482893900273,0.005369734811939108,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_9,0.5668454716850766,0.00565332381951307,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_2,0.1653409133321556,0.006665178220431625,ResNet18,Auto-Encoder,Self-Supervised,VVS
encode_3,0.15858591948260634,0.006560875264793448,ResNet18,Auto-Encoder,Self-Supervised,VVS
