layer,score,score_error,architecture,task,kind,source
layer1.0.relu,0.20369630951190773,0.011010729110390253,ResNet18,None,Untrained,PyTorch
layer1.1.relu,0.19947933585224603,0.010914280849133613,ResNet18,None,Untrained,PyTorch
layer2.0.relu,0.19350273736913756,0.010701901362410775,ResNet18,None,Untrained,PyTorch
layer2.1.relu,0.19041220139552018,0.010618562108193296,ResNet18,None,Untrained,PyTorch
layer3.0.relu,0.19052555422590922,0.010241321176330991,ResNet18,None,Untrained,PyTorch
layer3.1.relu,0.1939819539821142,0.0101510734817965,ResNet18,None,Untrained,PyTorch
layer4.0.relu,0.20100543040858385,0.010498589527975617,ResNet18,None,Untrained,PyTorch
layer4.1.relu,0.18083265248972802,0.010678204787463756,ResNet18,None,Untrained,PyTorch
layer1.0.relu,0.22131582475189737,0.010964594872050835,ResNet50,None,Untrained,PyTorch
layer1.1.relu,0.21297308451033625,0.011099705918995846,ResNet50,None,Untrained,PyTorch
layer1.2.relu,0.21636531206536408,0.010993539627677676,ResNet50,None,Untrained,PyTorch
layer2.0.relu,0.21217982073866262,0.010798348988254165,ResNet50,None,Untrained,PyTorch
layer2.1.relu,0.19717114858019508,0.010414985153409214,ResNet50,None,Untrained,PyTorch
layer2.2.relu,0.18663295477372485,0.010170265205630833,ResNet50,None,Untrained,PyTorch
layer2.3.relu,0.16898159923849337,0.00985997508694773,ResNet50,None,Untrained,PyTorch
layer3.0.relu,0.1675051069269621,0.009967055594676592,ResNet50,None,Untrained,PyTorch
layer3.1.relu,0.15786975127275532,0.009222307456018205,ResNet50,None,Untrained,PyTorch
layer3.2.relu,0.13941789631125462,0.009184841968949154,ResNet50,None,Untrained,PyTorch
layer3.3.relu,0.1309397365412956,0.008858297189936349,ResNet50,None,Untrained,PyTorch
layer3.4.relu,0.13868937875893877,0.008480081372656049,ResNet50,None,Untrained,PyTorch
layer3.5.relu,0.12708183061899725,0.008472081038048525,ResNet50,None,Untrained,PyTorch
layer4.0.relu,0.12451630333064746,0.008409844179228005,ResNet50,None,Untrained,PyTorch
layer4.1.relu,0.11579747586662244,0.008299172047839604,ResNet50,None,Untrained,PyTorch
layer4.2.relu,0.1250555584406725,0.008253084708377916,ResNet50,None,Untrained,PyTorch
layer1.0.relu,0.3136482436685544,0.01031945807147486,ResNet18,Object Classification,Supervised,PyTorch
layer1.1.relu,0.35198010321096707,0.009805911552506343,ResNet18,Object Classification,Supervised,PyTorch
layer2.0.relu,0.4023905643221162,0.008071120371747505,ResNet18,Object Classification,Supervised,PyTorch
layer2.1.relu,0.41752172868785586,0.00781472707729055,ResNet18,Object Classification,Supervised,PyTorch
