layer,score,score_error,architecture,task,kind,source
layer1.0.relu,0.09457341629254956,0.006244190161301662,ResNet18,None,Untrained,PyTorch
layer1.1.relu,0.08749181376410654,0.006252960662923541,ResNet18,None,Untrained,PyTorch
layer2.0.relu,0.0770660139657254,0.006045995409528972,ResNet18,None,Untrained,PyTorch
layer2.1.relu,0.06868172895535093,0.005844055084371972,ResNet18,None,Untrained,PyTorch
layer3.0.relu,0.09455065434184586,0.005802961999420578,ResNet18,None,Untrained,PyTorch
layer3.1.relu,0.09828601919116753,0.005309723727624307,ResNet18,None,Untrained,PyTorch
layer4.0.relu,0.08693535069850053,0.005175865530224271,ResNet18,None,Untrained,PyTorch
layer4.1.relu,0.09068224854351842,0.005080123653667333,ResNet18,None,Untrained,PyTorch
layer1.0.relu,0.13162559008612434,0.006012742281862194,ResNet50,None,Untrained,PyTorch
layer1.1.relu,0.11959052896843413,0.00599305398538119,ResNet50,None,Untrained,PyTorch
layer1.2.relu,0.12074162442495621,0.006283617017455207,ResNet50,None,Untrained,PyTorch
layer2.0.relu,0.11987558107112872,0.006386201440680036,ResNet50,None,Untrained,PyTorch
layer2.1.relu,0.11631049071145716,0.006182559076355997,ResNet50,None,Untrained,PyTorch
layer2.2.relu,0.12071850082837107,0.005709177240188898,ResNet50,None,Untrained,PyTorch
layer2.3.relu,0.11205497722883744,0.005516669282304755,ResNet50,None,Untrained,PyTorch
layer3.0.relu,0.12514673149012664,0.00551523738437769,ResNet50,None,Untrained,PyTorch
layer3.1.relu,0.12644406542605482,0.005283063014374714,ResNet50,None,Untrained,PyTorch
layer3.2.relu,0.12217643729677033,0.005468690893616616,ResNet50,None,Untrained,PyTorch
layer3.3.relu,0.1482002635972889,0.005483180580814062,ResNet50,None,Untrained,PyTorch
layer3.4.relu,0.16270515833764854,0.005499101673224678,ResNet50,None,Untrained,PyTorch
layer3.5.relu,0.1689562467718613,0.005519514311745117,ResNet50,None,Untrained,PyTorch
layer4.0.relu,0.1829335906677798,0.005603706869323441,ResNet50,None,Untrained,PyTorch
layer4.1.relu,0.20510629383109544,0.005254378065691035,ResNet50,None,Untrained,PyTorch
layer4.2.relu,0.2203682915206961,0.005052223548125327,ResNet50,None,Untrained,PyTorch
layer1.0.relu,0.38906632473771896,0.006001240972174501,ResNet18,Object Classification,Supervised,PyTorch
layer1.1.relu,0.4428238513265462,0.005495311851849205,ResNet18,Object Classification,Supervised,PyTorch
layer2.0.relu,0.4647485895861122,0.005443525971899058,ResNet18,Object Classification,Supervised,PyTorch
