layer,score,score_error,architecture,task,kind,source
layer1.0.relu,0.11140276815004653,0.00721225113138217,ResNet18,None,Untrained,PyTorch
layer1.1.relu,0.1039213536813379,0.007819071786249748,ResNet18,None,Untrained,PyTorch
layer2.0.relu,0.09648629991319638,0.008014904166889183,ResNet18,None,Untrained,PyTorch
layer2.1.relu,0.08088921904083987,0.007920356567546,ResNet18,None,Untrained,PyTorch
layer3.0.relu,0.07982872022748873,0.008183444561774045,ResNet18,None,Untrained,PyTorch
layer3.1.relu,0.074714904265934,0.008214136438332905,ResNet18,None,Untrained,PyTorch
layer4.0.relu,0.051254047209574945,0.008163062111333252,ResNet18,None,Untrained,PyTorch
layer4.1.relu,0.050533158927942065,0.007987095502750799,ResNet18,None,Untrained,PyTorch
layer1.0.relu,0.11506628388267964,0.007262275725505056,ResNet50,None,Untrained,PyTorch
layer1.1.relu,0.09711218707626279,0.007297024218317524,ResNet50,None,Untrained,PyTorch
layer1.2.relu,0.08085263255830699,0.007050769132798417,ResNet50,None,Untrained,PyTorch
layer2.0.relu,0.07550766947621046,0.0069918501623184096,ResNet50,None,Untrained,PyTorch
layer2.1.relu,0.0711674659725392,0.007055035499536276,ResNet50,None,Untrained,PyTorch
layer2.2.relu,0.07219231578535207,0.006963419976856844,ResNet50,None,Untrained,PyTorch
layer2.3.relu,0.07174573019125415,0.006920846802201312,ResNet50,None,Untrained,PyTorch
layer3.0.relu,0.06972134445527764,0.006975595213849386,ResNet50,None,Untrained,PyTorch
layer3.1.relu,0.06774882440557009,0.007119789256723782,ResNet50,None,Untrained,PyTorch
layer3.2.relu,0.08136770017291355,0.007177536384902858,ResNet50,None,Untrained,PyTorch
layer3.3.relu,0.09866562693246181,0.007156485681573838,ResNet50,None,Untrained,PyTorch
layer3.4.relu,0.0952553933470663,0.007289399161501741,ResNet50,None,Untrained,PyTorch
layer3.5.relu,0.09715614968172025,0.007452330616859468,ResNet50,None,Untrained,PyTorch
layer4.0.relu,0.09491599054142356,0.007512435571717044,ResNet50,None,Untrained,PyTorch
layer4.1.relu,0.10326332715224504,0.007407602532534756,ResNet50,None,Untrained,PyTorch
layer4.2.relu,0.10265797283278587,0.007743509562608402,ResNet50,None,Untrained,PyTorch
layer1.0.relu,0.24300671092603301,0.008641978260022956,ResNet18,Object Classification,Supervised,PyTorch
layer1.1.relu,0.2496874450280766,0.009119976539036928,ResNet18,Object Classification,Supervised,PyTorch
layer2.0.relu,0.22402737254967492,0.010978649103620291,ResNet18,Object Classification,Supervised,PyTorch
layer2.1.relu,0.24920765270477113,0.01057395559624761,ResNet18,Object Classification,Supervised,PyTorch
layer3.0.relu,0.2371853914085944,0.010585208675480254,ResNet18,Object Classification,Supervised,PyTorch
layer3.1.relu,0.24738408209593132,0.010025369529730254,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu,0.244842269955245,0.0116553257692111,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu,0.21619871982562372,0.009767089575682612,ResNet18,Object Classification,Supervised,PyTorch
layer1.0.relu,0.22811340767888283,0.008807164626672047,ResNet50,Object Classification,Supervised,PyTorch
layer1.1.relu,0.22987745762122985,0.008828133301897042,ResNet50,Object Classification,Supervised,PyTorch
layer1.2.relu,0.2147461787230958,0.009167714869609836,ResNet50,Object Classification,Supervised,PyTorch
layer2.0.relu,0.20343157616669727,0.009224834101302527,ResNet50,Object Classification,Supervised,PyTorch
layer2.1.relu,0.20763944825078953,0.009582870772719623,ResNet50,Object Classification,Supervised,PyTorch
layer2.2.relu,0.21939475816568407,0.009782359550479347,ResNet50,Object Classification,Supervised,PyTorch
layer2.3.relu,0.22494473057047565,0.010117966538383847,ResNet50,Object Classification,Supervised,PyTorch
layer3.0.relu,0.2480395167661445,0.009360553116948165,ResNet50,Object Classification,Supervised,PyTorch
layer3.1.relu,0.2565015729097298,0.009749844185028627,ResNet50,Object Classification,Supervised,PyTorch
layer3.2.relu,0.2759478671139827,0.009787684629245987,ResNet50,Object Classification,Supervised,PyTorch
layer3.3.relu,0.2693317427826398,0.009683829262767,ResNet50,Object Classification,Supervised,PyTorch
layer3.4.relu,0.2707738244482408,0.010019058944745973,ResNet50,Object Classification,Supervised,PyTorch
layer3.5.relu,0.2775924802452336,0.010243549215949391,ResNet50,Object Classification,Supervised,PyTorch
layer4.0.relu,0.2537611653449792,0.010558339385764655,ResNet50,Object Classification,Supervised,PyTorch
layer4.1.relu,0.21588340518079313,0.009777746363654154,ResNet50,Object Classification,Supervised,PyTorch
layer4.2.relu,0.1986155105070498,0.009742328806650756,ResNet50,Object Classification,Supervised,PyTorch
encode_2,0.23681379992376664,0.008110511084379329,ResNet18,Object Classification,Supervised,VVS
encode_3,0.2120238783516109,0.009404548863016273,ResNet18,Object Classification,Supervised,VVS
encode_4,0.20456510787886487,0.010113420855729447,ResNet18,Object Classification,Supervised,VVS
encode_5,0.23189771495658168,0.009986901586399942,ResNet18,Object Classification,Supervised,VVS
encode_6,0.2750854280074234,0.010068822159041842,ResNet18,Object Classification,Supervised,VVS
encode_7,0.2651409480755786,0.010379759276923958,ResNet18,Object Classification,Supervised,VVS
encode_8,0.2316319214351148,0.011867437502091894,ResNet18,Object Classification,Supervised,VVS
encode_9,0.19157822477111902,0.011081294891247226,ResNet18,Object Classification,Supervised,VVS
encode_2,0.21796037203682295,0.008490213219178184,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_3,0.23573354793826654,0.010092868881007883,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_4,0.24151240133644125,0.010582452688989216,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_5,0.23773053912349712,0.01134387757028164,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_6,0.2717046274820118,0.01004899771640286,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_7,0.2618723109098535,0.010110587388077269,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_8,0.2825926747505595,0.010282262721882289,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_9,0.27088937943847746,0.009615296963900335,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_2,0.20336579978842145,0.008520067233045183,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_3,0.22734385427063816,0.008507651835404077,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_4,0.21786642797809477,0.010434667324004273,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_5,0.19648104349240916,0.010515402388675476,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_6,0.25221427951722825,0.010191333815054814,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_7,0.24900125186228741,0.009683236886150153,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_8,0.2816476724679104,0.010571252662361141,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_9,0.2782300416729442,0.011205213112888879,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_2,0.12038999385110881,0.007613734377166983,ResNet18,Auto-Encoder,Self-Supervised,VVS
encode_3,0.10711293847614768,0.007996765098187697,ResNet18,Auto-Encoder,Self-Supervised,VVS
encode_4,0.08824315058708318,0.0074843246342657195,ResNet18,Auto-Encoder,Self-Supervised,VVS
encode_5,0.11640294732767571,0.007277264842686117,ResNet18,Auto-Encoder,Self-Supervised,VVS
encode_6,0.12961106437673356,0.007103155920065768,ResNet18,Auto-Encoder,Self-Supervised,VVS
encode_7,0.14678116675495045,0.007151175637089813,ResNet18,Auto-Encoder,Self-Supervised,VVS
encode_8,0.15081473134175505,0.006950689583888637,ResNet18,Auto-Encoder,Self-Supervised,VVS
encode_9,0.1800790030036804,0.006710464740342223,ResNet18,Auto-Encoder,Self-Supervised,VVS
encode_2,0.22137690868011684,0.009518912066022511,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
encode_3,0.2098813457221509,0.009395325830393843,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
encode_4,0.2103681650929587,0.009657893726585738,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
encode_5,0.16925033847914175,0.008895452099970237,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
encode_6,0.22658831999949258,0.008983719516432991,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
encode_7,0.19480801626428074,0.008379134025814524,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
encode_8,0.1652854050276502,0.0070997990113376855,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
encode_9,0.20991868453938614,0.007491540290160843,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
encode_2,0.20621713037704562,0.00855779128651003,ResNet18,Colorization,Self-Supervised,VVS
encode_3,0.2152726059178894,0.008647611454355523,ResNet18,Colorization,Self-Supervised,VVS
encode_4,0.22176936500711275,0.009700002986167936,ResNet18,Colorization,Self-Supervised,VVS
encode_5,0.22241331699857408,0.009806618503818346,ResNet18,Colorization,Self-Supervised,VVS
encode_6,0.24151925881798128,0.008199587836870541,ResNet18,Colorization,Self-Supervised,VVS
encode_7,0.22260164994800485,0.009571221265575658,ResNet18,Colorization,Self-Supervised,VVS
encode_8,0.18877018724165276,0.009827909513375458,ResNet18,Colorization,Self-Supervised,VVS
encode_9,0.2124749826736466,0.007027206894116604,ResNet18,Colorization,Self-Supervised,VVS
encode_2,0.1971473175334692,0.008172634120292734,ResNet18,Relative Position,Self-Supervised,VVS
encode_3,0.1949614447394218,0.008391582282588048,ResNet18,Relative Position,Self-Supervised,VVS
encode_4,0.2292797616509635,0.009496252753036961,ResNet18,Relative Position,Self-Supervised,VVS
encode_5,0.2284484938998012,0.009459287045679008,ResNet18,Relative Position,Self-Supervised,VVS
encode_6,0.23845843023909555,0.00927499541567944,ResNet18,Relative Position,Self-Supervised,VVS
encode_7,0.26720698144305083,0.009194328095796777,ResNet18,Relative Position,Self-Supervised,VVS
encode_8,0.28582047773409386,0.008712562406311377,ResNet18,Relative Position,Self-Supervised,VVS
encode_9,0.29865176965699913,0.008221370654447897,ResNet18,Relative Position,Self-Supervised,VVS
encode_2,0.16782908273305833,0.007967985118464298,ResNet18,Depth Prediction,Supervised,VVS
encode_3,0.1620606932508612,0.008499778924480488,ResNet18,Depth Prediction,Supervised,VVS
encode_4,0.19491021790732743,0.010331344796753347,ResNet18,Depth Prediction,Supervised,VVS
encode_5,0.1923097011231239,0.01049149365904731,ResNet18,Depth Prediction,Supervised,VVS
encode_6,0.1979042814805223,0.00965974654835856,ResNet18,Depth Prediction,Supervised,VVS
encode_7,0.2292486265289535,0.009319405403336214,ResNet18,Depth Prediction,Supervised,VVS
encode_8,0.23398994687422575,0.008264993788370752,ResNet18,Depth Prediction,Supervised,VVS
encode_9,0.24369908322929829,0.00981209107537674,ResNet18,Depth Prediction,Supervised,VVS
encode_2,0.21958024848974847,0.009166645502377176,ResNet18,SimCLR,Self-Supervised,VVS
encode_3,0.21892500791535138,0.009519493208695079,ResNet18,SimCLR,Self-Supervised,VVS
encode_4,0.20874190156626346,0.010722750198182553,ResNet18,SimCLR,Self-Supervised,VVS
encode_5,0.23331500866411253,0.010869422741255198,ResNet18,SimCLR,Self-Supervised,VVS
encode_6,0.2505822586501067,0.010898100347103477,ResNet18,SimCLR,Self-Supervised,VVS
encode_7,0.2629527923157622,0.010638820786764645,ResNet18,SimCLR,Self-Supervised,VVS
encode_8,0.29014545836984074,0.010433048820537659,ResNet18,SimCLR,Self-Supervised,VVS
encode_9,0.2580191154696355,0.009645415975973893,ResNet18,SimCLR,Self-Supervised,VVS
layer1.0.relu,0.26208282019794005,0.009542471216501435,ResNet18,Deep Cluster,Self-Supervised,VVS
layer1.1.relu,0.2486822388596237,0.00978304367675618,ResNet18,Deep Cluster,Self-Supervised,VVS
layer2.0.relu,0.22068363704984045,0.01086004227937341,ResNet18,Deep Cluster,Self-Supervised,VVS
layer2.1.relu,0.22569769076058654,0.010973103619036285,ResNet18,Deep Cluster,Self-Supervised,VVS
layer3.0.relu,0.2736922840603393,0.010218173013180395,ResNet18,Deep Cluster,Self-Supervised,VVS
