layer,score,score_error,architecture,task,kind,source
layer1.0.relu,0.13009587392510213,0.012499069206561379,ResNet18,None,Untrained,PyTorch
layer1.1.relu,0.13175660002932105,0.012472233791989648,ResNet18,None,Untrained,PyTorch
layer2.0.relu,0.11741748101983804,0.0121951626177354,ResNet18,None,Untrained,PyTorch
layer2.1.relu,0.10918986829760483,0.011955527319406559,ResNet18,None,Untrained,PyTorch
layer3.0.relu,0.11294946326894996,0.01140111458819469,ResNet18,None,Untrained,PyTorch
layer3.1.relu,0.10363722328942165,0.011041056853014411,ResNet18,None,Untrained,PyTorch
layer4.0.relu,0.10032828328605876,0.011598668456983416,ResNet18,None,Untrained,PyTorch
layer4.1.relu,0.10910130965375353,0.012188824187224544,ResNet18,None,Untrained,PyTorch
layer1.0.relu,0.14821783981850087,0.012482325751517209,ResNet50,None,Untrained,PyTorch
layer1.1.relu,0.15002542265115715,0.012335840835839194,ResNet50,None,Untrained,PyTorch
layer1.2.relu,0.12884851946096043,0.012471711049552891,ResNet50,None,Untrained,PyTorch
layer2.0.relu,0.1308278177741039,0.012342884921705969,ResNet50,None,Untrained,PyTorch
layer2.1.relu,0.11751168163192453,0.011804121318615902,ResNet50,None,Untrained,PyTorch
layer2.2.relu,0.11086697477309795,0.011303192799117005,ResNet50,None,Untrained,PyTorch
layer2.3.relu,0.11101249250163425,0.010910361870959466,ResNet50,None,Untrained,PyTorch
layer3.0.relu,0.1109709154053227,0.011055818395904117,ResNet50,None,Untrained,PyTorch
layer3.1.relu,0.11575562831383215,0.010876653141523678,ResNet50,None,Untrained,PyTorch
layer3.2.relu,0.11391968076792941,0.010498489150017748,ResNet50,None,Untrained,PyTorch
layer3.3.relu,0.11953380677340228,0.010067463025099461,ResNet50,None,Untrained,PyTorch
layer3.4.relu,0.11510904559312815,0.01021336178655845,ResNet50,None,Untrained,PyTorch
layer3.5.relu,0.11738664147411099,0.010889842076351665,ResNet50,None,Untrained,PyTorch
layer4.0.relu,0.12641070642337007,0.011029101098248027,ResNet50,None,Untrained,PyTorch
layer4.1.relu,0.1299841343659612,0.011177891733155278,ResNet50,None,Untrained,PyTorch
layer4.2.relu,0.1307958483858201,0.011575119538591166,ResNet50,None,Untrained,PyTorch
layer1.0.relu,0.2668518588767983,0.014178577908967885,ResNet18,Object Classification,Supervised,PyTorch
layer1.1.relu,0.2832358319595852,0.015377120928833612,ResNet18,Object Classification,Supervised,PyTorch
layer2.0.relu,0.28146494792178967,0.014125532793189144,ResNet18,Object Classification,Supervised,PyTorch
layer2.1.relu,0.28447415553702504,0.014158733875852316,ResNet18,Object Classification,Supervised,PyTorch
layer3.0.relu,0.2752444902799419,0.015367212141636312,ResNet18,Object Classification,Supervised,PyTorch
layer3.1.relu,0.27036510264847996,0.013909765273182384,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu,0.3023936339229985,0.015231739789130637,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu,0.29913862095083155,0.013522814523774166,ResNet18,Object Classification,Supervised,PyTorch
layer1.0.relu,0.24936786518823711,0.014178024369384696,ResNet50,Object Classification,Supervised,PyTorch
layer1.1.relu,0.25948728057762177,0.014188254171603009,ResNet50,Object Classification,Supervised,PyTorch
layer1.2.relu,0.2550589035187003,0.014104586591145416,ResNet50,Object Classification,Supervised,PyTorch
layer2.0.relu,0.26079639597600995,0.013494684862386594,ResNet50,Object Classification,Supervised,PyTorch
layer2.1.relu,0.2666798943269782,0.013271121476086509,ResNet50,Object Classification,Supervised,PyTorch
layer2.2.relu,0.272436580780957,0.013733322837038577,ResNet50,Object Classification,Supervised,PyTorch
layer2.3.relu,0.2846306682074234,0.013485049756047921,ResNet50,Object Classification,Supervised,PyTorch
layer3.0.relu,0.27486988304035465,0.014209641396659475,ResNet50,Object Classification,Supervised,PyTorch
layer3.1.relu,0.27816534496889955,0.01436246131404851,ResNet50,Object Classification,Supervised,PyTorch
layer3.2.relu,0.2696828587788183,0.014471169740225154,ResNet50,Object Classification,Supervised,PyTorch
layer3.3.relu,0.27297526327401866,0.014335425932035458,ResNet50,Object Classification,Supervised,PyTorch
layer3.4.relu,0.2856619152852016,0.013375928246911802,ResNet50,Object Classification,Supervised,PyTorch
layer3.5.relu,0.2956690589817039,0.012428845399855622,ResNet50,Object Classification,Supervised,PyTorch
layer4.0.relu,0.3067867596784865,0.013799530372483763,ResNet50,Object Classification,Supervised,PyTorch
