layer,score,score_error,architecture,task,kind,source
layer1.0.relu,0.14876447439992357,0.00329049323105948,ResNet18,None,Untrained,PyTorch
layer1.1.relu,0.14298331955888738,0.0037996048064813485,ResNet18,None,Untrained,PyTorch
layer2.0.relu,0.15868025347768905,0.004057610145813356,ResNet18,None,Untrained,PyTorch
layer2.1.relu,0.16175089632595427,0.005275811101662268,ResNet18,None,Untrained,PyTorch
layer3.0.relu,0.15936234954785325,0.005956045506755535,ResNet18,None,Untrained,PyTorch
layer3.1.relu,0.15839436747916147,0.00455909604565591,ResNet18,None,Untrained,PyTorch
layer4.0.relu,0.13989284651876324,0.003784640725454349,ResNet18,None,Untrained,PyTorch
layer4.1.relu,0.1323780943848257,0.003978319659150946,ResNet18,None,Untrained,PyTorch
layer1.0.relu,0.14572112961657357,0.003846532884513023,ResNet50,None,Untrained,PyTorch
layer1.1.relu,0.1413978329442062,0.003927842284778214,ResNet50,None,Untrained,PyTorch
layer1.2.relu,0.1450807961495226,0.0033982054723663635,ResNet50,None,Untrained,PyTorch
layer2.0.relu,0.15110785047067868,0.003741873364398811,ResNet50,None,Untrained,PyTorch
layer2.1.relu,0.15424689902538594,0.0032585322067356327,ResNet50,None,Untrained,PyTorch
layer2.2.relu,0.15456621437739748,0.004978576482899432,ResNet50,None,Untrained,PyTorch
layer2.3.relu,0.15283629194532675,0.004004633645296378,ResNet50,None,Untrained,PyTorch
layer3.0.relu,0.14936283045472862,0.0050399462721643275,ResNet50,None,Untrained,PyTorch
layer3.1.relu,0.14281569229304908,0.003961587086264249,ResNet50,None,Untrained,PyTorch
layer3.2.relu,0.1374516481126255,0.00439695502331549,ResNet50,None,Untrained,PyTorch
layer3.3.relu,0.13766460192198485,0.003945238614725502,ResNet50,None,Untrained,PyTorch
layer3.4.relu,0.132456526519018,0.0032176898882994914,ResNet50,None,Untrained,PyTorch
layer3.5.relu,0.12533241261789965,0.005205963129916174,ResNet50,None,Untrained,PyTorch
layer4.0.relu,0.11081781832361488,0.005169107283881289,ResNet50,None,Untrained,PyTorch
layer4.1.relu,0.10074902472453624,0.002416339548345963,ResNet50,None,Untrained,PyTorch
layer4.2.relu,0.10111576503405503,0.00310952254123168,ResNet50,None,Untrained,PyTorch
layer1.0.relu,0.21362267438405094,0.0037698982230713967,ResNet18,Object Classification,Supervised,PyTorch
layer1.1.relu,0.20827389077317954,0.004700041222560135,ResNet18,Object Classification,Supervised,PyTorch
layer2.0.relu,0.27762301663127437,0.003651789668391539,ResNet18,Object Classification,Supervised,PyTorch
layer2.1.relu,0.30453348756508974,0.0034634433761564646,ResNet18,Object Classification,Supervised,PyTorch
layer3.0.relu,0.4400986028234577,0.0024797328380583117,ResNet18,Object Classification,Supervised,PyTorch
layer3.1.relu,0.4578899152786775,0.0036723619400478294,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu,0.45483479942858995,0.002584066382789831,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu,0.37458531257454875,0.002748306837188365,ResNet18,Object Classification,Supervised,PyTorch
layer1.0.relu,0.23844692243581134,0.004387860199770598,ResNet50,Object Classification,Supervised,PyTorch
layer1.1.relu,0.24558924042257052,0.0037449275965042816,ResNet50,Object Classification,Supervised,PyTorch
layer1.2.relu,0.2562525845639284,0.0028744978938843066,ResNet50,Object Classification,Supervised,PyTorch
layer2.0.relu,0.30984893591582163,0.003125552539311817,ResNet50,Object Classification,Supervised,PyTorch
