layer,score,score_error,architecture,task,kind,source
layer1.0.relu,0.13389521508902674,0.0037477278358350814,ResNet18,None,Untrained,PyTorch
layer1.1.relu,0.1173431832045166,0.00345915450707805,ResNet18,None,Untrained,PyTorch
layer2.0.relu,0.12869372361788245,0.004129129388449304,ResNet18,None,Untrained,PyTorch
layer2.1.relu,0.12217275100229483,0.0031460465537673414,ResNet18,None,Untrained,PyTorch
layer3.0.relu,0.10748311187899777,0.0023610704533898797,ResNet18,None,Untrained,PyTorch
layer3.1.relu,0.11160226856310303,0.004053384207597961,ResNet18,None,Untrained,PyTorch
layer4.0.relu,0.08159843560249964,0.003184085878825985,ResNet18,None,Untrained,PyTorch
layer4.1.relu,0.10478409919822915,0.003108460204933048,ResNet18,None,Untrained,PyTorch
layer1.0.relu,0.14498956703860208,0.0026202054850304065,ResNet50,None,Untrained,PyTorch
layer1.1.relu,0.13278777197215677,0.002983086359084501,ResNet50,None,Untrained,PyTorch
layer1.2.relu,0.14633708954233426,0.0037782895916995147,ResNet50,None,Untrained,PyTorch
layer2.0.relu,0.12446370727671528,0.004109482541462319,ResNet50,None,Untrained,PyTorch
layer2.1.relu,0.11959306459049425,0.0022926576251632593,ResNet50,None,Untrained,PyTorch
layer2.2.relu,0.11716143925950766,0.0041144659053444586,ResNet50,None,Untrained,PyTorch
layer2.3.relu,0.10765099264739168,0.004139795946801103,ResNet50,None,Untrained,PyTorch
layer3.0.relu,0.0641528881498584,0.005856467794588606,ResNet50,None,Untrained,PyTorch
layer3.1.relu,0.07357374017112225,0.003852284001798877,ResNet50,None,Untrained,PyTorch
layer3.2.relu,0.07955417161855972,0.0044364601136517795,ResNet50,None,Untrained,PyTorch
layer3.3.relu,0.07572251342344441,0.004562884248769186,ResNet50,None,Untrained,PyTorch
layer3.4.relu,0.06960712996606502,0.0065461490595610464,ResNet50,None,Untrained,PyTorch
layer3.5.relu,0.07617404516843002,0.003737282229429552,ResNet50,None,Untrained,PyTorch
layer4.0.relu,0.030965914814193564,0.004450292980105045,ResNet50,None,Untrained,PyTorch
layer4.1.relu,0.029786445528508388,0.008628297699679856,ResNet50,None,Untrained,PyTorch
layer4.2.relu,0.027107639251790928,0.012465468864518691,ResNet50,None,Untrained,PyTorch
layer1.0.relu,0.19320809911112105,0.0031994710516556157,ResNet18,Object Classification,Supervised,PyTorch
layer1.1.relu,0.18404049871363537,0.003432524243317483,ResNet18,Object Classification,Supervised,PyTorch
layer2.0.relu,0.24893605691612586,0.004590239493020444,ResNet18,Object Classification,Supervised,PyTorch
