layer,score,score_error,architecture,task,kind,source
layer1.0.relu,0.20408114452401294,0.0037284525701331535,ResNet18,None,Untrained,PyTorch
layer1.1.relu,0.20838621280793657,0.004584572071333836,ResNet18,None,Untrained,PyTorch
layer2.0.relu,0.21774087619530363,0.004420235623916972,ResNet18,None,Untrained,PyTorch
layer2.1.relu,0.21886333113610337,0.0038931473829973517,ResNet18,None,Untrained,PyTorch
layer3.0.relu,0.21941546038753454,0.004055680894159488,ResNet18,None,Untrained,PyTorch
layer3.1.relu,0.22222913318485032,0.0038455465023331512,ResNet18,None,Untrained,PyTorch
layer4.0.relu,0.22545049255507274,0.0031774253946876855,ResNet18,None,Untrained,PyTorch
layer4.1.relu,0.22462732353913328,0.0016432080404556657,ResNet18,None,Untrained,PyTorch
layer1.0.relu,0.21355380418352946,0.0039689928354270255,ResNet50,None,Untrained,PyTorch
layer1.1.relu,0.21197422350014242,0.004955664246964654,ResNet50,None,Untrained,PyTorch
layer1.2.relu,0.2105909171028613,0.005454705932762292,ResNet50,None,Untrained,PyTorch
layer2.0.relu,0.20632928285574798,0.005346085423352328,ResNet50,None,Untrained,PyTorch
layer2.1.relu,0.2079424652350696,0.00483980676644397,ResNet50,None,Untrained,PyTorch
layer2.2.relu,0.20919572519489366,0.004581284761342419,ResNet50,None,Untrained,PyTorch
layer2.3.relu,0.21169586923689482,0.004625706248630959,ResNet50,None,Untrained,PyTorch
layer3.0.relu,0.21044673161793898,0.004336625980667836,ResNet50,None,Untrained,PyTorch
layer3.1.relu,0.20239565249381256,0.005083975299138258,ResNet50,None,Untrained,PyTorch
layer3.2.relu,0.19673770858680323,0.004099769164374249,ResNet50,None,Untrained,PyTorch
layer3.3.relu,0.188601436655984,0.0028882266545912235,ResNet50,None,Untrained,PyTorch
layer3.4.relu,0.18698730331592855,0.003413173902159029,ResNet50,None,Untrained,PyTorch
layer3.5.relu,0.18155570192498,0.0035970513171349272,ResNet50,None,Untrained,PyTorch
layer4.0.relu,0.17679351531788032,0.003250425744219975,ResNet50,None,Untrained,PyTorch
layer4.1.relu,0.1677783592805612,0.004158565713911879,ResNet50,None,Untrained,PyTorch
layer4.2.relu,0.16813161896474907,0.0033112678662559083,ResNet50,None,Untrained,PyTorch
layer1.0.relu,0.2979153620685075,0.002574519893997964,ResNet18,Object Classification,Supervised,PyTorch
layer1.1.relu,0.3091041005922063,0.0043429836531476895,ResNet18,Object Classification,Supervised,PyTorch
layer2.0.relu,0.3681301573557076,0.0031977446835886004,ResNet18,Object Classification,Supervised,PyTorch
layer2.1.relu,0.39948929874171013,0.0036737439629063863,ResNet18,Object Classification,Supervised,PyTorch
layer3.0.relu,0.49514405708279235,0.002972922774567698,ResNet18,Object Classification,Supervised,PyTorch
layer3.1.relu,0.503908181906432,0.003469069129179297,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu,0.5159154381980755,0.00322719392958161,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu,0.4560315873900313,0.003974841110323742,ResNet18,Object Classification,Supervised,PyTorch
layer1.0.relu,0.3064132898394607,0.003686543167653225,ResNet50,Object Classification,Supervised,PyTorch
layer1.1.relu,0.32689576803972575,0.004020176185475357,ResNet50,Object Classification,Supervised,PyTorch
layer1.2.relu,0.336637195967477,0.0037632847224922258,ResNet50,Object Classification,Supervised,PyTorch
layer2.0.relu,0.39007440999448134,0.0037289450621911867,ResNet50,Object Classification,Supervised,PyTorch
layer2.1.relu,0.390400073561163,0.0038928103823649036,ResNet50,Object Classification,Supervised,PyTorch
layer2.2.relu,0.3907970155794981,0.003706415845559909,ResNet50,Object Classification,Supervised,PyTorch
layer2.3.relu,0.3969148637476127,0.0035500382724772102,ResNet50,Object Classification,Supervised,PyTorch
layer3.0.relu,0.4800734372512318,0.005088560821419006,ResNet50,Object Classification,Supervised,PyTorch
layer3.1.relu,0.4956602037787237,0.003856743633285466,ResNet50,Object Classification,Supervised,PyTorch
layer3.2.relu,0.4865083555427094,0.004284872015053183,ResNet50,Object Classification,Supervised,PyTorch
layer3.3.relu,0.4865361003148554,0.004050782213620807,ResNet50,Object Classification,Supervised,PyTorch
layer3.4.relu,0.48943356689807904,0.004121748018527583,ResNet50,Object Classification,Supervised,PyTorch
layer3.5.relu,0.5022401209514945,0.0036074026226592774,ResNet50,Object Classification,Supervised,PyTorch
layer4.0.relu,0.5218962362592012,0.0037838370514550303,ResNet50,Object Classification,Supervised,PyTorch
layer4.1.relu,0.49343295826313355,0.004146011421965951,ResNet50,Object Classification,Supervised,PyTorch
layer4.2.relu,0.44655057003160004,0.005145261887939722,ResNet50,Object Classification,Supervised,PyTorch
encode_2,0.2909968683469121,0.0031833296306828522,ResNet18,Object Classification,Supervised,VVS
encode_3,0.30652793197531314,0.00318020579487321,ResNet18,Object Classification,Supervised,VVS
encode_4,0.3677651017437526,0.0027807822812268576,ResNet18,Object Classification,Supervised,VVS
encode_5,0.3975070476768962,0.002892604915583745,ResNet18,Object Classification,Supervised,VVS
encode_6,0.5085014109143847,0.0036512311323212503,ResNet18,Object Classification,Supervised,VVS
encode_7,0.5108053040358835,0.003817741098328356,ResNet18,Object Classification,Supervised,VVS
encode_8,0.528498152506743,0.0038729797243327326,ResNet18,Object Classification,Supervised,VVS
encode_9,0.4751504479512549,0.0035004206068207713,ResNet18,Object Classification,Supervised,VVS
encode_2,0.2784571887879943,0.003915847491165538,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_3,0.29548266504294496,0.00468776960508889,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_4,0.36703781717635525,0.004664075452020876,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_5,0.38285316183097473,0.003700656959913677,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_6,0.4813216585353691,0.0038131065251109336,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_7,0.49320144222771556,0.003838208872206835,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_8,0.5456523249126303,0.00300348943067557,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_9,0.5474080353599766,0.0027973493923187463,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_2,0.27689923623344626,0.003884915590557272,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_3,0.2957970791216637,0.0035181618331596018,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_4,0.3623082978279175,0.0029801551651948265,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_5,0.3712556631294403,0.002664108287878099,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_6,0.46922935516450404,0.0037724482276007844,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_7,0.4864512972142484,0.003189557954973504,ResNet18,Instance Recognition,Self-Supervised,VVS
