layer,score,score_error,architecture,task,kind,source
layer1.0.relu,0.13369351489757225,0.0027292901143308726,ResNet18,None,Untrained,PyTorch
layer1.1.relu,0.12172801820803121,0.003565635278396263,ResNet18,None,Untrained,PyTorch
layer2.0.relu,0.14056781179976033,0.004316479041944382,ResNet18,None,Untrained,PyTorch
layer2.1.relu,0.131325147184415,0.002369634134352117,ResNet18,None,Untrained,PyTorch
layer3.0.relu,0.12498499098695263,0.003399698874560045,ResNet18,None,Untrained,PyTorch
layer3.1.relu,0.13563186839548202,0.004493688281572475,ResNet18,None,Untrained,PyTorch
layer4.0.relu,0.12821597874667562,0.00400361465216124,ResNet18,None,Untrained,PyTorch
layer4.1.relu,0.1534125650918846,0.004876137884615525,ResNet18,None,Untrained,PyTorch
layer1.0.relu,0.17248717424823437,0.0030781977467253586,ResNet50,None,Untrained,PyTorch
layer1.1.relu,0.1607319758401776,0.0029218792379268627,ResNet50,None,Untrained,PyTorch
layer1.2.relu,0.17072079733212908,0.0036248104240479864,ResNet50,None,Untrained,PyTorch
layer2.0.relu,0.17043189309416396,0.004073647509291165,ResNet50,None,Untrained,PyTorch
layer2.1.relu,0.16668082888869762,0.002580059197504663,ResNet50,None,Untrained,PyTorch
layer2.2.relu,0.1664136886025354,0.004266722385390625,ResNet50,None,Untrained,PyTorch
layer2.3.relu,0.15729208680526785,0.0027508001484479313,ResNet50,None,Untrained,PyTorch
layer3.0.relu,0.144977449513089,0.005311083062298167,ResNet50,None,Untrained,PyTorch
layer3.1.relu,0.15119103484424615,0.004206410931936792,ResNet50,None,Untrained,PyTorch
layer3.2.relu,0.15313356760379324,0.00426497354518071,ResNet50,None,Untrained,PyTorch
layer3.3.relu,0.16177183143445711,0.004000665112273059,ResNet50,None,Untrained,PyTorch
layer3.4.relu,0.15893063645712144,0.003737288719552135,ResNet50,None,Untrained,PyTorch
layer3.5.relu,0.15484856520765927,0.0034791312968623163,ResNet50,None,Untrained,PyTorch
layer4.0.relu,0.14214000309072952,0.0034212739594092763,ResNet50,None,Untrained,PyTorch
layer4.1.relu,0.16099507675039493,0.006017255494233214,ResNet50,None,Untrained,PyTorch
layer4.2.relu,0.15702504050307808,0.003477904902346971,ResNet50,None,Untrained,PyTorch
layer1.0.relu,0.18042455639833072,0.003053993501149775,ResNet18,Object Classification,Supervised,PyTorch
layer1.1.relu,0.17286876953516805,0.003874840885037486,ResNet18,Object Classification,Supervised,PyTorch
layer2.0.relu,0.23703945532973444,0.00466679152228588,ResNet18,Object Classification,Supervised,PyTorch
layer2.1.relu,0.2529754814695769,0.003003352185601044,ResNet18,Object Classification,Supervised,PyTorch
layer3.0.relu,0.31636101610306006,0.0036295240333674966,ResNet18,Object Classification,Supervised,PyTorch
layer3.1.relu,0.3205979965793491,0.0032673898327288805,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu,0.4221594257453609,0.0034569512560485953,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu,0.3787299713196514,0.0041311236784899045,ResNet18,Object Classification,Supervised,PyTorch
layer1.0.relu,0.1995296496340884,0.0034526394749928055,ResNet50,Object Classification,Supervised,PyTorch
layer1.1.relu,0.223188834920994,0.0027372218632679994,ResNet50,Object Classification,Supervised,PyTorch
layer1.2.relu,0.2299318682649048,0.0032628149561926265,ResNet50,Object Classification,Supervised,PyTorch
layer2.0.relu,0.2909615511016822,0.0044749626681230064,ResNet50,Object Classification,Supervised,PyTorch
layer2.1.relu,0.29825051621243165,0.0039517022348346965,ResNet50,Object Classification,Supervised,PyTorch
layer2.2.relu,0.3104668144218219,0.004113215575139237,ResNet50,Object Classification,Supervised,PyTorch
layer2.3.relu,0.31895003668054894,0.004053140295272185,ResNet50,Object Classification,Supervised,PyTorch
layer3.0.relu,0.3575867641950114,0.0031079269291652777,ResNet50,Object Classification,Supervised,PyTorch
