layer,score,score_error,architecture,task,kind,source
layer1.0.relu,0.35320266754824475,0.007009560628981529,ResNet18,None,Untrained,PyTorch
layer1.1.relu,0.3496416066787634,0.006664831647773616,ResNet18,None,Untrained,PyTorch
layer2.0.relu,0.3508775126118081,0.0068829312598691385,ResNet18,None,Untrained,PyTorch
layer2.1.relu,0.34225351643079555,0.006492840421001862,ResNet18,None,Untrained,PyTorch
layer3.0.relu,0.34443028759364813,0.006915139143549719,ResNet18,None,Untrained,PyTorch
layer3.1.relu,0.3409128730155033,0.006902215960462414,ResNet18,None,Untrained,PyTorch
layer4.0.relu,0.3303874097998193,0.007007634836887603,ResNet18,None,Untrained,PyTorch
layer4.1.relu,0.334730565824421,0.006751000069354947,ResNet18,None,Untrained,PyTorch
layer1.0.relu,0.34622862675327704,0.007554356624791086,ResNet50,None,Untrained,PyTorch
layer1.1.relu,0.34457276754608274,0.006704218274149574,ResNet50,None,Untrained,PyTorch
layer1.2.relu,0.34157121708561555,0.0068063540464366945,ResNet50,None,Untrained,PyTorch
layer2.0.relu,0.34258297791061215,0.007707348436900375,ResNet50,None,Untrained,PyTorch
layer2.1.relu,0.33710112614033466,0.00800745934611111,ResNet50,None,Untrained,PyTorch
layer2.2.relu,0.33122764276955574,0.007118610941292089,ResNet50,None,Untrained,PyTorch
layer2.3.relu,0.3120581375539043,0.007789104836679552,ResNet50,None,Untrained,PyTorch
layer3.0.relu,0.312179483445302,0.007917118513915912,ResNet50,None,Untrained,PyTorch
layer3.1.relu,0.3091033898555981,0.007069798674187008,ResNet50,None,Untrained,PyTorch
layer3.2.relu,0.2983717633246679,0.007730130427949811,ResNet50,None,Untrained,PyTorch
layer3.3.relu,0.29008762885055406,0.007508414215085194,ResNet50,None,Untrained,PyTorch
layer3.4.relu,0.27568989592269155,0.006905137369335533,ResNet50,None,Untrained,PyTorch
layer3.5.relu,0.27176316898396774,0.007690719271469462,ResNet50,None,Untrained,PyTorch
layer4.0.relu,0.259481093300525,0.007952938032632086,ResNet50,None,Untrained,PyTorch
layer4.1.relu,0.25105758567307446,0.008605607486016813,ResNet50,None,Untrained,PyTorch
layer4.2.relu,0.2450185300858623,0.008448539669598782,ResNet50,None,Untrained,PyTorch
layer1.0.relu,0.4656714704701675,0.004783598153551793,ResNet18,Object Classification,Supervised,PyTorch
layer1.1.relu,0.44182476205092613,0.004045721971218998,ResNet18,Object Classification,Supervised,PyTorch
layer2.0.relu,0.4885147911840866,0.006242275057935827,ResNet18,Object Classification,Supervised,PyTorch
layer2.1.relu,0.4843507500307656,0.005989677793892716,ResNet18,Object Classification,Supervised,PyTorch
layer3.0.relu,0.4870828773406256,0.0058724284607071416,ResNet18,Object Classification,Supervised,PyTorch
layer3.1.relu,0.45497397908069165,0.00603595495832996,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu,0.3882998100108891,0.005630523539201674,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu,0.27073982552169457,0.006201948057467992,ResNet18,Object Classification,Supervised,PyTorch
layer1.0.relu,0.4622822972158616,0.004978987652329043,ResNet50,Object Classification,Supervised,PyTorch
layer1.1.relu,0.4604196808594407,0.004235984718346945,ResNet50,Object Classification,Supervised,PyTorch
layer1.2.relu,0.46267691278899237,0.004006988737533934,ResNet50,Object Classification,Supervised,PyTorch
