layer,score,score_error,architecture,task,kind,source
layer1.0.relu,0.20914314566909434,0.010245742931546878,ResNet18,None,Untrained,PyTorch
layer1.1.relu,0.1824423982782043,0.01292874519068116,ResNet18,None,Untrained,PyTorch
layer2.0.relu,0.18814919922406936,0.015422124691353045,ResNet18,None,Untrained,PyTorch
layer2.1.relu,0.17710552015463676,0.016332227555159635,ResNet18,None,Untrained,PyTorch
layer3.0.relu,0.1804806518954451,0.014652824736663279,ResNet18,None,Untrained,PyTorch
layer3.1.relu,0.1742021485382735,0.011187874839384248,ResNet18,None,Untrained,PyTorch
layer4.0.relu,0.185478844482472,0.012859589774795016,ResNet18,None,Untrained,PyTorch
layer4.1.relu,0.18350604431670917,0.013395986321396491,ResNet18,None,Untrained,PyTorch
layer1.0.relu,0.20676394049938487,0.013599637576326167,ResNet50,None,Untrained,PyTorch
layer1.1.relu,0.20138656080512501,0.010046075859971373,ResNet50,None,Untrained,PyTorch
layer1.2.relu,0.1831136714089602,0.011780773630735,ResNet50,None,Untrained,PyTorch
layer2.0.relu,0.1713762443238442,0.009729357716479764,ResNet50,None,Untrained,PyTorch
layer2.1.relu,0.16159659314853497,0.0135578722747934,ResNet50,None,Untrained,PyTorch
layer2.2.relu,0.15718306882970495,0.013599772753995574,ResNet50,None,Untrained,PyTorch
layer2.3.relu,0.14070081371024334,0.011837553938457361,ResNet50,None,Untrained,PyTorch
layer3.0.relu,0.14129690230773992,0.01485440656771666,ResNet50,None,Untrained,PyTorch
layer3.1.relu,0.12290236975781686,0.015613180013230813,ResNet50,None,Untrained,PyTorch
layer3.2.relu,0.11597311786345743,0.0175804899805873,ResNet50,None,Untrained,PyTorch
layer3.3.relu,0.120889780576397,0.01761399575333467,ResNet50,None,Untrained,PyTorch
layer3.4.relu,0.133720766919321,0.017300959146323975,ResNet50,None,Untrained,PyTorch
layer3.5.relu,0.12189241405202608,0.01366046245631345,ResNet50,None,Untrained,PyTorch
layer4.0.relu,0.12403782390891034,0.012328485678797659,ResNet50,None,Untrained,PyTorch
layer4.1.relu,0.10639185056436044,0.015627925067514543,ResNet50,None,Untrained,PyTorch
layer4.2.relu,0.10194468950095256,0.010079246169704952,ResNet50,None,Untrained,PyTorch
layer1.0.relu,0.2113463480669731,0.013409199068999263,ResNet18,Object Classification,Supervised,PyTorch
layer1.1.relu,0.15762392355080954,0.012255905794641954,ResNet18,Object Classification,Supervised,PyTorch
layer2.0.relu,0.2120084539997052,0.009641621303497766,ResNet18,Object Classification,Supervised,PyTorch
layer2.1.relu,0.1980476784011591,0.012828276106260167,ResNet18,Object Classification,Supervised,PyTorch
layer3.0.relu,0.184473850118573,0.012610751762151805,ResNet18,Object Classification,Supervised,PyTorch
layer3.1.relu,0.15913369278095962,0.014319593644954965,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu,0.1454660129450253,0.015599276962058437,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu,0.09859262835970106,0.014511320485438737,ResNet18,Object Classification,Supervised,PyTorch
layer1.0.relu,0.22651018037145385,0.012398536642236443,ResNet50,Object Classification,Supervised,PyTorch
layer1.1.relu,0.205626664316629,0.01322919672112466,ResNet50,Object Classification,Supervised,PyTorch
layer1.2.relu,0.19451198412700854,0.015344141580332971,ResNet50,Object Classification,Supervised,PyTorch
layer2.0.relu,0.21990445185542007,0.01654704410457523,ResNet50,Object Classification,Supervised,PyTorch
layer2.1.relu,0.2241325512244412,0.01502532370645573,ResNet50,Object Classification,Supervised,PyTorch
layer2.2.relu,0.23025180443686027,0.01148109028725454,ResNet50,Object Classification,Supervised,PyTorch
layer2.3.relu,0.24593471548934595,0.012478858473166885,ResNet50,Object Classification,Supervised,PyTorch
layer3.0.relu,0.19234706288158465,0.01909166809311634,ResNet50,Object Classification,Supervised,PyTorch
layer3.1.relu,0.19216315121456276,0.011002388540041262,ResNet50,Object Classification,Supervised,PyTorch
layer3.2.relu,0.189770583636018,0.01398099953465175,ResNet50,Object Classification,Supervised,PyTorch
layer3.3.relu,0.16840677826658665,0.015099737626644726,ResNet50,Object Classification,Supervised,PyTorch
layer3.4.relu,0.16009075930052585,0.013257981309242673,ResNet50,Object Classification,Supervised,PyTorch
layer3.5.relu,0.15743186617012958,0.015275248580651681,ResNet50,Object Classification,Supervised,PyTorch
layer4.0.relu,0.14328600573883205,0.014042541998780399,ResNet50,Object Classification,Supervised,PyTorch
layer4.1.relu,0.13032563738629815,0.013536988610947848,ResNet50,Object Classification,Supervised,PyTorch
layer4.2.relu,0.1306148921862579,0.014481615297629638,ResNet50,Object Classification,Supervised,PyTorch
encode_2,0.21440024269587518,0.01162178179786156,ResNet18,Object Classification,Supervised,VVS
encode_3,0.16254938298601135,0.01646485215603084,ResNet18,Object Classification,Supervised,VVS
encode_4,0.1872095245819058,0.008951100339970262,ResNet18,Object Classification,Supervised,VVS
encode_5,0.19402155808805546,0.01572989775803007,ResNet18,Object Classification,Supervised,VVS
encode_6,0.15673924361439734,0.013357071607014215,ResNet18,Object Classification,Supervised,VVS
encode_7,0.1458077377619319,0.012753792323669582,ResNet18,Object Classification,Supervised,VVS
encode_8,0.118703184116877,0.01621187348387504,ResNet18,Object Classification,Supervised,VVS
encode_9,0.11810949638783261,0.018303152892319725,ResNet18,Object Classification,Supervised,VVS
encode_2,0.2047966838524212,0.013191724900224917,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_3,0.1673641936831087,0.01542738521782959,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_4,0.21440379552249827,0.013183105462586067,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_5,0.2036490535570311,0.01604256239434886,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_6,0.19505872093726878,0.015141425484651498,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_7,0.18871602455051825,0.011565903806347774,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_8,0.1730693326691868,0.014480239568240277,ResNet18,Local Aggregation,Self-Supervised,VVS
