layer,score,score_error,model,benchmark,effective_dimensionality_dataset,effective_dimensionality_imagenet,region,model_type
logits,0.08049495688512716,0.002455077666222508,base=curvature filters (n=180)-type=engineered-zscore-1000components,dicarlo.MajajHong2015.IT.public-lin,46.61245383225093,92.57292332578486,IT,engineered
logits,0.016465102081754602,0.004017890088183565,base=edge filters (n=180)-type=engineered-zscore-1000components,dicarlo.MajajHong2015.IT.public-lin,33.86596530622134,50.05537350517653,IT,engineered
logits,0.047413459695968135,0.005279831000817251,base=random filters (n=180)-type=engineered-zscore-1000components,dicarlo.MajajHong2015.IT.public-lin,14.004866815329956,27.578760368479948,IT,engineered
logits,0.09040389276166381,0.0038818126605905424,base=curvature filters (n=180)-type=engineered-1000components,dicarlo.MajajHong2015.IT.public-lin,9.627508204315758,7.873873488307533,IT,engineered
logits,0.03537931041669395,0.004699473572439918,base=edge filters (n=180)-type=engineered-1000components,dicarlo.MajajHong2015.IT.public-lin,11.184689516305319,9.538119254879243,IT,engineered
logits,0.08491912652771945,0.0050251489020627154,base=random filters (n=180)-type=engineered-1000components,dicarlo.MajajHong2015.IT.public-lin,6.190207892909173,4.525785796365499,IT,engineered
logits,0.029553515573464723,0.003779913777015251,base=raw pixels-type=engineered-1000components,dicarlo.MajajHong2015.IT.public-lin,8.76024549408124,9.117470464676916,IT,engineered
conv1,0.23037103409672033,0.002252075658530695,base=alexnet-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-lin,26.76594416344775,62.94765796468307,IT,supervised
conv3,0.3731732542967238,0.00353372281663416,base=alexnet-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-lin,61.86510810894085,170.8610374588182,IT,supervised
conv5,0.3739240951686529,0.002638593589667059,base=alexnet-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-lin,81.21807980868027,131.0418175461601,IT,supervised
fc7,0.274955675855264,0.0038341422930958254,base=alexnet-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-lin,29.699568246693765,229.83204545540787,IT,supervised
block1,0.3137196412009207,0.003999565590407386,base=resnet50-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-lin,18.889844980137582,48.728309223012964,IT,supervised
block2,0.3265243854151253,0.0030853767943517193,base=resnet50-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-lin,41.33845033242026,105.62535938405334,IT,supervised
block3,0.40602301757412906,0.003797162245311513,base=resnet50-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-lin,84.02821130249983,150.96343877964935,IT,supervised
block4,0.3409131869608593,0.004144489179741979,base=resnet50-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-lin,68.35888208081352,187.35290266433907,IT,supervised
block1,0.258185751687074,0.004591011204184161,base=resnet18-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-lin,36.097231611840655,40.53017731307298,IT,supervised
block2,0.26813877240219613,0.004278774848846824,base=resnet18-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-lin,97.20946701233949,95.14418655957896,IT,supervised
block3,0.3665616085931636,0.003450524810289709,base=resnet18-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-lin,163.88008780431193,118.27160974048603,IT,supervised
block4,0.33467145951369426,0.003915933408299719,base=resnet18-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-lin,81.66685954337986,170.5378854240871,IT,supervised
conv1,0.1402811408557067,0.005161396716298334,base=alexnet (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-lin,11.854905709717906,19.233390590155388,IT,supervised
conv3,0.18624556486125893,0.00536455271748991,base=alexnet (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-lin,7.436001289763369,13.405601550329044,IT,supervised
conv5,0.17176248066118271,0.005620648198453974,base=alexnet (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-lin,8.812504571555936,15.875671830021266,IT,supervised
fc7,0.16726541896336422,0.004458407628189464,base=alexnet (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-lin,12.11688993203569,17.32570485951217,IT,supervised
block1,0.1858944007245355,0.00607888607623605,base=resnet50 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-lin,13.659986595561422,23.391938779488758,IT,supervised
block2,0.13245410418730294,0.002812396744316948,base=resnet50 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-lin,20.137225294959556,33.47223237884626,IT,supervised
block3,0.0809201776148837,0.006272051530743764,base=resnet50 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-lin,17.113986906697495,60.919974788027936,IT,supervised
block4,0.0787973250984733,0.005317090768443071,base=resnet50 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-lin,7.503640796907816,28.25176587303287,IT,supervised
block1,0.15087806934382597,0.005037231753533458,base=resnet18 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-lin,17.98268337671874,19.991783314731073,IT,supervised
block2,0.12607927016070694,0.004274334208535279,base=resnet18 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-lin,17.445761827251022,20.608048724224247,IT,supervised
block3,0.10801324968758709,0.005399808800511013,base=resnet18 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-lin,31.57595845949926,25.76083100564198,IT,supervised
block4,0.11575781162779897,0.005824304867554414,base=resnet18 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-lin,26.446699409920072,51.386119419465906,IT,supervised
conv1,0.18818157081718692,0.0046370970529015796,base=alexnet-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-lin,16.18148740075188,27.65924179012877,IT,supervised
conv3,0.3764968499125052,0.0027861172134141508,base=alexnet-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-lin,54.91141378402158,139.34613635536041,IT,supervised
conv5,0.3671042807879294,0.002645787366525076,base=alexnet-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-lin,75.49524652053924,110.6779043447512,IT,supervised
fc7,0.2740854705492037,0.004154350605132757,base=alexnet-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-lin,29.04879859400244,227.13645028334082,IT,supervised
block1,0.30148364468013616,0.004182475575116219,base=resnet50-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-lin,19.574282747373356,29.529389436605022,IT,supervised
block2,0.34483518385978135,0.0031808717456732506,base=resnet50-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-lin,33.43443585141794,55.59662547984754,IT,supervised
block3,0.44669204395034806,0.0034614955515938116,base=resnet50-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-lin,81.96052734779498,114.69687913791196,IT,supervised
block4,0.34956970324082304,0.0034226726550600317,base=resnet50-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-lin,55.496519606157435,182.26800494561527,IT,supervised
block1,0.2642649620997741,0.0041859012307196375,base=resnet18-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-lin,28.522193802118558,23.12907609403569,IT,supervised
block2,0.313873962384954,0.003006622334329262,base=resnet18-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-lin,73.03286114574274,56.05575421323803,IT,supervised
block3,0.4119894041912028,0.004327707953257682,base=resnet18-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-lin,104.13673240464881,67.89410151786119,IT,supervised
block4,0.34537024926847004,0.002307766898640603,base=resnet18-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-lin,54.435321425158925,163.75875080664545,IT,supervised
