layer,score,score_error,model,benchmark,effective_dimensionality_dataset,effective_dimensionality_imagenet,region,model_type
logits,0.16425634223102586,0.003714279842909324,base=curvature filters (n=180)-type=engineered-zscore-1000components,dicarlo.MajajHong2015.IT.public-pls,46.61245383225093,92.57292332578486,IT,engineered
logits,0.06080037757940755,0.003907341683415844,base=edge filters (n=180)-type=engineered-zscore-1000components,dicarlo.MajajHong2015.IT.public-pls,33.86596530622134,50.05537350517653,IT,engineered
logits,0.09978850454490826,0.007679058255615617,base=random filters (n=180)-type=engineered-zscore-1000components,dicarlo.MajajHong2015.IT.public-pls,14.004866815329956,27.578760368479948,IT,engineered
logits,0.16758190961412323,0.0044011585087391815,base=curvature filters (n=180)-type=engineered-1000components,dicarlo.MajajHong2015.IT.public-pls,9.627508204315758,7.873873488307533,IT,engineered
logits,0.12184153227912543,0.005624128928133528,base=edge filters (n=180)-type=engineered-1000components,dicarlo.MajajHong2015.IT.public-pls,11.184689516305319,9.538119254879243,IT,engineered
logits,0.17253236082990542,0.004963627244791128,base=random filters (n=180)-type=engineered-1000components,dicarlo.MajajHong2015.IT.public-pls,6.190207892909173,4.525785796365499,IT,engineered
logits,0.08193459845771395,0.005678365251876657,base=raw pixels-type=engineered-1000components,dicarlo.MajajHong2015.IT.public-pls,8.76024549408124,9.117470464676916,IT,engineered
conv1,0.33184844383794554,0.0032493505238841763,base=alexnet-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-pls,26.76594416344775,62.94765796468307,IT,supervised
conv3,0.48021851867699145,0.003906435346893376,base=alexnet-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-pls,61.86510810894085,170.8610374588182,IT,supervised
conv5,0.47561145334370536,0.0037205281410071177,base=alexnet-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-pls,81.21807980868027,131.0418175461601,IT,supervised
fc7,0.39556155795376075,0.003524542291236098,base=alexnet-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-pls,29.699568246693765,229.83204545540787,IT,supervised
block1,0.41682744847480735,0.0042735373492209655,base=resnet50-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-pls,18.889844980137582,48.728309223012964,IT,supervised
block2,0.4350155501317352,0.0042529706978404165,base=resnet50-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-pls,41.33845033242026,105.62535938405334,IT,supervised
block3,0.5037537477558902,0.004585318044482306,base=resnet50-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-pls,84.02821130249983,150.96343877964935,IT,supervised
block4,0.4274134617249129,0.004050613997868426,base=resnet50-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-pls,68.35888208081352,187.35290266433907,IT,supervised
block1,0.37673256793297927,0.00427394512361829,base=resnet18-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-pls,36.097231611840655,40.53017731307298,IT,supervised
block2,0.39230526604353533,0.004431967835838779,base=resnet18-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-pls,97.20946701233949,95.14418655957896,IT,supervised
block3,0.4828546529457167,0.0045317966699997105,base=resnet18-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-pls,163.88008780431193,118.27160974048603,IT,supervised
block4,0.43736565639009023,0.0035484942226665954,base=resnet18-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-pls,81.66685954337986,170.5378854240871,IT,supervised
conv1,0.2301809624828202,0.004584177966108263,base=alexnet (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-pls,11.854905709717906,19.233390590155388,IT,supervised
conv3,0.2827829001101889,0.0040448142280362625,base=alexnet (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-pls,7.436001289763369,13.405601550329044,IT,supervised
conv5,0.2936343546538368,0.005099171091991145,base=alexnet (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-pls,8.812504571555936,15.875671830021266,IT,supervised
fc7,0.2735021829460239,0.004116428078956391,base=alexnet (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-pls,12.11688993203569,17.32570485951217,IT,supervised
block1,0.2804920714654679,0.004872669973038093,base=resnet50 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-pls,13.659986595561422,23.391938779488758,IT,supervised
block2,0.23411213837768857,0.005042773907874631,base=resnet50 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-pls,20.137225294959556,33.47223237884626,IT,supervised
block3,0.15280278514487558,0.007149764975859235,base=resnet50 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-pls,17.113986906697495,60.919974788027936,IT,supervised
block4,0.15421525025798463,0.006033357979218504,base=resnet50 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-pls,7.503640796907816,28.25176587303287,IT,supervised
block1,0.258112228287284,0.0036596856019832117,base=resnet18 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-pls,17.98268337671874,19.991783314731073,IT,supervised
block2,0.23553153455015888,0.004308926013128092,base=resnet18 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-pls,17.445761827251022,20.608048724224247,IT,supervised
block3,0.21050231695053032,0.00509822266765385,base=resnet18 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-pls,31.57595845949926,25.76083100564198,IT,supervised
block4,0.2163746945404468,0.004864623054129554,base=resnet18 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-pls,26.446699409920072,51.386119419465906,IT,supervised
conv1,0.28329473747324607,0.003955541305995413,base=alexnet-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-pls,16.18148740075188,27.65924179012877,IT,supervised
conv3,0.4819293634297312,0.0032419138385434186,base=alexnet-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-pls,54.91141378402158,139.34613635536041,IT,supervised
conv5,0.46942790769092113,0.002757885117442349,base=alexnet-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-pls,75.49524652053924,110.6779043447512,IT,supervised
fc7,0.3923195817418119,0.0035541719089182515,base=alexnet-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-pls,29.04879859400244,227.13645028334082,IT,supervised
block1,0.4029620711865945,0.00427055089317101,base=resnet50-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-pls,19.574282747373356,29.529389436605022,IT,supervised
block2,0.45725457922954366,0.004087570573646294,base=resnet50-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-pls,33.43443585141794,55.59662547984754,IT,supervised
block3,0.5368907049818624,0.004008243945574844,base=resnet50-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-pls,81.96052734779498,114.69687913791196,IT,supervised
block4,0.413738231326566,0.00454508322698366,base=resnet50-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-pls,55.496519606157435,182.26800494561527,IT,supervised
block1,0.37834464729765244,0.0033179373026059056,base=resnet18-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-pls,28.522193802118558,23.12907609403569,IT,supervised
block2,0.429596906686813,0.004181412485559495,base=resnet18-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-pls,73.03286114574274,56.05575421323803,IT,supervised
block3,0.515674591576137,0.00461141371170216,base=resnet18-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-pls,104.13673240464881,67.89410151786119,IT,supervised
block4,0.42022789382372155,0.0040293657431664355,base=resnet18-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-pls,54.435321425158925,163.75875080664545,IT,supervised
conv1,0.26785529632794813,0.003775654491490111,base=alexnet (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-pls,11.280407766549617,14.84222331904795,IT,supervised
conv3,0.30047971130742224,0.0038033571981772483,base=alexnet (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-pls,7.677462414179674,10.09265257212421,IT,supervised
conv5,0.28560518352165104,0.00515768599344534,base=alexnet (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-pls,6.52733755203501,8.233365857645616,IT,supervised
fc7,0.2708951550078652,0.0045614962027293844,base=alexnet (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-pls,10.003134121847781,11.89220551473817,IT,supervised
block1,0.2885232434760562,0.0044934927939273865,base=resnet50 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-pls,8.541391050245894,8.252314307063202,IT,supervised
block2,0.2507826262659876,0.00646703752835222,base=resnet50 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-pls,4.163255681986676,4.299677831350609,IT,supervised
block3,0.1919385689758098,0.005956179999442404,base=resnet50 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-pls,2.182589592458574,2.3045946620221507,IT,supervised
block4,0.15565685781622754,0.005200631067865877,base=resnet50 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-pls,1.8673685716266533,1.9151193044196406,IT,supervised
block1,0.28371312176852836,0.004028365258266826,base=resnet18 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-pls,11.777685794831218,8.667985483061925,IT,supervised
block2,0.2823375598380847,0.004638961945731558,base=resnet18 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-pls,8.255984071906676,6.034078865576757,IT,supervised
block3,0.28003743639864936,0.0035024925100898456,base=resnet18 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-pls,5.687917738611762,4.014160126918305,IT,supervised
block4,0.2359915637419963,0.003924896471789682,base=resnet18 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-pls,3.9304770837330554,3.693635748180003,IT,supervised
block1,0.3948807967050932,0.004498594981441379,base=resnet50 simclr-type=unsupervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-pls,23.321962459603345,59.488059369553305,IT,unsupervised
block2,0.41043367793837515,0.004287591004767136,base=resnet50 simclr-type=unsupervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-pls,43.33093913630285,143.96704249087503,IT,unsupervised
block3,0.5066406040373548,0.0036371000569158027,base=resnet50 simclr-type=unsupervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-pls,69.64128277847287,110.57875524211012,IT,unsupervised
block4,0.4630847616825828,0.0037991323058620247,base=resnet50 simclr-type=unsupervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-pls,43.03675379216614,207.73351692841365,IT,unsupervised
block1,0.37590082259813645,0.0036367221022111846,base=resnet50 barlowtwins-type=unsupervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-pls,19.6139084250959,43.612514662310126,IT,unsupervised
block2,0.4305645146908753,0.005019216863554607,base=resnet50 barlowtwins-type=unsupervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-pls,46.569976868704,112.93197779882912,IT,unsupervised
block3,0.5246448990823019,0.004326812431299674,base=resnet50 barlowtwins-type=unsupervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-pls,78.87428860213971,117.51407091538088,IT,unsupervised
block4,0.48747498987022914,0.004659597968168313,base=resnet50 barlowtwins-type=unsupervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-pls,63.21705605376319,390.76025581351183,IT,unsupervised
block1,0.39239722072648664,0.004365094212672445,base=resnet50 simclr-type=unsupervised-1000components,dicarlo.MajajHong2015.IT.public-pls,27.00152872462665,37.35552304646143,IT,unsupervised
block2,0.42403067687490303,0.003642974151635039,base=resnet50 simclr-type=unsupervised-1000components,dicarlo.MajajHong2015.IT.public-pls,44.11012079254836,73.03678414296142,IT,unsupervised
block3,0.5234221396439618,0.0043933009882847,base=resnet50 simclr-type=unsupervised-1000components,dicarlo.MajajHong2015.IT.public-pls,66.6894936384193,101.75702049250971,IT,unsupervised
block4,0.5006137286054707,0.003922259546850528,base=resnet50 simclr-type=unsupervised-1000components,dicarlo.MajajHong2015.IT.public-pls,34.49565510896212,208.22446397460564,IT,unsupervised
block1,0.36724124574688854,0.003424827143816015,base=resnet50 barlowtwins-type=unsupervised-1000components,dicarlo.MajajHong2015.IT.public-pls,19.741332660638353,29.788398572325004,IT,unsupervised
block2,0.4393893375885862,0.004949294940707234,base=resnet50 barlowtwins-type=unsupervised-1000components,dicarlo.MajajHong2015.IT.public-pls,45.62804310203846,75.82112114569289,IT,unsupervised
block3,0.5400528133076175,0.004407717799895814,base=resnet50 barlowtwins-type=unsupervised-1000components,dicarlo.MajajHong2015.IT.public-pls,74.20466104018078,111.00545268232116,IT,unsupervised
block4,0.5359907922739741,0.003958115162027457,base=resnet50 barlowtwins-type=unsupervised-1000components,dicarlo.MajajHong2015.IT.public-pls,46.31114647835736,356.9351244451548,IT,unsupervised
logits,0.07005773226086,0.003936993426665623,base=curvature filters (n=180)-type=engineered-zscore-1000components,dicarlo.MajajHong2015.V4.public-pls,46.61245383225093,92.57292332578486,V4,engineered
logits,0.02812836522617852,0.007736903169215824,base=edge filters (n=180)-type=engineered-zscore-1000components,dicarlo.MajajHong2015.V4.public-pls,33.86596530622134,50.05537350517653,V4,engineered
logits,0.05157223329127008,0.009907557201664155,base=random filters (n=180)-type=engineered-zscore-1000components,dicarlo.MajajHong2015.V4.public-pls,14.004866815329956,27.578760368479948,V4,engineered
logits,0.08701965467973334,0.007746112545941684,base=curvature filters (n=180)-type=engineered-1000components,dicarlo.MajajHong2015.V4.public-pls,9.627508204315758,7.873873488307533,V4,engineered
logits,0.06705560681011496,0.00820765535862098,base=edge filters (n=180)-type=engineered-1000components,dicarlo.MajajHong2015.V4.public-pls,11.184689516305319,9.538119254879243,V4,engineered
logits,0.07853965183314716,0.006510686591055734,base=random filters (n=180)-type=engineered-1000components,dicarlo.MajajHong2015.V4.public-pls,6.190207892909173,4.525785796365499,V4,engineered
logits,0.1324904535847346,0.006271813997330796,base=raw pixels-type=engineered-1000components,dicarlo.MajajHong2015.V4.public-pls,8.76024549408124,9.117470464676916,V4,engineered
conv1,0.336883411072199,0.005251000057891497,base=alexnet-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-pls,26.76594416344775,62.94765796468307,V4,supervised
conv3,0.35797733555827493,0.007138134774015572,base=alexnet-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-pls,61.86510810894085,170.8610374588182,V4,supervised
conv5,0.2602892169402529,0.008676874578136949,base=alexnet-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-pls,81.21807980868027,131.0418175461601,V4,supervised
fc7,0.18116864979691627,0.0076400169248186664,base=alexnet-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-pls,29.699568246693765,229.83204545540787,V4,supervised
block1,0.36609058714364673,0.005487151894507896,base=resnet50-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-pls,18.889844980137582,48.728309223012964,V4,supervised
block2,0.26860571922672893,0.007885673758996608,base=resnet50-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-pls,41.33845033242026,105.62535938405334,V4,supervised
block3,0.3019300168310735,0.00695031915334632,base=resnet50-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-pls,84.02821130249983,150.96343877964935,V4,supervised
