layer,score,score_error,model,benchmark,effective_dimensionality_dataset,effective_dimensionality_imagenet,region,model_type
logits,0.005243571133404852,0.00030373326961021896,base=curvature filters (n=180)-type=engineered-zscore-1000components,dicarlo.MajajHong2015.IT.public-rdm,46.61245383225093,92.57292332578486,IT,engineered
logits,0.0018166452180275385,0.00027903155087934627,base=edge filters (n=180)-type=engineered-zscore-1000components,dicarlo.MajajHong2015.IT.public-rdm,33.86596530622134,50.05537350517653,IT,engineered
logits,0.002025767934598028,0.0002036378167931569,base=random filters (n=180)-type=engineered-zscore-1000components,dicarlo.MajajHong2015.IT.public-rdm,14.004866815329956,27.578760368479948,IT,engineered
logits,0.0026173191671591874,0.0002291580222711662,base=curvature filters (n=180)-type=engineered-1000components,dicarlo.MajajHong2015.IT.public-rdm,9.627508204315758,7.873873488307533,IT,engineered
logits,0.0024390498346886086,0.00022892517972139447,base=edge filters (n=180)-type=engineered-1000components,dicarlo.MajajHong2015.IT.public-rdm,11.184689516305319,9.538119254879243,IT,engineered
logits,0.002206159800929333,0.00015787180434379924,base=random filters (n=180)-type=engineered-1000components,dicarlo.MajajHong2015.IT.public-rdm,6.190207892909173,4.525785796365499,IT,engineered
logits,0.013381727607818835,0.0005988625483012189,base=raw pixels-type=engineered-1000components,dicarlo.MajajHong2015.IT.public-rdm,8.76024549408124,9.117470464676916,IT,engineered
conv1,0.01753120374824374,0.0003278073948070192,base=alexnet-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-rdm,26.76594416344775,62.94765796468307,IT,supervised
conv3,0.0501962429086217,0.00041040581730902783,base=alexnet-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-rdm,61.86510810894085,170.8610374588182,IT,supervised
conv5,0.08062303439139726,0.0003137566663245614,base=alexnet-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-rdm,81.21807980868027,131.0418175461601,IT,supervised
fc7,0.07924392908148907,0.0004499113157374397,base=alexnet-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-rdm,29.699568246693765,229.83204545540787,IT,supervised
block1,0.01693025132027367,0.0003935306098383958,base=resnet50-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-rdm,18.889844980137582,48.728309223012964,IT,supervised
block2,0.02746370235581973,0.0004841478586916755,base=resnet50-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-rdm,41.33845033242026,105.62535938405334,IT,supervised
block3,0.06372296607660752,0.0004837582314167703,base=resnet50-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-rdm,84.02821130249983,150.96343877964935,IT,supervised
block4,0.05250380442472159,0.00047228741264343787,base=resnet50-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-rdm,68.35888208081352,187.35290266433907,IT,supervised
block1,0.018022547625757456,0.0004559140056495448,base=resnet18-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-rdm,36.097231611840655,40.53017731307298,IT,supervised
block2,0.02525419701233639,0.00043068857436816786,base=resnet18-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-rdm,97.20946701233949,95.14418655957896,IT,supervised
block3,0.0645492535416001,0.00040637577813495474,base=resnet18-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-rdm,163.88008780431193,118.27160974048603,IT,supervised
block4,0.07613650194820223,0.00031536460038158185,base=resnet18-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-rdm,81.66685954337986,170.5378854240871,IT,supervised
conv1,0.01189506446286166,0.0004613565931146142,base=alexnet (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-rdm,11.854905709717906,19.233390590155388,IT,supervised
conv3,0.012177347545025398,0.000515691068625595,base=alexnet (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-rdm,7.436001289763369,13.405601550329044,IT,supervised
conv5,0.016117931464004233,0.0005706529808479181,base=alexnet (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-rdm,8.812504571555936,15.875671830021266,IT,supervised
fc7,0.01176743046802387,0.0004057275572098231,base=alexnet (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-rdm,12.11688993203569,17.32570485951217,IT,supervised
block1,0.012600723208362924,0.00039138516935585346,base=resnet50 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-rdm,13.659986595561422,23.391938779488758,IT,supervised
block2,0.014060536171603896,0.00039503065074465417,base=resnet50 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-rdm,20.137225294959556,33.47223237884626,IT,supervised
block3,0.003543546351239181,0.00030991964056479123,base=resnet50 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-rdm,17.113986906697495,60.919974788027936,IT,supervised
block4,0.0022224126015394294,0.00021942876328430837,base=resnet50 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-rdm,7.503640796907816,28.25176587303287,IT,supervised
block1,0.012609246742304202,0.00042348059165321384,base=resnet18 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-rdm,17.98268337671874,19.991783314731073,IT,supervised
block2,0.014000890269234517,0.0004501931136230652,base=resnet18 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-rdm,17.445761827251022,20.608048724224247,IT,supervised
block3,0.013640089540943172,0.000454651420183679,base=resnet18 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-rdm,31.57595845949926,25.76083100564198,IT,supervised
block4,0.015980777437562398,0.00039592079524813407,base=resnet18 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-rdm,26.446699409920072,51.386119419465906,IT,supervised
conv1,0.006160385075355772,0.00019044466799632008,base=alexnet-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-rdm,16.18148740075188,27.65924179012877,IT,supervised
conv3,0.03139436336167403,0.00038881497645528953,base=alexnet-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-rdm,54.91141378402158,139.34613635536041,IT,supervised
conv5,0.0693277843019365,0.00030920969030237626,base=alexnet-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-rdm,75.49524652053924,110.6779043447512,IT,supervised
fc7,0.07923130095008273,0.00044837193570422144,base=alexnet-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-rdm,29.04879859400244,227.13645028334082,IT,supervised
block1,0.01382397929679648,0.00039837923831771325,base=resnet50-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-rdm,19.574282747373356,29.529389436605022,IT,supervised
block2,0.023113658074543863,0.0004412250517781459,base=resnet50-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-rdm,33.43443585141794,55.59662547984754,IT,supervised
block3,0.08995529572427764,0.00043978547579564105,base=resnet50-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-rdm,81.96052734779498,114.69687913791196,IT,supervised
block4,0.09631676972829464,0.0005282269492937361,base=resnet50-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-rdm,55.496519606157435,182.26800494561527,IT,supervised
block1,0.013513187946915469,0.00036211162792922736,base=resnet18-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-rdm,28.522193802118558,23.12907609403569,IT,supervised
block2,0.0220438993132484,0.00037632614050028324,base=resnet18-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-rdm,73.03286114574274,56.05575421323803,IT,supervised
block3,0.07247225518360363,0.00037404720498595786,base=resnet18-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-rdm,104.13673240464881,67.89410151786119,IT,supervised
block4,0.1328768044740242,0.00045897971626726564,base=resnet18-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-rdm,54.435321425158925,163.75875080664545,IT,supervised
conv1,0.009276223675860396,0.0003609052692631367,base=alexnet (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-rdm,11.280407766549617,14.84222331904795,IT,supervised
conv3,0.008018430908166943,0.00037160858339240665,base=alexnet (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-rdm,7.677462414179674,10.09265257212421,IT,supervised
conv5,0.007044223224905995,0.0003828716497032657,base=alexnet (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-rdm,6.52733755203501,8.233365857645616,IT,supervised
fc7,0.007496322388108814,0.0003447070418359153,base=alexnet (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-rdm,10.003134121847781,11.89220551473817,IT,supervised
block1,0.0041116965061964985,0.00019015877749203422,base=resnet50 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-rdm,8.541391050245894,8.252314307063202,IT,supervised
block2,0.0013744923786619609,0.00024016424137388758,base=resnet50 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-rdm,4.163255681986676,4.299677831350609,IT,supervised
block3,0.0009208896009566394,0.000354676052811602,base=resnet50 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-rdm,2.182589592458574,2.3045946620221507,IT,supervised
block4,0.0007200143125845986,0.0003241339621573283,base=resnet50 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-rdm,1.8673685716266533,1.9151193044196406,IT,supervised
block1,0.007224955277487128,0.0002258153212784006,base=resnet18 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-rdm,11.777685794831218,8.667985483061925,IT,supervised
block2,0.0063750807131955235,0.00022264666588624722,base=resnet18 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-rdm,8.255984071906676,6.034078865576757,IT,supervised
block3,0.005277012054798803,0.00022675151841225648,base=resnet18 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-rdm,5.687917738611762,4.014160126918305,IT,supervised
block4,0.0023924011368742296,0.00015615782552793153,base=resnet18 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-rdm,3.9304770837330554,3.693635748180003,IT,supervised
block1,0.01703990765794544,0.00041489247909631854,base=resnet50 simclr-type=unsupervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-rdm,23.321962459603345,59.488059369553305,IT,unsupervised
