layer,score,score_error,model,benchmark,effective_dimensionality_dataset,effective_dimensionality_imagenet,region
encode_1,0.165980594499945,0.004600418883037112,resnet18-supervised-1000components,dicarlo.MajajHong2015.IT.public-lin,18.064687399164562,89.97359217845607,IT
encode_1.conv,0.10215632967797982,0.0034588796742030517,resnet18-supervised-1000components,dicarlo.MajajHong2015.IT.public-lin,10.904449143886053,100.2374844587045,IT
encode_2,0.2052693050484022,0.003969966774865819,resnet18-supervised-1000components,dicarlo.MajajHong2015.IT.public-lin,24.531935002152895,276.181491240111,IT
encode_3,0.21066236303799518,0.0028890526629135145,resnet18-supervised-1000components,dicarlo.MajajHong2015.IT.public-lin,44.643707289236325,623.8813004925357,IT
encode_4,0.2744991794003688,0.0032179380114246477,resnet18-supervised-1000components,dicarlo.MajajHong2015.IT.public-lin,51.701035956848,525.4846251732583,IT
encode_5,0.3069165635678491,0.0029144764834378267,resnet18-supervised-1000components,dicarlo.MajajHong2015.IT.public-lin,75.85653414397834,676.2756978212252,IT
encode_6,0.4385738463923803,0.0025409603505391486,resnet18-supervised-1000components,dicarlo.MajajHong2015.IT.public-lin,66.62226863073352,359.13919457947935,IT
encode_7,0.44679561951355856,0.003654133534905784,resnet18-supervised-1000components,dicarlo.MajajHong2015.IT.public-lin,59.454407384286576,439.2157757851501,IT
encode_8,0.44544196589169655,0.003568452322930317,resnet18-supervised-1000components,dicarlo.MajajHong2015.IT.public-lin,60.12960674644942,427.5878502889277,IT
encode_9,0.38809477001144244,0.003809958774025664,resnet18-supervised-1000components,dicarlo.MajajHong2015.IT.public-lin,44.78600237621766,313.8762749108132,IT
encode_3,0.289728527864671,0.004555882528740048,resnet18-supervised-pool-1000components,dicarlo.MajajHong2015.IT.public-lin,22.524721754170734,22.632205016444864,IT
encode_5,0.3136129703156772,0.003657092347604142,resnet18-supervised-pool-1000components,dicarlo.MajajHong2015.IT.public-lin,80.863369591011,61.26193023366035,IT
encode_7,0.415411375110362,0.0033161937450439088,resnet18-supervised-pool-1000components,dicarlo.MajajHong2015.IT.public-lin,122.84291829187379,91.76927113928039,IT
encode_9,0.3704667842411995,0.0032129182066051275,resnet18-supervised-pool-1000components,dicarlo.MajajHong2015.IT.public-lin,47.379770179924606,155.8459847659157,IT
encode_1,0.1681115186822109,0.003912704488243272,resnet18-la-1000components,dicarlo.MajajHong2015.IT.public-lin,15.629796407496077,57.01257891167812,IT
encode_1.conv,0.08583752030494977,0.004089594702067943,resnet18-la-1000components,dicarlo.MajajHong2015.IT.public-lin,8.888408951335759,52.489866273237894,IT
encode_2,0.20379551670169896,0.00469069360444262,resnet18-la-1000components,dicarlo.MajajHong2015.IT.public-lin,16.242131137336656,216.9292577130078,IT
encode_3,0.19301043665223944,0.003732816929650964,resnet18-la-1000components,dicarlo.MajajHong2015.IT.public-lin,45.002326950180695,627.9908497171853,IT
encode_4,0.27329799099305846,0.004390355693288177,resnet18-la-1000components,dicarlo.MajajHong2015.IT.public-lin,48.755410326187096,454.6930603965079,IT
encode_5,0.2968359455974856,0.0029890762809727787,resnet18-la-1000components,dicarlo.MajajHong2015.IT.public-lin,52.962814571194905,560.4546395422608,IT
encode_6,0.4289429204103233,0.0017445445155815377,resnet18-la-1000components,dicarlo.MajajHong2015.IT.public-lin,43.07809806383003,241.50848101711287,IT
encode_7,0.458713530209422,0.0029179937109111236,resnet18-la-1000components,dicarlo.MajajHong2015.IT.public-lin,25.902364767907542,54.92261013825796,IT
encode_8,0.4903677034120198,0.002996908707312262,resnet18-la-1000components,dicarlo.MajajHong2015.IT.public-lin,8.275935838597222,16.04707199557393,IT
encode_9,0.4797730760192079,0.0034038938711111574,resnet18-la-1000components,dicarlo.MajajHong2015.IT.public-lin,45.72388266620264,290.50594356437296,IT
encode_3,0.24858413926897888,0.002612683791794006,resnet18-la-pool-1000components,dicarlo.MajajHong2015.IT.public-lin,30.645990968105313,21.115893248710478,IT
encode_5,0.30571386307880455,0.002881940074379588,resnet18-la-pool-1000components,dicarlo.MajajHong2015.IT.public-lin,81.31168824280365,54.836266961273246,IT
encode_7,0.39997942475215825,0.0031246057984709607,resnet18-la-pool-1000components,dicarlo.MajajHong2015.IT.public-lin,16.781892207170394,4.380190091979924,IT
encode_9,0.43652666346879476,0.0037746816110951742,resnet18-la-pool-1000components,dicarlo.MajajHong2015.IT.public-lin,49.42144658758236,118.40163479445803,IT
encode_1,0.16665975347422216,0.00450924453099006,resnet18-ir-1000components,dicarlo.MajajHong2015.IT.public-lin,18.028111698528942,73.82007516352552,IT
encode_1.conv,0.10132750367467323,0.003979480654509538,resnet18-ir-1000components,dicarlo.MajajHong2015.IT.public-lin,11.057272742272232,103.61080027603973,IT
encode_2,0.19434510935751198,0.005119465739216575,resnet18-ir-1000components,dicarlo.MajajHong2015.IT.public-lin,26.06061317992372,268.551229517882,IT
encode_3,0.1942603164893386,0.0035851076134154006,resnet18-ir-1000components,dicarlo.MajajHong2015.IT.public-lin,38.601394230233645,596.3459503478392,IT
encode_4,0.2743189282251035,0.0029314470416875508,resnet18-ir-1000components,dicarlo.MajajHong2015.IT.public-lin,40.66415354938452,404.5137761286565,IT
encode_5,0.28285491107534055,0.002543041202848101,resnet18-ir-1000components,dicarlo.MajajHong2015.IT.public-lin,56.181544830847756,558.6391546108658,IT
encode_6,0.41838101931728816,0.0017605591109587464,resnet18-ir-1000components,dicarlo.MajajHong2015.IT.public-lin,42.56790138926355,255.18624267231905,IT
encode_7,0.4362073345568034,0.0019176673848954938,resnet18-ir-1000components,dicarlo.MajajHong2015.IT.public-lin,43.17806672399647,139.03298585860742,IT
encode_8,0.45418906736940046,0.002740550130482165,resnet18-ir-1000components,dicarlo.MajajHong2015.IT.public-lin,33.97686187479745,41.83629553713771,IT
encode_9,0.45559217238575866,0.002091066968581362,resnet18-ir-1000components,dicarlo.MajajHong2015.IT.public-lin,45.55612494017423,279.09791794316965,IT
encode_3,0.255732703655419,0.003761386950298229,resnet18-ir-pool-1000components,dicarlo.MajajHong2015.IT.public-lin,31.363254998451627,24.432139026516452,IT
encode_5,0.30121565804477757,0.004460772522846519,resnet18-ir-pool-1000components,dicarlo.MajajHong2015.IT.public-lin,85.40820382592864,65.10161674818562,IT
encode_7,0.36707363133049475,0.002282574328355866,resnet18-ir-pool-1000components,dicarlo.MajajHong2015.IT.public-lin,60.93457692094311,12.699444129413768,IT
encode_9,0.4188976736188057,0.0037198160886090233,resnet18-ir-pool-1000components,dicarlo.MajajHong2015.IT.public-lin,55.45492004778501,107.44237363801153,IT
encode_1,0.1339495361320235,0.0050884379493987345,resnet18-ae-1000components,dicarlo.MajajHong2015.IT.public-lin,12.542082809925061,17.167193015301862,IT
encode_1.conv,0.10654004029217666,0.004158156730854823,resnet18-ae-1000components,dicarlo.MajajHong2015.IT.public-lin,10.65419394462166,15.147674372039473,IT
encode_2,0.17392866568575485,0.006132052262207282,resnet18-ae-1000components,dicarlo.MajajHong2015.IT.public-lin,16.59005433308759,27.480866041734213,IT
encode_3,0.18527134646845572,0.006021162733240345,resnet18-ae-1000components,dicarlo.MajajHong2015.IT.public-lin,18.574109074150094,32.11138963920859,IT
encode_4,0.18309105723739702,0.004016984390684113,resnet18-ae-1000components,dicarlo.MajajHong2015.IT.public-lin,24.804875499343787,43.63955789653345,IT
encode_5,0.17417174240620314,0.0047251748707957545,resnet18-ae-1000components,dicarlo.MajajHong2015.IT.public-lin,30.003748229399317,47.07083575572173,IT
encode_6,0.1599245211192422,0.004864835952464971,resnet18-ae-1000components,dicarlo.MajajHong2015.IT.public-lin,35.54907491681423,49.80381899278779,IT
encode_7,0.14916158074867927,0.004548549320075506,resnet18-ae-1000components,dicarlo.MajajHong2015.IT.public-lin,43.262859698660456,42.156729809304046,IT
encode_8,0.13264023193610525,0.0039338980176495675,resnet18-ae-1000components,dicarlo.MajajHong2015.IT.public-lin,41.94152573217687,33.8992954669629,IT
encode_9,0.12922656950590306,0.003381139631443944,resnet18-ae-1000components,dicarlo.MajajHong2015.IT.public-lin,62.26804594789959,83.94592303074742,IT
encode_3,0.2106356761298105,0.004502955944285657,resnet18-ae-pool-1000components,dicarlo.MajajHong2015.IT.public-lin,18.838997281470597,14.657768505684519,IT
encode_5,0.16260748058641825,0.005161756475261533,resnet18-ae-pool-1000components,dicarlo.MajajHong2015.IT.public-lin,19.753353092634956,13.149704406906919,IT
encode_7,0.12878189147480343,0.004986782096575342,resnet18-ae-pool-1000components,dicarlo.MajajHong2015.IT.public-lin,17.78225860972205,8.572591345041944,IT
encode_9,0.09494686224793938,0.004516631983739139,resnet18-ae-pool-1000components,dicarlo.MajajHong2015.IT.public-lin,25.446256009342125,24.650793617653914,IT
encode_1,0.15082532883931632,0.0030885145653701982,resnet18-cpc-1000components,dicarlo.MajajHong2015.IT.public-lin,16.404558157485074,75.24962635343476,IT
encode_1.conv,0.12022165946520516,0.004450734742098274,resnet18-cpc-1000components,dicarlo.MajajHong2015.IT.public-lin,19.588064276122292,290.7572905216086,IT
encode_2,0.20090561448166294,0.002979147672696816,resnet18-cpc-1000components,dicarlo.MajajHong2015.IT.public-lin,20.765005286072995,270.7773254856769,IT
encode_3,0.21865417746087018,0.003250891106948608,resnet18-cpc-1000components,dicarlo.MajajHong2015.IT.public-lin,17.268225957615908,224.7896254073912,IT
encode_4,0.2500682258406465,0.0040674657306390095,resnet18-cpc-1000components,dicarlo.MajajHong2015.IT.public-lin,20.482725671267445,176.35589862976306,IT
encode_5,0.2878316542833782,0.002964945994301126,resnet18-cpc-1000components,dicarlo.MajajHong2015.IT.public-lin,24.852193699228465,82.60374219992657,IT
encode_6,0.30096591504205195,0.0028899930199998394,resnet18-cpc-1000components,dicarlo.MajajHong2015.IT.public-lin,37.46052874953362,138.49029416863033,IT
encode_7,0.2829086716280449,0.003546119038740877,resnet18-cpc-1000components,dicarlo.MajajHong2015.IT.public-lin,42.685011017986355,167.62342022519124,IT
encode_8,0.2559121462566924,0.004105758723663459,resnet18-cpc-1000components,dicarlo.MajajHong2015.IT.public-lin,10.27127034012462,7.4813382511725255,IT
encode_9,0.22863239649457734,0.004303403332969791,resnet18-cpc-1000components,dicarlo.MajajHong2015.IT.public-lin,2.1516166028033386,1.7377031641892018,IT
encode_3,0.24446484231466664,0.003394049233321748,resnet18-cpc-pool-1000components,dicarlo.MajajHong2015.IT.public-lin,27.316230781395983,18.71966694707558,IT
encode_5,0.25938818538255765,0.002654433411339748,resnet18-cpc-pool-1000components,dicarlo.MajajHong2015.IT.public-lin,63.617728948026816,31.493382648490073,IT
encode_7,0.21100095084111903,0.004289115635415091,resnet18-cpc-pool-1000components,dicarlo.MajajHong2015.IT.public-lin,37.20516016870843,48.15491878257849,IT
encode_9,0.17765550709458816,0.004513325289252256,resnet18-cpc-pool-1000components,dicarlo.MajajHong2015.IT.public-lin,1.5363155164844258,1.2844446434222099,IT
encode_1,0.1414730146670124,0.004876180481086085,resnet18-color-1000components,dicarlo.MajajHong2015.IT.public-lin,17.647725199043467,61.298086322963854,IT
encode_1.conv,0.12248982839717826,0.0038659561463246714,resnet18-color-1000components,dicarlo.MajajHong2015.IT.public-lin,19.821121839881673,219.04179192589476,IT
encode_2,0.1918754443442366,0.003288609055309577,resnet18-color-1000components,dicarlo.MajajHong2015.IT.public-lin,29.133478981258165,251.07971206141698,IT
encode_3,0.21033487380268456,0.004642517786248029,resnet18-color-1000components,dicarlo.MajajHong2015.IT.public-lin,33.84526165981841,380.69995413054227,IT
encode_4,0.2389460167918498,0.0024265597323217853,resnet18-color-1000components,dicarlo.MajajHong2015.IT.public-lin,42.42169793474307,455.4090071495477,IT
encode_5,0.29432705843842133,0.00505382348113092,resnet18-color-1000components,dicarlo.MajajHong2015.IT.public-lin,55.238140209486424,473.4736182023992,IT
encode_6,0.2924235708393858,0.0025613124140004516,resnet18-color-1000components,dicarlo.MajajHong2015.IT.public-lin,46.42885113366633,286.7022518978024,IT
encode_7,0.33564575017997345,0.0029018903546830163,resnet18-color-1000components,dicarlo.MajajHong2015.IT.public-lin,27.217185633000906,142.7110586286491,IT
encode_8,0.2534437707245806,0.0027952667681021746,resnet18-color-1000components,dicarlo.MajajHong2015.IT.public-lin,26.83127526406252,44.66078979718826,IT
encode_9,0.23370614254003622,0.0036851672938890724,resnet18-color-1000components,dicarlo.MajajHong2015.IT.public-lin,32.526105145508,47.52870916822214,IT
encode_3,0.24993960384201208,0.00348427920382992,resnet18-color-pool-1000components,dicarlo.MajajHong2015.IT.public-lin,23.197875227986785,16.615570969542535,IT
encode_5,0.2990046591887123,0.0043576369811215215,resnet18-color-pool-1000components,dicarlo.MajajHong2015.IT.public-lin,89.21420758460451,87.02656128311186,IT
encode_7,0.27567565312963455,0.0038737227295437228,resnet18-color-pool-1000components,dicarlo.MajajHong2015.IT.public-lin,105.55246189653067,44.26727228567773,IT
encode_9,0.21403698741478458,0.004865285115150583,resnet18-color-pool-1000components,dicarlo.MajajHong2015.IT.public-lin,20.880361896498993,25.195234581408897,IT
encode_1,0.14352221993940184,0.00462092558360893,resnet18-rp-1000components,dicarlo.MajajHong2015.IT.public-lin,18.897135623867648,109.36834834278908,IT
encode_1.conv,0.10203759376343623,0.004072092511431922,resnet18-rp-1000components,dicarlo.MajajHong2015.IT.public-lin,16.875786164325152,229.6537937375893,IT
encode_2,0.15993438427593093,0.003918533523092752,resnet18-rp-1000components,dicarlo.MajajHong2015.IT.public-lin,18.687039210080535,241.071677642991,IT
encode_3,0.16233580730376873,0.003156237963961086,resnet18-rp-1000components,dicarlo.MajajHong2015.IT.public-lin,17.362463436176373,302.1750314544837,IT
encode_4,0.2153037843247769,0.003015120428883366,resnet18-rp-1000components,dicarlo.MajajHong2015.IT.public-lin,27.797600224828596,307.7322784559674,IT
encode_5,0.24575942939500978,0.0022683794547144055,resnet18-rp-1000components,dicarlo.MajajHong2015.IT.public-lin,28.503375954302868,334.0072422877179,IT
encode_6,0.28477650904433083,0.0051374948823812916,resnet18-rp-1000components,dicarlo.MajajHong2015.IT.public-lin,41.21430961500281,208.9320169334805,IT
encode_7,0.3168885961365175,0.0032370487156269906,resnet18-rp-1000components,dicarlo.MajajHong2015.IT.public-lin,40.962646281546746,244.39873777644272,IT
encode_8,0.3322379207831831,0.002482996573297507,resnet18-rp-1000components,dicarlo.MajajHong2015.IT.public-lin,32.61988387532379,98.02895882962265,IT
encode_9,0.33404710238223,0.002381541575660879,resnet18-rp-1000components,dicarlo.MajajHong2015.IT.public-lin,29.226707217238822,85.33308128877756,IT
encode_3,0.23190652773360973,0.0025711938913022246,resnet18-rp-pool-1000components,dicarlo.MajajHong2015.IT.public-lin,17.949775915392987,16.844734377940828,IT
encode_5,0.23176075964162568,0.004232667525298053,resnet18-rp-pool-1000components,dicarlo.MajajHong2015.IT.public-lin,55.301642145068335,55.269267297227366,IT
encode_7,0.2564869527890878,0.0025541357537319322,resnet18-rp-pool-1000components,dicarlo.MajajHong2015.IT.public-lin,88.51094974098635,70.94600285103287,IT
encode_9,0.2967943020963713,0.0018732358987087244,resnet18-rp-pool-1000components,dicarlo.MajajHong2015.IT.public-lin,37.035209783461355,39.20426425248633,IT
encode_1,0.14507675402362194,0.004958425872254704,resnet18-depth-1000components,dicarlo.MajajHong2015.IT.public-lin,15.01380787761073,33.02832994154075,IT
encode_1.conv,0.0570130634831739,0.004594649330751131,resnet18-depth-1000components,dicarlo.MajajHong2015.IT.public-lin,11.084050658597759,26.462377947425992,IT
encode_2,0.1781908844516318,0.005362949628011242,resnet18-depth-1000components,dicarlo.MajajHong2015.IT.public-lin,26.793859131177523,157.22201199997932,IT
encode_3,0.18107112526199315,0.0036792573123613738,resnet18-depth-1000components,dicarlo.MajajHong2015.IT.public-lin,34.659658874754676,409.02978729155285,IT
encode_4,0.19825712880940846,0.004618260968286406,resnet18-depth-1000components,dicarlo.MajajHong2015.IT.public-lin,62.39208133632988,579.9050012060395,IT
encode_5,0.2323673671767897,0.0036204649642316952,resnet18-depth-1000components,dicarlo.MajajHong2015.IT.public-lin,44.794442510942936,594.9087999947268,IT
encode_6,0.26971224456799264,0.004687749428648129,resnet18-depth-1000components,dicarlo.MajajHong2015.IT.public-lin,34.74995876663731,419.03877943324864,IT
encode_7,0.2687892043876813,0.004816047248780094,resnet18-depth-1000components,dicarlo.MajajHong2015.IT.public-lin,30.608836050619214,467.2771034302559,IT
encode_8,0.2040745408225677,0.004903237641634246,resnet18-depth-1000components,dicarlo.MajajHong2015.IT.public-lin,18.923394954345667,285.51753901854465,IT
encode_9,0.18912562123003782,0.0030380017763176107,resnet18-depth-1000components,dicarlo.MajajHong2015.IT.public-lin,17.616716291928718,264.6338453119538,IT
encode_3,0.2611899360326934,0.0035960990316966836,resnet18-depth-pool-1000components,dicarlo.MajajHong2015.IT.public-lin,28.78762855863955,22.323364457576773,IT
encode_5,0.25834071507896456,0.005398105643882201,resnet18-depth-pool-1000components,dicarlo.MajajHong2015.IT.public-lin,77.42412273376951,68.52536781085438,IT
encode_7,0.2529859020977165,0.002999237543152594,resnet18-depth-pool-1000components,dicarlo.MajajHong2015.IT.public-lin,94.26312599327836,98.34421680986134,IT
encode_9,0.15887542240519364,0.0033998414682202363,resnet18-depth-pool-1000components,dicarlo.MajajHong2015.IT.public-lin,33.25626591104032,122.08193681317401,IT
encode_1,0.14800199896882668,0.003870071189418023,resnet18-simclr-1000components,dicarlo.MajajHong2015.IT.public-lin,12.986020909460446,36.30014911301305,IT
encode_2,0.20801133891989174,0.003750967451863276,resnet18-simclr-1000components,dicarlo.MajajHong2015.IT.public-lin,16.03150098956471,187.04613350623086,IT
encode_3,0.20458794797966368,0.003437656509176338,resnet18-simclr-1000components,dicarlo.MajajHong2015.IT.public-lin,23.70246436174258,455.95286137046094,IT
encode_4,0.22771876611182262,0.00259840430132783,resnet18-simclr-1000components,dicarlo.MajajHong2015.IT.public-lin,57.035097562661555,588.3455846039001,IT
encode_5,0.2490767164997773,0.0034399135023619764,resnet18-simclr-1000components,dicarlo.MajajHong2015.IT.public-lin,52.90822197258064,598.8525468859698,IT
encode_6,0.3864300570375923,0.0026063103593177354,resnet18-simclr-1000components,dicarlo.MajajHong2015.IT.public-lin,49.426859541813705,325.97167842208177,IT
encode_7,0.42729275414249895,0.0021330074339576833,resnet18-simclr-1000components,dicarlo.MajajHong2015.IT.public-lin,48.437854097682326,291.9641502224902,IT
encode_8,0.46648927885670644,0.004198627831387621,resnet18-simclr-1000components,dicarlo.MajajHong2015.IT.public-lin,50.19824643824808,219.40756765826475,IT
encode_9,0.4563313847236679,0.0035493140475089608,resnet18-simclr-1000components,dicarlo.MajajHong2015.IT.public-lin,39.41372045277228,239.6122762606354,IT
encode_3,0.2366140968764977,0.0030068396190731546,resnet18-simclr-pool-1000components,dicarlo.MajajHong2015.IT.public-lin,30.163430570872514,22.400160713371285,IT
encode_5,0.2692269582534204,0.003876695248796585,resnet18-simclr-pool-1000components,dicarlo.MajajHong2015.IT.public-lin,71.65265497843053,51.937854752454335,IT
encode_7,0.39097840866611405,0.003909524087424176,resnet18-simclr-pool-1000components,dicarlo.MajajHong2015.IT.public-lin,77.59667052505166,69.21163805949905,IT
encode_9,0.4221841424026781,0.003822286313842293,resnet18-simclr-pool-1000components,dicarlo.MajajHong2015.IT.public-lin,40.25757274774506,79.47379464229803,IT
layer1.0.relu,0.18144329427593622,0.00364199531294501,resnet18-deepcluster-1000components,dicarlo.MajajHong2015.IT.public-lin,54.80568320942432,441.1618858801296,IT
layer1.1.relu,0.18415156852603343,0.0042032691401331515,resnet18-deepcluster-1000components,dicarlo.MajajHong2015.IT.public-lin,56.51895377117659,543.5727155926094,IT
layer2.0.relu,0.2530315951264103,0.003908748245520813,resnet18-deepcluster-1000components,dicarlo.MajajHong2015.IT.public-lin,57.14142931854085,441.0188221812854,IT
layer2.1.relu,0.2930685988635927,0.003669007781364219,resnet18-deepcluster-1000components,dicarlo.MajajHong2015.IT.public-lin,69.05359163500333,479.7574142711316,IT
layer3.0.relu,0.4062746834246149,0.0038068823098018024,resnet18-deepcluster-1000components,dicarlo.MajajHong2015.IT.public-lin,49.30368008749045,244.37194707028445,IT
layer3.1.relu,0.41759754576640346,0.0033340589876728033,resnet18-deepcluster-1000components,dicarlo.MajajHong2015.IT.public-lin,45.82069701387711,95.9114113773518,IT
layer4.0.relu,0.41780822681967306,0.004437598090203085,resnet18-deepcluster-1000components,dicarlo.MajajHong2015.IT.public-lin,45.56177488758675,44.15163714109454,IT
layer4.1.relu,0.36159515691000166,0.0034212093706210704,resnet18-deepcluster-1000components,dicarlo.MajajHong2015.IT.public-lin,48.53772874043822,507.2620781250756,IT
maxpool,0.15652137584901682,0.004843717482345672,resnet18-deepcluster-1000components,dicarlo.MajajHong2015.IT.public-lin,11.511008598849376,59.749077328200485,IT
relu,0.12547279013637144,0.0028238084296245357,resnet18-deepcluster-1000components,dicarlo.MajajHong2015.IT.public-lin,29.174646523556646,398.40280927087275,IT
layer1.1.relu,0.21939753001445694,0.002979915452290892,resnet18-deepcluster-pool-1000components,dicarlo.MajajHong2015.IT.public-lin,24.642513813869257,21.868170289304036,IT
layer2.1.relu,0.3085898122811176,0.0027443276166991227,resnet18-deepcluster-pool-1000components,dicarlo.MajajHong2015.IT.public-lin,91.26488728274646,65.93630184089452,IT
layer3.1.relu,0.36653809613421723,0.0034224788481042644,resnet18-deepcluster-pool-1000components,dicarlo.MajajHong2015.IT.public-lin,89.20259001667586,3.905775525679766,IT
layer4.1.relu,0.3440971366691713,0.00297653739377876,resnet18-deepcluster-pool-1000components,dicarlo.MajajHong2015.IT.public-lin,65.3451118815441,258.86559108848274,IT
layer1.0.relu,0.21653385580957638,0.004104955908287599,resnet18-cmc-1000components,dicarlo.MajajHong2015.IT.public-lin,20.329039677391652,301.8381857339462,IT
layer1.1.relu,0.18829006983427318,0.0036410916841144716,resnet18-cmc-1000components,dicarlo.MajajHong2015.IT.public-lin,27.38412867168456,530.9538043697993,IT
