layer,score,score_error,model,benchmark,effective_dimensionality_dataset,effective_dimensionality_imagenet,region
encode_1,0.23360680977204382,0.0038303405734152586,resnet18-supervised-1000components,dicarlo.MajajHong2015.IT.public-pls,18.064687399164562,89.97359217845607,IT
encode_1.conv,0.18244431719425494,0.0035619529197117414,resnet18-supervised-1000components,dicarlo.MajajHong2015.IT.public-pls,10.904449143886053,100.2374844587045,IT
encode_2,0.2909968683469121,0.0031833296306828522,resnet18-supervised-1000components,dicarlo.MajajHong2015.IT.public-pls,24.531935002152895,276.181491240111,IT
encode_3,0.30652793197531314,0.00318020579487321,resnet18-supervised-1000components,dicarlo.MajajHong2015.IT.public-pls,44.643707289236325,623.8813004925357,IT
encode_4,0.3677651017437526,0.0027807822812268576,resnet18-supervised-1000components,dicarlo.MajajHong2015.IT.public-pls,51.701035956848,525.4846251732583,IT
encode_5,0.3975070476768962,0.002892604915583745,resnet18-supervised-1000components,dicarlo.MajajHong2015.IT.public-pls,75.85653414397834,676.2756978212252,IT
encode_6,0.5085014109143847,0.0036512311323212503,resnet18-supervised-1000components,dicarlo.MajajHong2015.IT.public-pls,66.62226863073352,359.13919457947935,IT
encode_7,0.5108053040358835,0.003817741098328356,resnet18-supervised-1000components,dicarlo.MajajHong2015.IT.public-pls,59.454407384286576,439.2157757851501,IT
encode_8,0.528498152506743,0.0038729797243327326,resnet18-supervised-1000components,dicarlo.MajajHong2015.IT.public-pls,60.12960674644942,427.5878502889277,IT
encode_9,0.4751504479512549,0.0035004206068207713,resnet18-supervised-1000components,dicarlo.MajajHong2015.IT.public-pls,44.78600237621766,313.8762749108132,IT
encode_3,0.3969857080487059,0.0038772372770388935,resnet18-supervised-pool-1000components,dicarlo.MajajHong2015.IT.public-pls,22.524721754170734,22.632205016444864,IT
encode_5,0.4234378639571589,0.0037732799884729793,resnet18-supervised-pool-1000components,dicarlo.MajajHong2015.IT.public-pls,80.863369591011,61.26193023366035,IT
encode_7,0.5175260132107388,0.004210571431465077,resnet18-supervised-pool-1000components,dicarlo.MajajHong2015.IT.public-pls,122.84291829187379,91.76927113928039,IT
encode_9,0.4548675295147515,0.0033795400730470865,resnet18-supervised-pool-1000components,dicarlo.MajajHong2015.IT.public-pls,47.379770179924606,155.8459847659157,IT
encode_1,0.2260769437418816,0.004127031619319611,resnet18-la-1000components,dicarlo.MajajHong2015.IT.public-pls,15.629796407496077,57.01257891167812,IT
encode_1.conv,0.15529570086761096,0.004832722985734557,resnet18-la-1000components,dicarlo.MajajHong2015.IT.public-pls,8.888408951335759,52.489866273237894,IT
encode_2,0.2784571887879943,0.003915847491165538,resnet18-la-1000components,dicarlo.MajajHong2015.IT.public-pls,16.242131137336656,216.9292577130078,IT
encode_3,0.29548266504294496,0.00468776960508889,resnet18-la-1000components,dicarlo.MajajHong2015.IT.public-pls,45.002326950180695,627.9908497171853,IT
encode_4,0.36703781717635525,0.004664075452020876,resnet18-la-1000components,dicarlo.MajajHong2015.IT.public-pls,48.755410326187096,454.6930603965079,IT
encode_5,0.38285316183097473,0.003700656959913677,resnet18-la-1000components,dicarlo.MajajHong2015.IT.public-pls,52.962814571194905,560.4546395422608,IT
encode_6,0.4813216585353691,0.0038131065251109336,resnet18-la-1000components,dicarlo.MajajHong2015.IT.public-pls,43.07809806383003,241.50848101711287,IT
encode_7,0.49320144222771556,0.003838208872206835,resnet18-la-1000components,dicarlo.MajajHong2015.IT.public-pls,25.902364767907542,54.92261013825796,IT
