layer,score,score_error,model,benchmark,effective_dimensionality_dataset,effective_dimensionality_imagenet,region
encode_1,0.012741526694189676,0.0003047868667296836,resnet18-supervised-1000components,dicarlo.MajajHong2015.IT.public-rdm,18.064687399164562,89.97359217845607,IT
encode_1.conv,0.01511197644661636,0.0005685233318828646,resnet18-supervised-1000components,dicarlo.MajajHong2015.IT.public-rdm,10.904449143886053,100.2374844587045,IT
encode_2,0.014323442091044261,0.00032079517650613655,resnet18-supervised-1000components,dicarlo.MajajHong2015.IT.public-rdm,24.531935002152895,276.181491240111,IT
encode_3,0.01431540808933918,0.0003537436818558943,resnet18-supervised-1000components,dicarlo.MajajHong2015.IT.public-rdm,44.643707289236325,623.8813004925357,IT
encode_4,0.015876436170579357,0.00044699241356315096,resnet18-supervised-1000components,dicarlo.MajajHong2015.IT.public-rdm,51.701035956848,525.4846251732583,IT
encode_5,0.021600740028674795,0.000381068534976642,resnet18-supervised-1000components,dicarlo.MajajHong2015.IT.public-rdm,75.85653414397834,676.2756978212252,IT
encode_6,0.04538691505021408,0.0003913391968235738,resnet18-supervised-1000components,dicarlo.MajajHong2015.IT.public-rdm,66.62226863073352,359.13919457947935,IT
encode_7,0.047007196837268214,0.0004381575850904758,resnet18-supervised-1000components,dicarlo.MajajHong2015.IT.public-rdm,59.454407384286576,439.2157757851501,IT
encode_8,0.09610561305969413,0.00033771866461529605,resnet18-supervised-1000components,dicarlo.MajajHong2015.IT.public-rdm,60.12960674644942,427.5878502889277,IT
encode_9,0.14398742513950688,0.00048209673792861394,resnet18-supervised-1000components,dicarlo.MajajHong2015.IT.public-rdm,44.78600237621766,313.8762749108132,IT
encode_3,0.011254797326448107,0.00035627640756124033,resnet18-supervised-pool-1000components,dicarlo.MajajHong2015.IT.public-rdm,22.524721754170734,22.632205016444864,IT
encode_5,0.019525930309773135,0.0004215844684788657,resnet18-supervised-pool-1000components,dicarlo.MajajHong2015.IT.public-rdm,80.863369591011,61.26193023366035,IT
encode_7,0.06963526179435513,0.00043095292293560946,resnet18-supervised-pool-1000components,dicarlo.MajajHong2015.IT.public-rdm,122.84291829187379,91.76927113928039,IT
