between-concept dimensionality,between-concept radius,bias (mean),bias (std),layer,other signal-noise-overlap (mean),other signal-noise-overlap (std),self signal-noise-overlap (mean),self signal-noise-overlap (std),signal (mean),signal (std),signal-noise-ratio (mean),signal-noise-ratio (std),within-concept dimensionality (mean),within-concept dimensionality (std),within-concept radius (mean),within-concept radius (std),architecture,task,kind,source
3.2158274167167646,0.08395972847938538,0.024592651054263115,0.22712241113185883,layer1.0.relu,17.029308319091797,9.11296272277832,17.010723114013672,8.994988441467285,4.725158214569092,1.9839003086090088,0.68764201172443,0.30369629774028806,2.6164889205587945,0.3994403661205937,0.1690051406621933,0.025545140728354454,ResNet18,None,Untrained,PyTorch
2.6926140871471254,0.11112245917320251,0.023728113621473312,0.22279581427574158,layer1.1.relu,17.34079360961914,10.016151428222656,17.355993270874023,10.003076553344727,4.430548667907715,1.974674940109253,0.5974995023694271,0.2603136935944098,2.4057746629287977,0.30086228707968976,0.23619820177555084,0.03515109047293663,ResNet18,None,Untrained,PyTorch
2.4104340488280127,0.16000378131866455,0.02252950333058834,0.2169766128063202,layer2.0.relu,18.15206527709961,10.9729642868042,18.158973693847656,10.946343421936035,4.386637210845947,2.0325846672058105,0.5629798689884278,0.24600213111581903,2.2648746525975145,0.2637272496943527,0.3411952257156372,0.04929831251502037,ResNet18,None,Untrained,PyTorch
1.9493079145064853,0.24204209446907043,0.023218898102641106,0.22047436237335205,layer2.1.relu,20.065876007080078,13.309115409851074,20.060396194458008,13.2470064163208,4.402354717254639,2.2310690879821777,0.5179280709415475,0.22814818117385205,1.9788277561297145,0.23205100211935648,0.5061557292938232,0.07445355504751205,ResNet18,None,Untrained,PyTorch
1.8244525814557508,0.3057103455066681,0.023030277341604233,0.2195146679878235,layer3.0.relu,20.932199478149414,14.286123275756836,20.919002532958984,14.221139907836914,4.4120378494262695,2.2818498611450195,0.505396674086761,0.22510285740157038,1.8453979113592303,0.2099912910523384,0.6353499889373779,0.09307019412517548,ResNet18,None,Untrained,PyTorch
1.5583097901749219,0.4197710454463959,0.023208606988191605,0.2205137312412262,layer3.1.relu,22.551700592041016,16.35903549194336,22.527647018432617,16.269670486450195,4.372618198394775,2.430081844329834,0.46969599010766244,0.22398359634439388,1.581695257975929,0.16661408826469035,0.866820216178894,0.12809985876083374,ResNet18,None,Untrained,PyTorch
1.426772329407368,0.5517690777778625,0.022555986419320107,0.21730032563209534,layer4.0.relu,23.04456329345703,17.19748878479004,23.00167465209961,17.063983917236328,4.316370487213135,2.514265775680542,0.45189343396709497,0.22189322342067302,1.5393072522726998,0.15712173149599756,1.143975853919983,0.16834132373332977,ResNet18,None,Untrained,PyTorch
1.3070301060158416,0.7289692759513855,0.02229834906756878,0.21597549319267273,layer4.1.relu,24.178504943847656,18.29578971862793,24.128631591796875,18.14535903930664,4.304164409637451,2.6339304447174072,0.4280090572839172,0.21994056376317234,1.4301937913457479,0.12971175747830463,1.498572826385498,0.2201034426689148,ResNet18,None,Untrained,PyTorch
3.293206669032665,0.0706247016787529,0.027986440807580948,0.24317120015621185,layer1.0.relu,15.4802885055542,8.71108627319336,15.469307899475098,8.622150421142578,4.188511848449707,1.6629371643066406,0.6110162144375649,0.2602029480404968,2.257775100215248,0.47090800030282187,0.16254261136054993,0.02716420590877533,ResNet50,None,Untrained,PyTorch
3.327590103163118,0.08918889611959457,0.027413707226514816,0.24065516889095306,layer1.1.relu,15.406055450439453,8.241616249084473,15.402375221252441,8.165682792663574,4.212540149688721,1.6512945890426636,0.6158393294200333,0.2634396516571161,2.3876467671474835,0.5102058249301218,0.20292282104492188,0.03347622975707054,ResNet50,None,Untrained,PyTorch
2.310523426680295,0.1475021094083786,0.027847766876220703,0.24255098402500153,layer1.2.relu,18.170801162719727,11.18567943572998,18.160627365112305,11.09187126159668,4.16902494430542,1.8654636144638062,0.5202359791261238,0.23474049894558757,1.947623397028302,0.34625502920927453,0.3316638469696045,0.054320067167282104,ResNet50,None,Untrained,PyTorch
2.122846680959691,0.20344054698944092,0.02951774373650551,0.2501387298107147,layer2.0.relu,18.633920669555664,11.937156677246094,18.602724075317383,11.76318359375,4.129281520843506,1.8959109783172607,0.5030062938292026,0.22884129112395668,1.8497839982991662,0.33473540163115945,0.45882242918014526,0.0773208811879158,ResNet50,None,Untrained,PyTorch
1.916517870570809,0.2520093619823456,0.032600875943899155,0.2636685073375702,layer2.1.relu,18.784629821777344,12.571651458740234,18.735498428344727,12.331223487854004,3.960367202758789,1.909402847290039,0.46333436554188273,0.2162768425307306,1.713204616670546,0.3098326235493875,0.5893576741218567,0.10504351556301117,ResNet50,None,Untrained,PyTorch
1.6781351635636315,0.3626130223274231,0.03358491137623787,0.26789674162864685,layer2.2.relu,19.788299560546875,13.716729164123535,19.733856201171875,13.477981567382812,3.895050287246704,1.9966517686843872,0.4256874316789492,0.19978413899291828,1.542180340052617,0.236689894793412,0.8526027798652649,0.15397651493549347,ResNet50,None,Untrained,PyTorch
1.4186839788166652,0.5475677251815796,0.03674715384840965,0.28106212615966797,layer2.3.relu,20.819141387939453,14.97971248626709,20.75732421875,14.72451400756836,3.764749765396118,2.1237425804138184,0.3742574685975045,0.18318622881312216,1.372090679378164,0.1755708995688998,1.3072947263717651,0.24746659398078918,ResNet50,None,Untrained,PyTorch
1.3400981439743591,0.7511256337165833,0.03615317866206169,0.2785950303077698,layer3.0.relu,21.192007064819336,15.377934455871582,21.134130477905273,15.157318115234375,3.712975025177002,2.158888816833496,0.3561884345245888,0.17701413486296164,1.3143890723767877,0.14456341843419845,1.8066121339797974,0.33939334750175476,ResNet50,None,Untrained,PyTorch
1.2730032569395249,1.0967763662338257,0.036697790026664734,0.2807767689228058,layer3.1.relu,21.680301666259766,15.848658561706543,21.624168395996094,15.643951416015625,3.6834630966186523,2.21506404876709,0.33980809381621013,0.17391909305012115,1.258599322250201,0.11759251391976078,2.6404266357421875,0.49939069151878357,ResNet50,None,Untrained,PyTorch
1.1835250538298958,1.6731963157653809,0.03805462643504143,0.2862564027309418,layer3.2.relu,22.44841194152832,16.5623722076416,22.401111602783203,16.39250373840332,3.6390392780303955,2.297102928161621,0.31814217398207095,0.17276506036793976,1.1758823980473903,0.0788344226524977,4.017547607421875,0.7711547017097473,ResNet50,None,Untrained,PyTorch
1.1331184180260638,2.356635332107544,0.03832739591598511,0.28732767701148987,layer3.3.relu,22.805076599121094,16.90204429626465,22.764204025268555,16.759185791015625,3.5923173427581787,2.3442130088806152,0.30176322491509705,0.17053497346104593,1.1344597728489925,0.057975252645840795,5.684005260467529,1.0950349569320679,ResNet50,None,Untrained,PyTorch
1.098764601965786,3.605746030807495,0.03887186571955681,0.2894831895828247,layer3.4.relu,22.959760665893555,17.07953453063965,22.921783447265625,16.948320388793945,3.54085373878479,2.372403860092163,0.28785095623635815,0.1684914961227359,1.1084683590851243,0.046772162299706196,8.765704154968262,1.7015225887298584,ResNet50,None,Untrained,PyTorch
1.078964983109708,5.523638725280762,0.04008876159787178,0.29430827498435974,layer3.5.relu,23.057905197143555,17.210973739624023,23.023635864257812,17.093290328979492,3.5067479610443115,2.3928210735321045,0.2791066388378545,0.1688737168399655,1.0889621826804237,0.03814813583378121,13.501280784606934,2.660559892654419,ResNet50,None,Untrained,PyTorch
1.0727503907895966,7.60420036315918,0.03932127729058266,0.29119768738746643,layer4.0.relu,23.072444915771484,17.2177791595459,23.032014846801758,17.08123207092285,3.5059814453125,2.4036223888397217,0.2787325958266326,0.16940834104171548,1.0992621951575539,0.04141248159327991,18.598859786987305,3.6353988647460938,ResNet50,None,Untrained,PyTorch
1.0579246250322605,11.413732528686523,0.039407141506671906,0.2915200889110565,layer4.1.relu,23.251426696777344,17.329524993896484,23.216304779052734,17.212587356567383,3.491208553314209,2.422865390777588,0.2733037911609558,0.17239802309350458,1.082842855328344,0.035194800183696334,27.9268798828125,5.456961631774902,ResNet50,None,Untrained,PyTorch
1.0590581683066613,15.292876243591309,0.03909456357359886,0.2902708351612091,layer4.2.relu,23.28672218322754,17.3316593170166,23.250308990478516,17.212493896484375,3.4992973804473877,2.4262051582336426,0.2727377991617112,0.17167034106211923,1.0863328174547444,0.03778019423710226,37.3534049987793,7.264571666717529,ResNet50,None,Untrained,PyTorch
4.266967827797459,0.06924674659967422,0.040922265499830246,0.2981451451778412,layer1.0.relu,19.021339416503906,9.960616111755371,18.56447410583496,8.345048904418945,6.185408115386963,2.2510883808135986,1.078838517201639,0.47374260070499563,4.7095134073850575,1.0098660223279656,0.10942009836435318,0.021542701870203018,ResNet18,Object Classification,Supervised,PyTorch
5.716611370387226,0.0559992752969265,0.02823513187468052,0.2443910837173462,layer1.1.relu,14.225985527038574,6.166003704071045,14.084700584411621,5.684425354003906,5.866783142089844,1.8792206048965454,1.273623188470738,0.5010218615367251,6.3374135526218245,1.2202812989748477,0.09400268644094467,0.015003527514636517,ResNet18,Object Classification,Supervised,PyTorch
6.0099570952551815,0.057832036167383194,0.02223949506878853,0.21583984792232513,layer2.0.relu,12.450725555419922,5.3790154457092285,12.343005180358887,4.982260704040527,5.972897052764893,1.8867089748382568,1.5099777371381395,0.598283769279034,8.04261494536267,1.755422531388021,0.0951094850897789,0.013733282685279846,ResNet18,Object Classification,Supervised,PyTorch
6.257819255090341,0.051113028079271317,0.020774198696017265,0.2085687518119812,layer2.1.relu,11.405713081359863,4.863840103149414,11.259666442871094,4.348634243011475,5.89103889465332,1.7543317079544067,1.6111664978490292,0.6207404291266339,9.56241292363637,1.8709544867825738,0.08553316444158554,0.011956848204135895,ResNet18,Object Classification,Supervised,PyTorch
7.744803420304403,0.0854068398475647,0.015346985310316086,0.17836666107177734,layer3.0.relu,10.823533058166504,4.194738864898682,10.671751976013184,3.6209723949432373,6.472973346710205,1.7945842742919922,2.0383315476006905,0.7704950793202269,12.30447495322676,2.098061953691595,0.12992343306541443,0.01577223651111126,ResNet18,Object Classification,Supervised,PyTorch
8.406935258598388,0.07917115837335587,0.013738487847149372,0.1687828004360199,layer3.1.relu,10.020575523376465,4.208878040313721,9.83530044555664,3.539921522140503,6.600949287414551,1.7519906759262085,2.3362122873922395,0.9412511683214615,14.259842850444997,2.677435268616546,0.11802718043327332,0.01378922164440155,ResNet18,Object Classification,Supervised,PyTorch
9.24340392367898,0.12962667644023895,0.010532316751778126,0.1470736712217331,layer4.0.relu,9.871520042419434,4.047186851501465,9.780035018920898,3.7760870456695557,7.070019245147705,1.7410017251968384,2.724924509374921,1.070872970228907,16.99985294796921,3.366227870676563,0.18025316298007965,0.018284497782588005,ResNet18,Object Classification,Supervised,PyTorch
13.475467406034086,1.5967463254928589,0.00792181957513094,0.12706787884235382,layer4.1.relu,8.341005325317383,2.611607551574707,8.345136642456055,2.526172399520874,7.372219562530518,1.4674901962280273,3.378779560471527,0.9972527434047077,21.398716180880587,3.4785897934799435,2.1568410396575928,0.18595580756664276,ResNet18,Object Classification,Supervised,PyTorch
4.649902334579464,0.06558099389076233,0.0368359237909317,0.2815294861793518,layer1.0.relu,17.367794036865234,8.519378662109375,17.029165267944336,7.349094867706299,6.072798252105713,2.144528865814209,1.1322358890751212,0.4987022592381932,5.068042164442121,0.9367544069225567,0.10613992810249329,0.01957816630601883,ResNet50,Object Classification,Supervised,PyTorch
4.743151224025296,0.06500244140625,0.039641618728637695,0.2928871214389801,layer1.1.relu,16.974655151367188,8.603686332702637,16.592464447021484,7.264452934265137,6.095701217651367,2.1424710750579834,1.1754747766536846,0.5201181745484565,5.494829046618557,1.1339872012903287,0.10493606328964233,0.020057303830981255,ResNet50,Object Classification,Supervised,PyTorch
