accuracy (top 1),accuracy (top 5),MRR,log likelihood,n_train,i_repeat,layer,architecture,task,kind,source
0.0792,0.23,0.1739733348378697,-4.436100843191061,1,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1192,0.3276,0.23246570558279786,-4.4528849055900315,5,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.16,0.4248,0.2948039208883288,-4.66679412243669,20,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1848,0.4672,0.3258763942833153,-7.078752449317335,50,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0764,0.2352,0.1750398306994689,-4.320815221171353,1,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1268,0.3404,0.24441976140850835,-4.252044993633642,5,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1668,0.4224,0.2957958111563313,-4.669729555671958,20,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1984,0.4764,0.33618011067501385,-6.691220745464851,50,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0956,0.2652,0.1968306817253493,-4.2341400365327075,1,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1444,0.366,0.2633870206406963,-4.200089794166315,5,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.176,0.4376,0.3099735166121466,-4.6783365357428845,20,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.184,0.4676,0.32657951900308674,-6.732184909230607,50,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.074,0.2556,0.17715704765603887,-4.316508235858226,1,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.122,0.3496,0.24635999029132563,-4.201402002634623,5,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1748,0.426,0.30829986150450195,-4.596182479490544,20,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1968,0.4748,0.3340948243664863,-6.744846637698478,50,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0676,0.2412,0.16976738583691367,-4.4451540060446515,1,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1292,0.3588,0.2506799069529069,-4.153995669774471,5,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.176,0.4412,0.3090766130892317,-4.703201474929136,20,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch
