accuracy (top 1),accuracy (top 5),MRR,log likelihood,n_train,i_repeat,layer,architecture,task,kind,source
0.0776,0.2212,0.17173994068762644,-3.906068948796291,1,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1352,0.358,0.25452813240247424,-3.5097203190879505,5,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1988,0.4908,0.341793558959702,-3.125729886520253,20,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.24,0.5416,0.38603048555481184,-2.953084024064633,50,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0732,0.2292,0.16980945636004577,-3.866796316843912,1,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1244,0.3392,0.24341121063768523,-3.5539414669749525,5,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1924,0.4672,0.33307365683365303,-3.1594823150355045,20,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.252,0.536,0.39247084536460897,-2.9441387580749097,50,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.07,0.2532,0.17675507412226366,-3.881229938231415,1,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1404,0.3516,0.2587476757096883,-3.499806240738959,5,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.2056,0.4728,0.34233388252536767,-3.1498468830060564,20,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.2544,0.5472,0.39623153334193384,-2.9344970555826957,50,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0664,0.1988,0.1554459314089313,-3.9814152597974832,1,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1104,0.356,0.24131695276788942,-3.52825698744377,5,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.2012,0.4832,0.34050408560136947,-3.13317403606846,20,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.2396,0.538,0.38085418919316455,-2.9574177847134413,50,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0656,0.2128,0.1609519855171726,-3.9494982059392947,1,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1388,0.354,0.26072589901178644,-3.497630272896397,5,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.2068,0.4824,0.3445582633197872,-3.1435495975421075,20,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.246,0.5372,0.38902640383744747,-2.9400725555033134,50,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0628,0.2176,0.1585638097296455,-4.0344369535713325,1,5,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.128,0.3472,0.2479045661064718,-3.549505589338242,5,5,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1988,0.4664,0.33757881882758406,-3.166035266375841,20,5,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.252,0.5396,0.39169930183856677,-2.9528851500822455,50,5,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.06,0.2028,0.1553984969244648,-3.981541883104257,1,6,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1292,0.3488,0.2511954851953712,-3.510020720453754,5,6,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.21,0.486,0.3471481143318394,-3.140929469140831,20,6,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.2468,0.5468,0.3912324063284803,-2.9279852318969932,50,6,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0692,0.234,0.16970812924338272,-3.9175242362328304,1,7,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1328,0.3648,0.2587326335599035,-3.5010965244451655,5,7,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.2008,0.4868,0.3405529772366513,-3.1300353508000978,20,7,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.2468,0.5464,0.39022869651503556,-2.9106236667004923,50,7,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0712,0.2224,0.16455921532269632,-4.0238015437056145,1,8,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1368,0.3544,0.25740519090618963,-3.4909743295041205,5,8,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1972,0.4836,0.33542772903620677,-3.128931464593083,20,8,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.2348,0.546,0.38186970378190815,-2.9392715033148025,50,8,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.058,0.2164,0.1586671073027894,-3.972801633501568,1,9,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1324,0.3528,0.2535433484738059,-3.4970095181861907,5,9,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.2096,0.4896,0.3488177527167663,-3.118003758325587,20,9,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.262,0.5436,0.39950799242154017,-2.9218392264908646,50,9,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0836,0.2316,0.17829088109939553,-4.066660890103104,1,0,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1208,0.35,0.24313173527825516,-3.5262590736486685,5,0,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1768,0.4292,0.3094801678956303,-3.2909390652343835,20,0,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.224,0.5036,0.3632962708611901,-3.078489902907386,50,0,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0656,0.2228,0.16271912523678378,-4.0559386113633344,1,1,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.116,0.3356,0.23673843498297756,-3.5794234812454437,5,1,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1732,0.4384,0.30891125515044143,-3.289670553561138,20,1,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.2148,0.5008,0.3569474638847742,-3.087997112500509,50,1,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0652,0.2448,0.17064553932734278,-4.096966653779983,1,2,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1164,0.336,0.24047067408153439,-3.5496071705248724,5,2,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1672,0.4268,0.303172825603251,-3.307828174295657,20,2,layer1.1.relu,ResNet18,None,Untrained,PyTorch
