accuracy (top 1),accuracy (top 5),MRR,n_train,i_repeat,layer,architecture,task,kind,source
0.0596,0.1908,0.14575044868744363,1,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1072,0.292,0.21343776443388807,5,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1372,0.3644,0.2609759490606025,20,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1488,0.4012,0.2792719025036106,50,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0664,0.178,0.147974049386201,1,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.092,0.2528,0.1938950319724227,5,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.132,0.338,0.24736958779924859,20,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1388,0.3824,0.26572570168580667,50,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0748,0.2056,0.1630319307884061,1,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.112,0.3072,0.22623856657712285,5,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1328,0.35,0.25228853784263755,20,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1476,0.398,0.27627776454942693,50,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0568,0.2,0.14896308493328628,1,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1052,0.3016,0.21599971642471932,5,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1456,0.3636,0.26325983305128026,20,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1444,0.3856,0.27160909175592507,50,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0568,0.1896,0.14555260802938896,1,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1092,0.296,0.21821723215017513,5,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1412,0.3544,0.2582438232684844,20,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1524,0.3808,0.27514734610575875,50,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.062,0.1864,0.14769318723828392,1,5,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1,0.3092,0.2159242709550078,5,5,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.134,0.36,0.2564546894404648,20,5,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1392,0.3944,0.27156427656632115,50,5,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.064,0.2084,0.1560599953787519,1,6,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1136,0.286,0.22060988342907145,5,6,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.138,0.3736,0.2635028112098762,20,6,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1524,0.4036,0.2834404187972654,50,6,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0776,0.2004,0.16221250344210567,1,7,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1068,0.298,0.21871474582457084,5,7,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1412,0.374,0.26295207735360976,20,7,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1492,0.398,0.2797761662703886,50,7,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0712,0.1976,0.15803427508232895,1,8,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0976,0.2908,0.20650562261098027,5,8,layer1.0.relu,ResNet18,None,Untrained,PyTorch
