accuracy (top 1),accuracy (top 5),n_train,i_repeat,layer,architecture,task,kind,source,MRR
0.0672,0.2116,1,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch,0.1614504877991441
0.0924,0.2556,5,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch,0.1954404021945894
0.1148,0.304,20,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch,0.2249468657109972
0.128,0.3192,50,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch,0.239485721332901
0.0532,0.186,1,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch,0.1456162143882449
0.0708,0.2452,5,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch,0.1778543947814126
0.1216,0.2936,20,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch,0.2267840663353669
0.1224,0.3224,50,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch,0.2355573380300888
0.0712,0.228,1,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch,0.1654262120669456
0.094,0.258,5,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch,0.1975748850041249
0.1216,0.3052,20,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch,0.2319342629526737
0.1296,0.3264,50,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch,0.2415346755341236
0.0548,0.1756,1,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch,0.1416249275602447
0.0892,0.2652,5,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch,0.1936450745137607
0.1136,0.2996,20,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch,0.225529180772967
0.122,0.3312,50,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch,0.236679410770367
0.0476,0.176,1,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch,0.1376374839166411
0.0996,0.2716,5,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch,0.2029101218943461
0.1204,0.3096,20,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch,0.2290424894041756
0.1212,0.322,50,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch,0.2353462930991879
0.0568,0.182,1,5,layer1.0.relu,ResNet18,None,Untrained,PyTorch,0.1407286021832831
0.0892,0.2608,5,5,layer1.0.relu,ResNet18,None,Untrained,PyTorch,0.1902488335578905
0.1168,0.2972,20,5,layer1.0.relu,ResNet18,None,Untrained,PyTorch,0.223001173257401
0.1208,0.3128,50,5,layer1.0.relu,ResNet18,None,Untrained,PyTorch,0.2314889512155931
0.0592,0.1896,1,6,layer1.0.relu,ResNet18,None,Untrained,PyTorch,0.1475121604189946
0.0992,0.2612,5,6,layer1.0.relu,ResNet18,None,Untrained,PyTorch,0.1995897114065424
0.11,0.3028,20,6,layer1.0.relu,ResNet18,None,Untrained,PyTorch,0.222829019633297
0.128,0.3256,50,6,layer1.0.relu,ResNet18,None,Untrained,PyTorch,0.2401285604660956
0.0504,0.1916,1,7,layer1.0.relu,ResNet18,None,Untrained,PyTorch,0.143534889579529
0.1016,0.2716,5,7,layer1.0.relu,ResNet18,None,Untrained,PyTorch,0.2026760366438545
0.1216,0.3196,20,7,layer1.0.relu,ResNet18,None,Untrained,PyTorch,0.2344817593203803
0.126,0.3308,50,7,layer1.0.relu,ResNet18,None,Untrained,PyTorch,0.2415749078236762
0.0592,0.1792,1,8,layer1.0.relu,ResNet18,None,Untrained,PyTorch,0.1436765931943494
0.0972,0.2704,5,8,layer1.0.relu,ResNet18,None,Untrained,PyTorch,0.2019739357411398
0.1212,0.3196,20,8,layer1.0.relu,ResNet18,None,Untrained,PyTorch,0.2336651032899571
0.1224,0.33,50,8,layer1.0.relu,ResNet18,None,Untrained,PyTorch,0.2388777273165885
0.0564,0.1944,1,9,layer1.0.relu,ResNet18,None,Untrained,PyTorch,0.1486637262145635
0.0916,0.2552,5,9,layer1.0.relu,ResNet18,None,Untrained,PyTorch,0.1947929172297909
0.1188,0.3088,20,9,layer1.0.relu,ResNet18,None,Untrained,PyTorch,0.2299676586151242
0.1324,0.328,50,9,layer1.0.relu,ResNet18,None,Untrained,PyTorch,0.2438989594989562
0.0588,0.188,1,0,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.1496948685565979
0.0864,0.2452,5,0,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.1871475043693125
0.1068,0.2808,20,0,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.2134116642399217
0.1172,0.298,50,0,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.2244694528264101
0.0556,0.1844,1,1,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.1459804857447473
0.0684,0.2276,5,1,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.1680884584931748
0.0988,0.2784,20,1,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.206429624002427
0.108,0.2832,50,1,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.2146755114714132
0.0588,0.2152,1,2,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.1557539891123568
0.0888,0.2496,5,2,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.187832911637382
0.1028,0.2848,20,2,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.2109957292866137
0.112,0.2916,50,2,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.2189643675551056
0.0468,0.1652,1,3,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.1328725831216402
0.0768,0.2472,5,3,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.1798239332173777
0.1016,0.278,20,3,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.208797670056671
0.1072,0.2968,50,3,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.2168677036982128
0.0464,0.1732,1,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.1327585126425334
0.0876,0.256,5,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.1905216924099934
0.1076,0.2796,20,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.2119458504504895
0.1036,0.2856,50,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.215024492432423
0.0408,0.1668,1,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.1276044264211749
0.0804,0.2324,5,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.177257628687222
0.0952,0.274,20,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.202971240622817
0.1036,0.2952,50,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.2128994049783116
0.054,0.1788,1,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.1394850214337852
0.092,0.2416,5,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.1878742840905916
0.1032,0.2848,20,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.211123043505149
0.1128,0.3012,50,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.2232218403859933
0.0508,0.1804,1,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch,0.141240362848796
