accuracy (top 1),accuracy (top 5),MRR,n_train,i_repeat,layer,architecture,task,kind,source
0.0452,0.194,0.13967194174453867,1,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0796,0.2736,0.19028768365768967,5,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0844,0.2964,0.2059367682737185,20,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1048,0.3316,0.2285688920846158,50,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0508,0.202,0.14732549144767207,1,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0812,0.2604,0.1904688671216118,5,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1064,0.3192,0.22670714943328618,20,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1108,0.336,0.23439910221234617,50,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0552,0.1844,0.14260468014474967,1,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0888,0.2636,0.19202288836433862,5,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.096,0.3068,0.21583945109722744,20,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.106,0.3276,0.23042565051310326,50,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0548,0.1916,0.14652038837064532,1,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.074,0.2756,0.19100990908026846,5,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1144,0.3216,0.2342537520203407,20,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1196,0.3364,0.24052045117224746,50,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.044,0.1836,0.13587643551817427,1,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0912,0.2644,0.19610314451996738,5,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1048,0.3208,0.22504512034032087,20,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.11,0.3352,0.23127024983124125,50,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0604,0.2008,0.15312090451147017,1,5,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0832,0.2708,0.19211100576272142,5,5,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1076,0.324,0.2292525783452572,20,5,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1016,0.3428,0.22940667535890383,50,5,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.056,0.1788,0.1428754532383369,1,6,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0868,0.258,0.19086324554774706,5,6,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.094,0.3136,0.21668493822118998,20,6,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1056,0.3268,0.2283635505058297,50,6,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0536,0.1864,0.14191413410188414,1,7,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.088,0.268,0.19568269612935918,5,7,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1088,0.3188,0.2244927805640408,20,7,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1088,0.3392,0.2325789477188133,50,7,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0604,0.1932,0.14784461456204495,1,8,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0936,0.2764,0.20414018047430948,5,8,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1028,0.3268,0.224802999377571,20,8,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1104,0.3312,0.23271355180877118,50,8,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0552,0.218,0.15395299245414262,1,9,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0832,0.2672,0.19313784645250048,5,9,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.096,0.31,0.2148253826926627,20,9,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0968,0.316,0.22000426877206278,50,9,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0372,0.1784,0.1276484651421229,1,0,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0708,0.2544,0.18052609121949018,5,0,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0844,0.2692,0.19645643657135017,20,0,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0888,0.2884,0.2065700939259241,50,0,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0512,0.1904,0.14223446064103767,1,1,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0728,0.2412,0.17598059413607456,5,1,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0908,0.2864,0.20621016347569393,20,1,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1,0.3064,0.21746055994271718,50,1,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0536,0.1612,0.13473858019294502,1,2,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.084,0.2412,0.18284216548272303,5,2,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0876,0.2808,0.2016336093869219,20,2,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0924,0.3028,0.2101214456925939,50,2,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0516,0.1836,0.13926488884353122,1,3,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0672,0.2564,0.1761597098795555,5,3,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.102,0.3024,0.2161974499169694,20,3,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1056,0.3108,0.22181309747796735,50,3,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0452,0.1628,0.12938705466003833,1,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0784,0.2408,0.17736771177313387,5,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1004,0.286,0.2093653946598659,20,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1028,0.2972,0.21520919341303615,50,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0564,0.1844,0.14440572211594355,1,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.078,0.244,0.18054192761990476,5,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0984,0.3012,0.21175676736364163,20,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0892,0.3088,0.21151885429003256,50,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.052,0.168,0.1365277712744485,1,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0824,0.234,0.17997698332685186,5,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0872,0.276,0.20144818457162084,20,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0976,0.2968,0.2125212793264012,50,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0452,0.1636,0.13177291546431855,1,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.078,0.2364,0.17923153583467957,5,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0888,0.2868,0.2030388859263058,20,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0992,0.3068,0.21484078084114422,50,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0564,0.1776,0.1408461670630077,1,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.084,0.2532,0.18839666142760428,5,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0952,0.2964,0.20737012854202877,20,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.096,0.3044,0.21279985430139958,50,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0508,0.1972,0.1432907112831996,1,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0788,0.2428,0.18040153971993758,5,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0892,0.2756,0.19744444960080582,20,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.086,0.2884,0.2039492599855082,50,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0396,0.1628,0.12563875254540188,1,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0696,0.2556,0.17601549716619594,5,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0836,0.2572,0.19146613761959602,20,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0892,0.2824,0.20304402051977935,50,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0504,0.1864,0.14015154829657173,1,1,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0744,0.2324,0.17476545704891244,5,1,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0924,0.2784,0.2032895845691625,20,1,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0976,0.3004,0.21193148469423415,50,1,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0524,0.16,0.1317549660779463,1,2,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.082,0.2364,0.17931252561504113,5,2,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.084,0.2728,0.19490207419935274,20,2,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0884,0.2836,0.20176705289261462,50,2,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.052,0.178,0.13705650152881999,1,3,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0656,0.2424,0.17157730513219197,5,3,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0924,0.2976,0.20719565448062136,20,3,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1052,0.3036,0.21885607791358294,50,3,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0436,0.1624,0.1278515412022797,1,4,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.074,0.2272,0.1716165179561697,5,4,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.096,0.2748,0.20369446912682646,20,4,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.098,0.2876,0.2092365981364737,50,4,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0584,0.1768,0.14470313381110678,1,5,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0768,0.2368,0.17734945695340684,5,5,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0928,0.2836,0.20490110720089375,20,5,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.09,0.3044,0.205922097120379,50,5,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0472,0.1636,0.13318246408648246,1,6,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0768,0.2292,0.17506245172872695,5,6,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.086,0.268,0.19622622796101713,20,6,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0944,0.2868,0.20562257233639233,50,6,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0428,0.1612,0.12767433273942885,1,7,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0728,0.2304,0.17211375442460564,5,7,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0832,0.274,0.19524902204483563,20,7,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0896,0.2944,0.20439790184255882,50,7,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0564,0.1716,0.139891164990372,1,8,layer2.0.relu,ResNet18,None,Untrained,PyTorch
