accuracy (top 1),accuracy (top 5),MRR,n_train,i_repeat,layer,architecture,task,kind,source
0.052,0.1936,0.14392750011975203,1,0,features.1,AlexNet,None,Untrained,PyTorch
0.0752,0.2468,0.17939846846250093,5,0,features.1,AlexNet,None,Untrained,PyTorch
0.0816,0.2748,0.19665497371213903,20,0,features.1,AlexNet,None,Untrained,PyTorch
0.1028,0.3116,0.21955940873199312,50,0,features.1,AlexNet,None,Untrained,PyTorch
0.0512,0.1976,0.1428722203735116,1,1,features.1,AlexNet,None,Untrained,PyTorch
0.0796,0.2428,0.18259350661614793,5,1,features.1,AlexNet,None,Untrained,PyTorch
0.0968,0.288,0.2108459453619952,20,1,features.1,AlexNet,None,Untrained,PyTorch
0.1012,0.306,0.21999503191136532,50,1,features.1,AlexNet,None,Untrained,PyTorch
0.054,0.1776,0.14194255616935533,1,2,features.1,AlexNet,None,Untrained,PyTorch
0.0756,0.2512,0.18186407465585525,5,2,features.1,AlexNet,None,Untrained,PyTorch
0.0944,0.2976,0.2081837296478579,20,2,features.1,AlexNet,None,Untrained,PyTorch
0.09,0.3092,0.2114252152698254,50,2,features.1,AlexNet,None,Untrained,PyTorch
0.0564,0.1824,0.14348974052865196,1,3,features.1,AlexNet,None,Untrained,PyTorch
0.0692,0.254,0.17930358326188128,5,3,features.1,AlexNet,None,Untrained,PyTorch
0.096,0.3124,0.2144092225502345,20,3,features.1,AlexNet,None,Untrained,PyTorch
0.1076,0.308,0.225382056354253,50,3,features.1,AlexNet,None,Untrained,PyTorch
0.0448,0.172,0.13223106330164236,1,4,features.1,AlexNet,None,Untrained,PyTorch
0.0744,0.254,0.18183363953695525,5,4,features.1,AlexNet,None,Untrained,PyTorch
0.0964,0.3032,0.21421448662786552,20,4,features.1,AlexNet,None,Untrained,PyTorch
0.1004,0.318,0.2201569860663624,50,4,features.1,AlexNet,None,Untrained,PyTorch
0.0612,0.21,0.15484719116574647,1,5,features.1,AlexNet,None,Untrained,PyTorch
0.0648,0.2424,0.1708403677802528,5,5,features.1,AlexNet,None,Untrained,PyTorch
0.0884,0.3124,0.21207293493274515,20,5,features.1,AlexNet,None,Untrained,PyTorch
0.0992,0.326,0.22148921144333103,50,5,features.1,AlexNet,None,Untrained,PyTorch
0.0436,0.1704,0.1298831842270362,1,6,features.1,AlexNet,None,Untrained,PyTorch
0.0756,0.2476,0.1781978202055603,5,6,features.1,AlexNet,None,Untrained,PyTorch
0.0904,0.2912,0.20415759502199157,20,6,features.1,AlexNet,None,Untrained,PyTorch
0.0928,0.2932,0.21034961844498065,50,6,features.1,AlexNet,None,Untrained,PyTorch
0.0432,0.1672,0.13037437721193476,1,7,features.1,AlexNet,None,Untrained,PyTorch
0.0696,0.244,0.17816105353404849,5,7,features.1,AlexNet,None,Untrained,PyTorch
0.094,0.2812,0.203949394488122,20,7,features.1,AlexNet,None,Untrained,PyTorch
0.0864,0.3092,0.2078373933218174,50,7,features.1,AlexNet,None,Untrained,PyTorch
0.0572,0.1872,0.14532064523085753,1,8,features.1,AlexNet,None,Untrained,PyTorch
0.0776,0.2652,0.1859745469219734,5,8,features.1,AlexNet,None,Untrained,PyTorch
0.0944,0.3088,0.21514713889174777,20,8,features.1,AlexNet,None,Untrained,PyTorch
0.1024,0.3048,0.2187790455577661,50,8,features.1,AlexNet,None,Untrained,PyTorch
0.0552,0.2116,0.15185949166575144,1,9,features.1,AlexNet,None,Untrained,PyTorch
