accuracy (top 1),accuracy (top 5),MRR,log likelihood,n_train,i_repeat,layer,architecture,task,kind,source
0.0436,0.1644,0.12694761865197965,-4.843374670952023,1,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0488,0.1916,0.14298457198178605,-5.712790860277,5,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0484,0.208,0.15055852043121895,-7.652831940002256,20,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0368,0.2348,0.15406491740555298,-11.106072451922504,50,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0336,0.1372,0.11200217292198852,-5.138864081904706,1,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0488,0.1876,0.14096482016147524,-5.689934567569014,5,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0436,0.2124,0.14967695548307686,-13.408405726131518,20,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.04,0.2328,0.15435537380844142,-12.062645632473513,50,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0316,0.1424,0.11349515196830301,-5.186108102147999,1,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0468,0.1908,0.14089809148733234,-5.9096677130012,5,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0448,0.2264,0.15467336154911054,-11.001085526492353,20,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.03,0.23,0.14746852439277727,-12.575851445597449,50,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0408,0.1552,0.12349585340578173,-4.950516066701934,1,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.044,0.174,0.13416566345170522,-5.529352044290883,5,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.048,0.22,0.15248204863752352,-7.623931870621507,20,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0368,0.232,0.15234381710832656,-10.955933192979787,50,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0372,0.1368,0.1154561049145242,-5.14090539316668,1,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0476,0.1776,0.13784333742526628,-5.563477594645774,5,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0488,0.216,0.15220629873312183,-12.635935922563672,20,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.034,0.238,0.1511227025364343,-12.321174135504814,50,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.038,0.144,0.11801441251334138,-5.029050113844969,1,5,layer1.0.relu,ResNet18,None,Untrained,PyTorch
