accuracy (top 1),accuracy (top 5),MRR,log likelihood,n_train,i_repeat,layer,architecture,task,kind,source
0.048,0.1496,0.12767236551035868,-4.304177993734668,1,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.052,0.2132,0.15538131677667427,-3.912744174943282,5,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0696,0.2744,0.18551422805463952,-3.7070135254453263,20,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0624,0.2968,0.19190085723233233,-3.5976754230923196,50,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0428,0.1608,0.12584975929019016,-4.3196205707015,1,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0488,0.208,0.1488093440972682,-3.8775433812515425,5,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0668,0.272,0.1824864631994941,-3.68185682734461,20,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.07,0.2988,0.19729226388441917,-3.594451505843607,50,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0372,0.152,0.1218959389062971,-4.20230852831988,1,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0544,0.2072,0.15437226200106596,-3.8995147561872234,5,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.072,0.2768,0.18911784998203754,-3.7037630489504023,20,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0696,0.3004,0.19612834049017822,-3.6222719157972953,50,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.034,0.15,0.11876102025034958,-4.247223925788605,1,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0628,0.2212,0.162293408300505,-3.8802896341297397,5,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.07,0.2764,0.18668455601919903,-3.6870315036122236,20,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0672,0.3048,0.1985120369843142,-3.594038389134308,50,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0368,0.1456,0.11601528275357358,-4.401945679484647,1,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0536,0.206,0.15164786049337114,-3.881865329662788,5,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0588,0.2596,0.1759714996477324,-3.6993635521476476,20,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0612,0.2928,0.18853574810349394,-3.6158400898946907,50,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0384,0.148,0.11881352007784542,-4.333315748653325,1,5,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0596,0.2272,0.1609046161694639,-3.844393415417199,5,5,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0636,0.2608,0.17927980489857415,-3.706340322540381,20,5,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.064,0.2972,0.1914088280704592,-3.6237113865333135,50,5,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0404,0.1536,0.1230425109591226,-4.3224143427336745,1,6,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0504,0.2148,0.1511489047682841,-3.927312551071238,5,6,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0672,0.272,0.18237885684220165,-3.701528713484484,20,6,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.068,0.292,0.19252260801565663,-3.615170945821417,50,6,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0368,0.1508,0.11949005933686108,-4.265541695058223,1,7,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0516,0.2064,0.15090655991931792,-3.968767222570269,5,7,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0632,0.28,0.183073891043251,-3.69245922516703,20,7,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0696,0.312,0.20174242569373174,-3.573487552864624,50,7,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0356,0.1452,0.11919532700316988,-4.334294960223759,1,8,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0544,0.1928,0.1487441339931229,-3.960947260585577,5,8,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.064,0.2552,0.17492018665265782,-3.742432261068651,20,8,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0656,0.2772,0.1883132933805262,-3.668452065871224,50,8,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0376,0.1424,0.11869314406542356,-4.2341362032350185,1,9,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0564,0.2076,0.15305140464257697,-3.9195926657025426,5,9,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0656,0.242,0.1744653917455362,-3.747402836437172,20,9,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0652,0.2876,0.19051410308729805,-3.6245657869827985,50,9,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0396,0.158,0.12371227854492567,-4.538473130648638,1,0,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0508,0.2192,0.1546586128883564,-3.9884979063252803,5,0,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.062,0.2512,0.17352705658642986,-3.8867219215244817,20,0,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0612,0.2824,0.18406451793481385,-3.766964286903855,50,0,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0384,0.1524,0.1207975849357888,-4.576066979299754,1,1,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0448,0.2028,0.14465777409329197,-3.969200673463041,5,1,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0536,0.2508,0.16829552396980307,-3.843127032847636,20,1,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0632,0.2796,0.18250436830232164,-3.7101618726074492,50,1,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.036,0.1556,0.12191269536052969,-4.512622963840119,1,2,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.054,0.1992,0.15230032025813095,-4.041190611335015,5,2,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0568,0.2512,0.16893758581515858,-3.8733882073254264,20,2,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0644,0.2764,0.1850972296539909,-3.7240094547776463,50,2,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0332,0.1388,0.11484044791476188,-4.574227253062502,1,3,layer1.1.relu,ResNet18,None,Untrained,PyTorch
