accuracy (top 1),accuracy (top 5),MRR,n_train,i_repeat,layer,architecture,task,kind,source
0.0368,0.1448,0.11692683910501346,1,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.046,0.1896,0.1393143528950257,5,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0464,0.2036,0.14585634271432127,20,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0576,0.2208,0.15968096494150363,50,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0344,0.1372,0.11213782853526104,1,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0396,0.1852,0.13215983145083496,5,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0556,0.208,0.1528196094398539,20,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0588,0.2232,0.15881055515122716,50,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0324,0.1548,0.1145023960658961,1,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.05,0.176,0.13722824018385033,5,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0568,0.2104,0.1544354060849204,20,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0528,0.2196,0.15615727662678444,50,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0364,0.1368,0.1153956572937351,1,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0448,0.192,0.13737301469949567,5,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0592,0.228,0.16092180743896672,20,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0572,0.224,0.16004923889099967,50,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.028,0.1368,0.10757151902461141,1,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0448,0.1792,0.13331623918067356,5,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0536,0.2168,0.15574820355357144,20,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0612,0.224,0.16365668305096448,50,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0308,0.1344,0.11042784225004883,1,5,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0424,0.1792,0.13333970101378814,5,5,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0496,0.1996,0.14867370801860344,20,5,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.052,0.228,0.15811489522049507,50,5,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.032,0.1372,0.11065439084970814,1,6,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0348,0.1676,0.12487753882182435,5,6,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0544,0.2056,0.15264341884153515,20,6,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0512,0.2252,0.1554324563934573,50,6,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0336,0.1416,0.11426129723365341,1,7,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0364,0.174,0.12668261914105536,5,7,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0552,0.2088,0.15589882503296337,20,7,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0576,0.2316,0.16234692688417984,50,7,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0348,0.1524,0.11938032334855106,1,8,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0364,0.176,0.1292217106163584,5,8,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0452,0.2084,0.14623096615568715,20,8,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0536,0.2204,0.15726657679877004,50,8,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0292,0.114,0.10324278348297826,1,9,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0428,0.168,0.1330463887124582,5,9,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0508,0.2036,0.15080758206937964,20,9,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0552,0.2252,0.16157673191525787,50,9,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0356,0.1496,0.11663924648769146,1,0,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0464,0.1896,0.14220030242928292,5,0,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0528,0.2012,0.150841167779588,20,0,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0616,0.2256,0.1642353985210195,50,0,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0324,0.1408,0.11126967068929242,1,1,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0392,0.1716,0.13064428485800061,5,1,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.054,0.2004,0.15133562460709094,20,1,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0524,0.2224,0.15679033432678233,50,1,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0368,0.1528,0.11770909240814739,1,2,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0464,0.1756,0.13480117412292217,5,2,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0524,0.2192,0.1538156698052673,20,2,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.05,0.2304,0.15649507861096926,50,2,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0316,0.1476,0.11332277448645921,1,3,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.04,0.184,0.13460195822571866,5,3,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.06,0.2256,0.16199151901907527,20,3,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0528,0.2252,0.15827456088880346,50,3,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0268,0.134,0.1052050805356196,1,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0476,0.1812,0.13584338383795982,5,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0472,0.2232,0.15274609662371616,20,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0592,0.2252,0.1622965153727598,50,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0268,0.1412,0.10888291661055034,1,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0424,0.1868,0.13649709544546018,5,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0448,0.2028,0.145403248705223,20,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.056,0.2272,0.1589395875429056,50,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0308,0.1396,0.11212132316514901,1,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0388,0.1708,0.1286569837589625,5,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0524,0.208,0.15343193571941974,20,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0496,0.2212,0.1553735832542297,50,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0376,0.1468,0.11847219590678187,1,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.04,0.174,0.12927349374415054,5,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.056,0.218,0.15655609074436191,20,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0552,0.2296,0.1616908641636571,50,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0392,0.162,0.12357899384332574,1,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.04,0.1804,0.1344750876585454,5,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0524,0.2132,0.15201999922913353,20,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0524,0.2228,0.15712454415610655,50,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.026,0.1104,0.10025328954410437,1,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0468,0.1788,0.13678038756102673,5,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0468,0.2112,0.14942985079001714,20,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0544,0.2336,0.1628192814773137,50,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.036,0.1516,0.11816852900758464,1,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0516,0.194,0.14356663325750388,5,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch
