accuracy (top 1),accuracy (top 5),MRR,n_train,i_repeat,layer,architecture,task,kind,source
0.038,0.1472,0.11795024701661337,1,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0524,0.182,0.14091611552595354,5,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.048,0.2124,0.15097609174801058,20,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0572,0.2248,0.16088171521574612,50,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0388,0.1456,0.12111001127331747,1,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0508,0.1756,0.13865857632644746,5,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0616,0.2276,0.1613860490288809,20,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0588,0.2224,0.1588065080161774,50,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0364,0.1504,0.11940399728040318,1,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0472,0.1804,0.13897222526985892,5,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0476,0.2044,0.147601947347989,20,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0496,0.2188,0.15423689658180745,50,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0304,0.1356,0.11112235673873376,1,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0476,0.1776,0.13611060421328225,5,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0548,0.2212,0.1558547694256758,20,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0568,0.2132,0.15633663368736161,50,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0348,0.1268,0.11141981580545987,1,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0528,0.1852,0.14047089014697045,5,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0536,0.2104,0.15272563757905538,20,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0604,0.2204,0.1595057618730742,50,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0304,0.1308,0.10858472351272262,1,5,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0436,0.1768,0.13540713004884783,5,5,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0572,0.2212,0.15681039164616886,20,5,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0612,0.2276,0.16176065521884203,50,5,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0348,0.1392,0.1139971489490397,1,6,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0392,0.174,0.13025772547264455,5,6,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0528,0.2076,0.15041340017367405,20,6,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0532,0.2204,0.1553335680666572,50,6,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0348,0.1356,0.11490082463135345,1,7,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0544,0.1872,0.14435637666697756,5,7,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0564,0.2024,0.1520333587894163,20,7,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0644,0.2208,0.16415435371608458,50,7,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0332,0.1312,0.11122614632888167,1,8,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0548,0.182,0.14406372906952555,5,8,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0532,0.2048,0.15098946280268738,20,8,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0576,0.2208,0.1581310124043095,50,8,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0244,0.1236,0.1018092570439833,1,9,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0484,0.1856,0.1395536629688975,5,9,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0512,0.2232,0.1542507573196934,20,9,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0528,0.2204,0.15688014019110974,50,9,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0296,0.13,0.10845199244274534,1,0,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0472,0.1768,0.1351208849142677,5,0,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.052,0.2004,0.14822656210771468,20,0,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.05,0.2124,0.15055001062929474,50,0,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0328,0.1388,0.11260095572186829,1,1,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0388,0.1652,0.12603864977295828,5,1,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.052,0.1952,0.1461382125699417,20,1,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0488,0.198,0.145941992196728,50,1,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0304,0.1324,0.11016582238992864,1,2,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0448,0.1584,0.12967769183719546,5,2,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0468,0.1876,0.140270925900167,20,2,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0516,0.1996,0.1473103233409506,50,2,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0328,0.1432,0.11313592717060024,1,3,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0432,0.1616,0.12913636825671868,5,3,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0552,0.1996,0.14811656657076513,20,3,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0504,0.1992,0.14690953570829682,50,3,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0276,0.1252,0.10352362838498687,1,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0484,0.1668,0.13249777697561735,5,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.052,0.19,0.1444329715512131,20,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0584,0.2048,0.15123419609654187,50,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.028,0.1248,0.105593133291825,1,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0412,0.166,0.12932839270740495,5,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0556,0.202,0.1495113481982234,20,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0508,0.2024,0.1479025360478046,50,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0316,0.1244,0.10680344406980073,1,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.044,0.1644,0.13036482340223385,5,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0492,0.1944,0.14342116406621017,20,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0476,0.2052,0.14729900111562147,50,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.03,0.1316,0.10838280093093322,1,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0464,0.1772,0.13419818831061367,5,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0524,0.1868,0.14397113959891228,20,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0528,0.2104,0.15127586160000922,50,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0288,0.1336,0.10793887402875957,1,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.044,0.1704,0.13239786125017677,5,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0516,0.186,0.14334936816309526,20,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.054,0.2008,0.1488155136570705,50,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0248,0.1156,0.10052007052402626,1,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.038,0.1704,0.12850093463206763,5,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0504,0.2032,0.1472172036644312,20,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.05,0.2044,0.1492435235058186,50,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.028,0.1372,0.10846185882913596,1,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0452,0.1616,0.12940751575470172,5,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.052,0.1944,0.1450817357203228,20,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0512,0.2084,0.14900477767047376,50,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0284,0.1328,0.10763471523709077,1,1,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0368,0.154,0.12093916537434159,5,1,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0468,0.1816,0.13628514364905803,20,1,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0544,0.1932,0.145828725518795,50,1,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0296,0.1344,0.10897848867409414,1,2,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0348,0.1624,0.12443566180895056,5,2,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0412,0.1744,0.13234723780601748,20,2,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0468,0.1848,0.1408130968354363,50,2,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0296,0.1404,0.11131190492727648,1,3,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0412,0.1632,0.12728170738915695,5,3,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0536,0.1968,0.1472776664537095,20,3,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0456,0.1896,0.14176280818199014,50,3,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0228,0.1128,0.09818591142804134,1,4,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0424,0.1572,0.12423946573064952,5,4,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0416,0.1804,0.1335809819892094,20,4,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0456,0.194,0.14089573495784397,50,4,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.024,0.122,0.10156222428663503,1,5,layer2.0.relu,ResNet18,None,Untrained,PyTorch
