layer,score,score_error,model,benchmark,effective_dimensionality_dataset,effective_dimensionality_imagenet,model_type,region
logits,0.2670435653308705,0.001198400619720291,base=curvature filters (n=180)-type=engineered-zscore-1000components,bonner.Object2Vec.regression=lin,12.197068060794903,92.57292332578486,engineered,reliable
logits,0.2213452575507313,0.0010798010233862751,base=edge filters (n=180)-type=engineered-zscore-1000components,bonner.Object2Vec.regression=lin,9.41512511195165,50.05537350517653,engineered,reliable
logits,0.2905312193641747,0.001288534504358663,base=random filters (n=180)-type=engineered-zscore-1000components,bonner.Object2Vec.regression=lin,7.446007232296384,27.578760368479948,engineered,reliable
logits,0.1887598356286222,0.0009800803907718816,base=curvature filters (n=180)-type=engineered-1000components,bonner.Object2Vec.regression=lin,7.0588187459396705,7.873873488307533,engineered,reliable
logits,0.1103355642576512,0.0008819249699179684,base=edge filters (n=180)-type=engineered-1000components,bonner.Object2Vec.regression=lin,7.798720293432602,9.538119254879243,engineered,reliable
logits,0.22455749607207579,0.0010068686806830548,base=random filters (n=180)-type=engineered-1000components,bonner.Object2Vec.regression=lin,4.44047235300642,4.525785796365499,engineered,reliable
logits,0.13844700638102686,0.0010142619980516158,base=raw pixels-type=engineered-1000components,bonner.Object2Vec.regression=lin,8.624966809103906,9.117470464676916,engineered,reliable
conv1,0.28472368272417875,0.0011868909871623555,base=alexnet-type=supervised-zscore-1000components,bonner.Object2Vec.regression=lin,27.77332852875596,62.94765796468307,supervised,reliable
conv3,0.3420622473111135,0.0012324786089021546,base=alexnet-type=supervised-zscore-1000components,bonner.Object2Vec.regression=lin,42.155045097012305,170.8610374588182,supervised,reliable
conv5,0.34395933885948843,0.0012524588938685464,base=alexnet-type=supervised-zscore-1000components,bonner.Object2Vec.regression=lin,48.25643701995393,131.0418175461601,supervised,reliable
fc7,0.3327488867011984,0.0012285778057214548,base=alexnet-type=supervised-zscore-1000components,bonner.Object2Vec.regression=lin,36.82125183369466,229.83204545540787,supervised,reliable
block1,0.3076052726420741,0.001252925225960688,base=resnet50-type=supervised-zscore-1000components,bonner.Object2Vec.regression=lin,10.762921082263395,48.728309223012964,supervised,reliable
block2,0.33727470299026485,0.001284618110368626,base=resnet50-type=supervised-zscore-1000components,bonner.Object2Vec.regression=lin,16.85102093051158,105.62535938405334,supervised,reliable
block3,0.37031208109683017,0.0012534322223830697,base=resnet50-type=supervised-zscore-1000components,bonner.Object2Vec.regression=lin,40.702013131830334,150.96343877964935,supervised,reliable
block4,0.3704952120447624,0.001133514826690438,base=resnet50-type=supervised-zscore-1000components,bonner.Object2Vec.regression=lin,51.17729908446412,187.35290266433907,supervised,reliable
block1,0.29861677386911445,0.001211696732297752,base=resnet18-type=supervised-zscore-1000components,bonner.Object2Vec.regression=lin,14.905346893750659,40.53017731307298,supervised,reliable
block2,0.3491238876523139,0.0012701428166785713,base=resnet18-type=supervised-zscore-1000components,bonner.Object2Vec.regression=lin,27.91971835832083,95.14418655957896,supervised,reliable
block3,0.35811248702516413,0.001260797186753378,base=resnet18-type=supervised-zscore-1000components,bonner.Object2Vec.regression=lin,63.033605117117474,118.27160974048603,supervised,reliable
block4,0.34942150607228667,0.0011312682576000545,base=resnet18-type=supervised-zscore-1000components,bonner.Object2Vec.regression=lin,62.61737506958664,170.5378854240871,supervised,reliable
conv1,0.1964880731988466,0.001077144728853855,base=alexnet (untrained)-type=supervised-zscore-1000components,bonner.Object2Vec.regression=lin,9.994299464207312,19.233390590155388,supervised,reliable
conv3,0.23539844069508958,0.0010689320502906734,base=alexnet (untrained)-type=supervised-zscore-1000components,bonner.Object2Vec.regression=lin,6.967043999267492,13.405601550329044,supervised,reliable
conv5,0.23401718922143372,0.0010767478758631963,base=alexnet (untrained)-type=supervised-zscore-1000components,bonner.Object2Vec.regression=lin,8.746446265047895,15.875671830021266,supervised,reliable
fc7,0.20881349323750664,0.001100469043532817,base=alexnet (untrained)-type=supervised-zscore-1000components,bonner.Object2Vec.regression=lin,11.659498524298177,17.32570485951217,supervised,reliable
block1,0.220399787650924,0.001148062063608763,base=resnet50 (untrained)-type=supervised-zscore-1000components,bonner.Object2Vec.regression=lin,7.74487946664832,23.391938779488758,supervised,reliable
block2,0.24772414297013312,0.001120096975980516,base=resnet50 (untrained)-type=supervised-zscore-1000components,bonner.Object2Vec.regression=lin,6.563835207299089,33.47223237884626,supervised,reliable
block3,0.22985784895738193,0.0010551493051526094,base=resnet50 (untrained)-type=supervised-zscore-1000components,bonner.Object2Vec.regression=lin,5.608048544348533,60.919974788027936,supervised,reliable
block4,0.21397376384078984,0.0009887854784923385,base=resnet50 (untrained)-type=supervised-zscore-1000components,bonner.Object2Vec.regression=lin,5.785929229876039,28.25176587303287,supervised,reliable
block1,0.23838945679475748,0.001128862927502737,base=resnet18 (untrained)-type=supervised-zscore-1000components,bonner.Object2Vec.regression=lin,9.763388423139462,19.991783314731073,supervised,reliable
block2,0.26438289276685817,0.0011076424682463638,base=resnet18 (untrained)-type=supervised-zscore-1000components,bonner.Object2Vec.regression=lin,9.64686908012742,20.608048724224247,supervised,reliable
block3,0.25710572955932154,0.0011069498344090099,base=resnet18 (untrained)-type=supervised-zscore-1000components,bonner.Object2Vec.regression=lin,12.465565720068852,25.76083100564198,supervised,reliable
block4,0.2516511048104071,0.001102385174526888,base=resnet18 (untrained)-type=supervised-zscore-1000components,bonner.Object2Vec.regression=lin,16.92959812664385,51.386119419465906,supervised,reliable
conv1,0.2527109592634968,0.0011335011764261732,base=alexnet-type=supervised-1000components,bonner.Object2Vec.regression=lin,16.99570987652469,27.65924179012877,supervised,reliable
conv3,0.32384212364650866,0.0011798632667994256,base=alexnet-type=supervised-1000components,bonner.Object2Vec.regression=lin,33.67783005934383,139.34613635536041,supervised,reliable
