layer,score,score_error,model,benchmark,effective_dimensionality_dataset,effective_dimensionality_imagenet,model_type,region
logits,0.3251691158512847,0.004167464475118125,base=curvature filters (n=180)-type=engineered-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",12.197068060794903,92.57292332578486,engineered,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
logits,0.2664306901248623,0.00399723873093905,base=edge filters (n=180)-type=engineered-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",9.41512511195165,50.05537350517653,engineered,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
logits,0.3610416005394711,0.004519486474006351,base=random filters (n=180)-type=engineered-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",7.446007232296384,27.578760368479948,engineered,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
logits,0.2602023520432924,0.0034621897569215767,base=curvature filters (n=180)-type=engineered-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",7.0588187459396705,7.873873488307533,engineered,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
logits,0.15532052138100483,0.0032745496661719686,base=edge filters (n=180)-type=engineered-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",7.798720293432602,9.538119254879243,engineered,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
logits,0.28934300382565725,0.0038398956025683887,base=random filters (n=180)-type=engineered-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",4.44047235300642,4.525785796365499,engineered,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
logits,0.20055162486426514,0.0038877499205231232,base=raw pixels-type=engineered-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",8.624966809103906,9.117470464676916,engineered,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
conv1,0.3559223648333487,0.004318498499677164,base=alexnet-type=supervised-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",27.77332852875596,62.94765796468307,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
conv3,0.43591129156532066,0.004511800599412119,base=alexnet-type=supervised-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",42.155045097012305,170.8610374588182,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
conv5,0.4441617845802319,0.004683435477060868,base=alexnet-type=supervised-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",48.25643701995393,131.0418175461601,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
