layer,score,score_error,model,benchmark,effective_dimensionality_dataset,effective_dimensionality_imagenet,model_type,region,EBA,EVC,FFA,LOC,OFA,OPA,PFS,PPA,RSC,STS
logits,0.3251691158512847,0.0041674644751181,base=curvature filters (n=180)-type=engineered-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",12.197068060794903,92.57292332578486,engineered,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.32128133800832365,0.3808441152262106,0.26489234184864324,0.4470977494170288,0.40872659885768553,0.374104690131725,0.1991332672377828,0.34352470965423376,0.2187330641593644,0.24417986549665208
logits,0.2664306901248623,0.003997238730939,base=edge filters (n=180)-type=engineered-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",9.41512511195165,50.05537350517653,engineered,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.20668070705839608,0.2719909508767851,0.16355218305031255,0.3490328452161119,0.29853558186892654,0.3596277889125094,0.14519060276871595,0.35150849963695735,0.28695643231648765,0.17555137927097442
logits,0.3610416005394711,0.0045194864740063,base=random filters (n=180)-type=engineered-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",7.446007232296384,27.578760368479948,engineered,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.3181145508338684,0.3873702412871137,0.2818099880755498,0.4792960371105923,0.4168217342078185,0.46017530560730024,0.2657241173478587,0.44968042212602816,0.23008879530604007,0.25954169758658513
logits,0.2602023520432924,0.0034621897569215,base=curvature filters (n=180)-type=engineered-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",7.058818745939671,7.873873488307533,engineered,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.18890290182982428,0.18560588160508823,0.22111328726559648,0.30248239006170874,0.2750606815197685,0.3548510753273313,0.2569340169282285,0.3686670839568879,0.2491963438019031,0.09887745949818404
logits,0.1553205213810048,0.0032745496661719,base=edge filters (n=180)-type=engineered-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",7.798720293432602,9.538119254879245,engineered,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.16948593382887706,0.08013455475928107,0.16273264590723355,0.2636103215453728,0.21481604723228032,0.13233936681010824,0.17939975567925318,0.13536974451306602,0.10463959804267829,0.0388932971810428
logits,0.2893430038256572,0.0038398956025683,base=random filters (n=180)-type=engineered-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",4.44047235300642,4.525785796365499,engineered,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.30264319999950595,0.3062048788096392,0.2865234219738815,0.39626898685608425,0.3672017962722412,0.30678622757604773,0.20353138340152488,0.293679005640622,0.16092119114047612,0.2406871341150893
logits,0.2005516248642651,0.0038877499205231,base=raw pixels-type=engineered-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",8.624966809103906,9.117470464676916,engineered,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.26348161616866406,0.2098282199186052,0.2649946007766122,0.2468568504038064,0.290235230797194,0.12697325377505816,0.18317004111545454,0.11528688947804301,0.13424698559640033,0.12170462546868349
conv1,0.3559223648333487,0.0043184984996771,base=alexnet-type=supervised-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",27.77332852875596,62.94765796468307,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.3735904593661512,0.4398475494234588,0.33494737765771315,0.47599603277254954,0.4594175798076002,0.33966501477835775,0.29615942904487824,0.3386972093093025,0.18125166741075915,0.2626775519294669
conv3,0.4359112915653206,0.0045118005994121,base=alexnet-type=supervised-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",42.15504509701231,170.8610374588182,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.39688619127774005,0.4404063029094856,0.41160625634080394,0.5662347316630647,0.5487009576186477,0.46554602399104983,0.37895349031027015,0.5097544935914833,0.2676156966171353,0.2731070292560037
conv5,0.4441617845802319,0.0046834354770608,base=alexnet-type=supervised-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",48.25643701995393,131.0418175461601,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.3665070222651583,0.4246957489470182,0.36441202511006987,0.5854638725165254,0.5479169439273789,0.5447086372144183,0.38128351027831636,0.5550451952392814,0.30836073763553434,0.23221491285623364
fc7,0.4285390230463058,0.004689016967297,base=alexnet-type=supervised-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",36.82125183369466,229.8320454554079,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.39587142403802555,0.39021630556105424,0.34091485843879754,0.5891673984686044,0.544914954990247,0.5288259339673177,0.37682218730694395,0.4888584789589235,0.26412946296712103,0.2650907354678619
block1,0.3880351112788751,0.0044455070574538,base=resnet50-type=supervised-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",10.762921082263396,48.72830922301296,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.36316439982240495,0.4210379778097554,0.3591299573732024,0.5291344928944068,0.507293819983421,0.38015089046087747,0.34323904228571955,0.4018488518374806,0.22846201745496478,0.2820552431154132
block2,0.4218668469598877,0.0047516901139444,base=resnet50-type=supervised-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",16.85102093051158,105.62535938405334,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.3712552000599409,0.4332220533771032,0.3884693053116687,0.5743847597414906,0.547291751651023,0.4589436554322983,0.3759643148912605,0.4895757963292772,0.21392344033810712,0.27622819466465554
block3,0.464944610499433,0.0045365049395824,base=resnet50-type=supervised-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",40.702013131830334,150.96343877964935,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.4241168964671014,0.44916546425740944,0.4242636704549213,0.6147814418533513,0.5625919012230782,0.5437976741951976,0.4253786396694106,0.5297072946488313,0.2769345672853542,0.29262895086144397
block4,0.4614090228890297,0.0041089106477213,base=resnet50-type=supervised-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",51.17729908446412,187.35290266433907,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.46868844709880386,0.46670327050753607,0.4334890002437817,0.608738325237322,0.5432870764499549,0.5454990736098086,0.42613334861213903,0.472267134478221,0.23809293381193697,0.33140044423224035
block1,0.3707849896589998,0.0041096143599243,base=resnet18-type=supervised-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",14.90534689375066,40.53017731307298,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.33651156248934394,0.4455394678863532,0.30831638008997986,0.4675570787660333,0.4768338781663396,0.3702796715146475,0.298817795173318,0.41670463093865995,0.25135892774510205,0.2807235599476108
block2,0.4312065246069817,0.004562854893684,base=resnet18-type=supervised-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",27.91971835832083,95.14418655957896,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.37068800185152995,0.46284425992113454,0.3908950851879486,0.5792252278100508,0.5548245033010626,0.4644022533762409,0.38160197708315685,0.4768736607696581,0.2522956655760916,0.2946585080373071
block3,0.4463544602687438,0.0048702846534079,base=resnet18-type=supervised-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",63.033605117117474,118.27160974048604,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.4099995064658815,0.4136437697317831,0.39061553293268503,0.6087228035630359,0.5603850148299063,0.5461856531676093,0.3846494590273593,0.5228228172008162,0.24293649154700936,0.2831416080351592
block4,0.4327508526076318,0.0042972109528018,base=resnet18-type=supervised-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",62.61737506958664,170.5378854240871,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.4165122686123167,0.449531721877734,0.36722080729348855,0.5625448826865774,0.5084974646512035,0.551129196191718,0.3594572294624777,0.5015583236759515,0.22888152038255666,0.30192456204208723
conv1,0.2725655677785454,0.0042133556739493,base=alexnet (untrained)-type=supervised-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",9.994299464207312,19.233390590155388,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.3202937772457358,0.29752348438253373,0.32316124610178165,0.3736580152818477,0.38287602003358234,0.2451449434035476,0.2175829991089339,0.20697065484098606,0.13307796398161906,0.14916715659071322
conv3,0.3042408806922165,0.0042183476593791,base=alexnet (untrained)-type=supervised-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",6.967043999267492,13.405601550329044,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.31035330221675306,0.33228856609320845,0.3389334811720982,0.42691123660874786,0.403858538769961,0.35119026899023387,0.24570906608968973,0.2507683342497561,0.13951496053355938,0.14345247378524723
conv5,0.2997800845148894,0.0042124536197265,base=alexnet (untrained)-type=supervised-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",8.746446265047895,15.875671830021266,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.3309214162720759,0.3515166956528224,0.32004264689893147,0.4156398810131046,0.3841969337369287,0.33279995181420063,0.20374144896545654,0.2514338640685526,0.15149293813760464,0.1858811275942585
fc7,0.270436452157991,0.0043422305507096,base=alexnet (untrained)-type=supervised-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",11.659498524298176,17.32570485951217,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.29806629329881734,0.3280051477569732,0.28623727256149883,0.39033092417832727,0.36075981946953684,0.28259116762121816,0.19310880959907972,0.219624364722165,0.12246960091700426,0.1472899613706229
block1,0.2920600221244195,0.0041866422876112,base=resnet50 (untrained)-type=supervised-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",7.74487946664832,23.39193877948876,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.20493780145471388,0.398584674390093,0.26087523272207386,0.3616886755429056,0.3606801454862263,0.3922384660534829,0.24191683645579656,0.31288434688309574,0.16200116135116768,0.11416356218533386
block2,0.3262550605142681,0.0042162971459739,base=resnet50 (untrained)-type=supervised-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",6.563835207299089,33.47223237884626,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.30157564476859866,0.3497525431833288,0.3176228141684802,0.4653271226301724,0.4385768975188655,0.391142874555373,0.26486636994876206,0.29217772837597034,0.18307737427744403,0.1483424471717891
block3,0.3096100788336927,0.0040058945977906,base=resnet50 (untrained)-type=supervised-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",5.608048544348533,60.919974788027936,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.34188561357529895,0.30448704270295635,0.3297701540226378,0.4159137495637615,0.394302345766919,0.34093169306064974,0.24679334687476134,0.28536793904974106,0.1693215835881503,0.19933026183497232
block4,0.2356106055872956,0.0035712410860987,base=resnet50 (untrained)-type=supervised-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",5.785929229876039,28.25176587303287,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.2557063908008182,0.2872918068436196,0.2268232264170636,0.2496211650790289,0.2640664935308956,0.2945459504933867,0.15541567591465627,0.2908557329565914,0.12357616787388674,0.16292139347157622
block1,0.3169076915106888,0.0040642044122879,base=resnet18 (untrained)-type=supervised-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",9.763388423139462,19.991783314731077,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.26427034577056707,0.36184537287091023,0.30089339604905796,0.38796740565726795,0.3655603144083186,0.4314603159269137,0.265583496112621,0.3255313603061962,0.21250200411677733,0.14858953075763948
block2,0.3569838867419831,0.0040648558152704,base=resnet18 (untrained)-type=supervised-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",9.64686908012742,20.608048724224247,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.3189577263853344,0.3712638597581987,0.3435469044217634,0.46783051378172563,0.44371635551190725,0.4586956845327604,0.270467979365194,0.3539572452657818,0.26022911606197097,0.15704759917721442
