layer,score,score_error,model,benchmark,effective_dimensionality_dataset,effective_dimensionality_imagenet,region
encode_1,0.31324651930587677,0.003757143167519557,resnet18-supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",19.818357006303497,89.97359217845607,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_1.conv,0.2868700051511389,0.0038001989614414085,resnet18-supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",13.20726288723605,100.2374844587045,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_2,0.3641274250087293,0.004169499181655224,resnet18-supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",24.048256601556663,276.181491240111,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_3,0.38380432593832287,0.00432031991909337,resnet18-supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",30.01118666809185,623.8813004925357,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_4,0.4038790151220315,0.004472370816643194,resnet18-supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",31.914942865130826,525.4846251732583,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_5,0.4224854808326339,0.004606470688036846,resnet18-supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",30.108409586391286,676.2756978212252,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_6,0.4386257242496759,0.0045832581215793,resnet18-supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",34.12337120704819,359.13919457947935,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_7,0.4348551552862792,0.004598604264581432,resnet18-supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",26.272457535128275,439.2157757851501,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_8,0.43560212514649566,0.004639171242948122,resnet18-supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",32.3892748161692,427.5878502889277,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_9,0.44529134524951586,0.004393498573223638,resnet18-supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",51.25732520276732,313.8762749108132,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
