layer,score,score_error,model,benchmark,effective_dimensionality_dataset,effective_dimensionality_imagenet,region
encode_1,0.2316897463862426,0.0011186722082082887,resnet18-supervised-1000components,bonner.Object2Vec.regression=lin,19.818357006303497,89.97359217845607,reliable
encode_1.conv,0.21854354264183784,0.001056402938293342,resnet18-supervised-1000components,bonner.Object2Vec.regression=lin,13.20726288723605,100.2374844587045,reliable
encode_2,0.2822959308465287,0.0011556730003675203,resnet18-supervised-1000components,bonner.Object2Vec.regression=lin,24.048256601556663,276.181491240111,reliable
encode_3,0.3085949009182794,0.0011625434207672512,resnet18-supervised-1000components,bonner.Object2Vec.regression=lin,30.01118666809185,623.8813004925357,reliable
encode_4,0.31862175030020573,0.0011777723555112763,resnet18-supervised-1000components,bonner.Object2Vec.regression=lin,31.914942865130826,525.4846251732583,reliable
encode_5,0.32456215189259885,0.0012003419447724722,resnet18-supervised-1000components,bonner.Object2Vec.regression=lin,30.108409586391286,676.2756978212252,reliable
encode_6,0.347146517354164,0.0011984620491732499,resnet18-supervised-1000components,bonner.Object2Vec.regression=lin,34.12337120704819,359.13919457947935,reliable
encode_7,0.3466957971409974,0.001202649812028745,resnet18-supervised-1000components,bonner.Object2Vec.regression=lin,26.272457535128275,439.2157757851501,reliable
encode_8,0.33609099118472385,0.0012296682562716198,resnet18-supervised-1000components,bonner.Object2Vec.regression=lin,32.3892748161692,427.5878502889277,reliable
encode_9,0.35327255955508297,0.0011899949547692365,resnet18-supervised-1000components,bonner.Object2Vec.regression=lin,51.25732520276732,313.8762749108132,reliable
encode_3,0.27526702608275305,0.001196055405931989,resnet18-supervised-pool-1000components,bonner.Object2Vec.regression=lin,13.585599792920544,22.632205016444864,reliable
encode_5,0.30796633132708684,0.0012420119800304716,resnet18-supervised-pool-1000components,bonner.Object2Vec.regression=lin,24.770739834787584,61.26193023366035,reliable
encode_7,0.3516534834219982,0.0012132691207737264,resnet18-supervised-pool-1000components,bonner.Object2Vec.regression=lin,52.76316813835782,91.76927113928039,reliable
encode_9,0.3549629327498336,0.0012041302303980313,resnet18-supervised-pool-1000components,bonner.Object2Vec.regression=lin,61.02983387629889,155.8459847659157,reliable
encode_1,0.21683583923254468,0.0010883012963449027,resnet18-la-1000components,bonner.Object2Vec.regression=lin,14.190528984244041,57.01257891167812,reliable
encode_1.conv,0.19803691766106662,0.0010200222804639825,resnet18-la-1000components,bonner.Object2Vec.regression=lin,8.74087094419823,52.489866273237894,reliable
encode_2,0.2660301828768139,0.001132436217718357,resnet18-la-1000components,bonner.Object2Vec.regression=lin,16.06600140318216,216.9292577130078,reliable
encode_3,0.3051584236305444,0.001182048198995223,resnet18-la-1000components,bonner.Object2Vec.regression=lin,30.182270823072372,627.9908497171853,reliable
encode_4,0.31619589780788226,0.0011664235522168944,resnet18-la-1000components,bonner.Object2Vec.regression=lin,29.166491536868584,454.6930603965079,reliable
encode_5,0.33034623687997633,0.0011941828642477482,resnet18-la-1000components,bonner.Object2Vec.regression=lin,26.98118477651173,560.4546395422608,reliable
encode_6,0.33504496480612556,0.0011946116507391587,resnet18-la-1000components,bonner.Object2Vec.regression=lin,21.14760797747803,241.50848101711287,reliable
encode_7,0.3266209744389509,0.0011917134039414975,resnet18-la-1000components,bonner.Object2Vec.regression=lin,5.120354724628983,54.92261013825796,reliable
encode_8,0.3604853379868672,0.0011904843718900473,resnet18-la-1000components,bonner.Object2Vec.regression=lin,1.9935412667817416,16.04707199557393,reliable
encode_9,0.31991777947204947,0.001134885454331994,resnet18-la-1000components,bonner.Object2Vec.regression=lin,44.98646120923697,290.50594356437296,reliable
encode_3,0.27331781499914465,0.0011713939020686968,resnet18-la-pool-1000components,bonner.Object2Vec.regression=lin,14.148989260813005,21.115893248710478,reliable
encode_5,0.3361004045329108,0.0012364405448925086,resnet18-la-pool-1000components,bonner.Object2Vec.regression=lin,23.38239418798642,54.836266961273246,reliable
encode_7,0.3417851145373709,0.001188630875422024,resnet18-la-pool-1000components,bonner.Object2Vec.regression=lin,2.513186166129751,4.380190091979924,reliable
encode_9,0.32754596036738437,0.0011265222750622683,resnet18-la-pool-1000components,bonner.Object2Vec.regression=lin,45.86564272896818,118.40163479445803,reliable
encode_1,0.2251182315574317,0.0011057470619532687,resnet18-ir-1000components,bonner.Object2Vec.regression=lin,16.089952809945707,73.82007516352552,reliable
encode_1.conv,0.21971380615055458,0.001053666258146096,resnet18-ir-1000components,bonner.Object2Vec.regression=lin,11.885134713252077,103.61080027603973,reliable
encode_2,0.26239005612713784,0.0011429135421250013,resnet18-ir-1000components,bonner.Object2Vec.regression=lin,24.95939721844915,268.551229517882,reliable
encode_3,0.2902578818336393,0.0011889747709086314,resnet18-ir-1000components,bonner.Object2Vec.regression=lin,31.83868299669502,596.3459503478392,reliable
encode_4,0.3020612102977114,0.0011850739326844002,resnet18-ir-1000components,bonner.Object2Vec.regression=lin,29.716816596001664,404.5137761286565,reliable
encode_5,0.3131787894622436,0.0012023243314964462,resnet18-ir-1000components,bonner.Object2Vec.regression=lin,29.844939950626376,558.6391546108658,reliable
encode_6,0.3295823176893463,0.001196019211071476,resnet18-ir-1000components,bonner.Object2Vec.regression=lin,22.23990340789626,255.18624267231905,reliable
encode_7,0.3298641457943229,0.0011960837563673575,resnet18-ir-1000components,bonner.Object2Vec.regression=lin,7.508290678780839,139.03298585860742,reliable
encode_8,0.34282932878584926,0.0012247909578268434,resnet18-ir-1000components,bonner.Object2Vec.regression=lin,4.007043546039805,41.83629553713771,reliable
