layer,score,score_error,model,benchmark,effective_dimensionality_dataset,effective_dimensionality_imagenet,region
encode_1,0.25761802591962757,0.0011257673327115683,resnet18-supervised-1000components,bonner.Object2Vec.regression=pls,19.818357006303497,89.97359217845607,reliable
encode_1.conv,0.23921311824385982,0.0010710882053655455,resnet18-supervised-1000components,bonner.Object2Vec.regression=pls,13.20726288723605,100.2374844587045,reliable
encode_2,0.2913758494034655,0.0011647513007870037,resnet18-supervised-1000components,bonner.Object2Vec.regression=pls,24.048256601556663,276.181491240111,reliable
encode_3,0.32436961127721,0.001134217569068394,resnet18-supervised-1000components,bonner.Object2Vec.regression=pls,30.01118666809185,623.8813004925357,reliable
encode_4,0.3375407145229842,0.0011617196058485283,resnet18-supervised-1000components,bonner.Object2Vec.regression=pls,31.914942865130826,525.4846251732583,reliable
encode_5,0.3401024380984269,0.001152568320642441,resnet18-supervised-1000components,bonner.Object2Vec.regression=pls,30.108409586391286,676.2756978212252,reliable
encode_6,0.36052546728986334,0.0011506379420053434,resnet18-supervised-1000components,bonner.Object2Vec.regression=pls,34.12337120704819,359.13919457947935,reliable
encode_7,0.3663248239440721,0.0011742782420067514,resnet18-supervised-1000components,bonner.Object2Vec.regression=pls,26.272457535128275,439.2157757851501,reliable
encode_8,0.35979226606169956,0.0011695016117917278,resnet18-supervised-1000components,bonner.Object2Vec.regression=pls,32.3892748161692,427.5878502889277,reliable
encode_9,0.37108268332337774,0.001177372786242699,resnet18-supervised-1000components,bonner.Object2Vec.regression=pls,51.25732520276732,313.8762749108132,reliable
encode_3,0.28877528935685515,0.0012096042851059688,resnet18-supervised-pool-1000components,bonner.Object2Vec.regression=pls,13.585599792920544,22.632205016444864,reliable
encode_5,0.3485206195829975,0.0012428091987936995,resnet18-supervised-pool-1000components,bonner.Object2Vec.regression=pls,24.770739834787584,61.26193023366035,reliable
encode_7,0.37584362318709885,0.0011624145006997313,resnet18-supervised-pool-1000components,bonner.Object2Vec.regression=pls,52.76316813835782,91.76927113928039,reliable
encode_9,0.3706062553957671,0.0011704581279498502,resnet18-supervised-pool-1000components,bonner.Object2Vec.regression=pls,61.02983387629889,155.8459847659157,reliable
encode_1,0.24200104595862273,0.001105474797858881,resnet18-la-1000components,bonner.Object2Vec.regression=pls,14.190528984244041,57.01257891167812,reliable
encode_1.conv,0.21465193355656167,0.001068279907521415,resnet18-la-1000components,bonner.Object2Vec.regression=pls,8.74087094419823,52.489866273237894,reliable
encode_2,0.27710241522982515,0.0011277091240742949,resnet18-la-1000components,bonner.Object2Vec.regression=pls,16.06600140318216,216.9292577130078,reliable
encode_3,0.3235392515309622,0.0011531272851556238,resnet18-la-1000components,bonner.Object2Vec.regression=pls,30.182270823072372,627.9908497171853,reliable
encode_4,0.3324205224198412,0.0011412012589915312,resnet18-la-1000components,bonner.Object2Vec.regression=pls,29.166491536868584,454.6930603965079,reliable
encode_5,0.3535035964541295,0.0011607579891249544,resnet18-la-1000components,bonner.Object2Vec.regression=pls,26.98118477651173,560.4546395422608,reliable
encode_6,0.36068475235594005,0.0011687087697848917,resnet18-la-1000components,bonner.Object2Vec.regression=pls,21.14760797747803,241.50848101711287,reliable
encode_7,0.35291155378994205,0.0011517696381772291,resnet18-la-1000components,bonner.Object2Vec.regression=pls,5.120354724628983,54.92261013825796,reliable
encode_8,0.37930567660072734,0.0011572415291735494,resnet18-la-1000components,bonner.Object2Vec.regression=pls,1.9935412667817416,16.04707199557393,reliable
encode_9,0.3473425778080765,0.0011151971078495544,resnet18-la-1000components,bonner.Object2Vec.regression=pls,44.98646120923697,290.50594356437296,reliable
encode_3,0.28464212965497493,0.001181351784871818,resnet18-la-pool-1000components,bonner.Object2Vec.regression=pls,14.148989260813005,21.115893248710478,reliable
encode_5,0.35367559297330503,0.0012067068181318853,resnet18-la-pool-1000components,bonner.Object2Vec.regression=pls,23.38239418798642,54.836266961273246,reliable
encode_7,0.3492529159511657,0.0011750719069613417,resnet18-la-pool-1000components,bonner.Object2Vec.regression=pls,2.513186166129751,4.380190091979924,reliable
encode_9,0.3520500519797104,0.001117371877354498,resnet18-la-pool-1000components,bonner.Object2Vec.regression=pls,45.86564272896818,118.40163479445803,reliable
encode_1,0.2485687332430992,0.0011201854536850627,resnet18-ir-1000components,bonner.Object2Vec.regression=pls,16.089952809945707,73.82007516352552,reliable
encode_1.conv,0.2386007051180662,0.0010768740674123524,resnet18-ir-1000components,bonner.Object2Vec.regression=pls,11.885134713252077,103.61080027603973,reliable
encode_2,0.2725755369566417,0.0011455275035585637,resnet18-ir-1000components,bonner.Object2Vec.regression=pls,24.95939721844915,268.551229517882,reliable
encode_3,0.3090671322925108,0.0011780989851764788,resnet18-ir-1000components,bonner.Object2Vec.regression=pls,31.83868299669502,596.3459503478392,reliable
encode_4,0.3200705714295642,0.0011664160777415393,resnet18-ir-1000components,bonner.Object2Vec.regression=pls,29.716816596001664,404.5137761286565,reliable
encode_5,0.328308237275653,0.0011676904440916127,resnet18-ir-1000components,bonner.Object2Vec.regression=pls,29.844939950626376,558.6391546108658,reliable
encode_6,0.3529682629406399,0.0011684271565795914,resnet18-ir-1000components,bonner.Object2Vec.regression=pls,22.23990340789626,255.18624267231905,reliable
encode_7,0.35391303955398723,0.0011611589498905076,resnet18-ir-1000components,bonner.Object2Vec.regression=pls,7.508290678780839,139.03298585860742,reliable
encode_8,0.3686621985016556,0.0011873758999293134,resnet18-ir-1000components,bonner.Object2Vec.regression=pls,4.007043546039805,41.83629553713771,reliable
encode_9,0.3630408669618748,0.0011813840128851324,resnet18-ir-1000components,bonner.Object2Vec.regression=pls,45.492666301397875,279.09791794316965,reliable
encode_3,0.2751694839577237,0.0011874776733667232,resnet18-ir-pool-1000components,bonner.Object2Vec.regression=pls,15.104060217222935,24.432139026516452,reliable
encode_5,0.34449033101188314,0.0012363072568896752,resnet18-ir-pool-1000components,bonner.Object2Vec.regression=pls,24.161647514320318,65.10161674818562,reliable
encode_7,0.36622702046894434,0.0011196839254391513,resnet18-ir-pool-1000components,bonner.Object2Vec.regression=pls,4.362079495964393,12.699444129413768,reliable
encode_9,0.34976332656357956,0.0012480138339296537,resnet18-ir-pool-1000components,bonner.Object2Vec.regression=pls,48.80201025180074,107.44237363801153,reliable
encode_1,0.20408140722556764,0.0011661564005984444,resnet18-ae-1000components,bonner.Object2Vec.regression=pls,11.346105846246038,17.167193015301862,reliable
