layer,score,model,benchmark,effective_dimensionality_dataset,effective_dimensionality_imagenet,region
encode_1.conv,0.17794687552768904,resnet18-supervised-1000components,bonner.Object2Vec.RSA,13.20726288723605,100.2374844587045,reliable
encode_1,0.21095965434395825,resnet18-supervised-1000components,bonner.Object2Vec.RSA,19.818357006303497,89.97359217845607,reliable
encode_2,0.23558531380648373,resnet18-supervised-1000components,bonner.Object2Vec.RSA,24.048256601556663,276.181491240111,reliable
encode_3,0.2526226205171791,resnet18-supervised-1000components,bonner.Object2Vec.RSA,30.01118666809185,623.8813004925357,reliable
encode_4,0.2751987790520269,resnet18-supervised-1000components,bonner.Object2Vec.RSA,31.914942865130826,525.4846251732583,reliable
encode_5,0.2669791026606285,resnet18-supervised-1000components,bonner.Object2Vec.RSA,30.108409586391286,676.2756978212252,reliable
encode_6,0.30574668876752287,resnet18-supervised-1000components,bonner.Object2Vec.RSA,34.12337120704819,359.13919457947935,reliable
encode_7,0.31906163415716937,resnet18-supervised-1000components,bonner.Object2Vec.RSA,26.272457535128275,439.2157757851501,reliable
encode_8,0.333749406429526,resnet18-supervised-1000components,bonner.Object2Vec.RSA,32.3892748161692,427.5878502889277,reliable
encode_9,0.3646392815545162,resnet18-supervised-1000components,bonner.Object2Vec.RSA,51.25732520276732,313.8762749108132,reliable
encode_3,0.2807154818078983,resnet18-supervised-pool-1000components,bonner.Object2Vec.RSA,13.585599792920544,22.632205016444864,reliable
encode_5,0.2829293376020061,resnet18-supervised-pool-1000components,bonner.Object2Vec.RSA,24.770739834787584,61.26193023366035,reliable
encode_7,0.29495678620310123,resnet18-supervised-pool-1000components,bonner.Object2Vec.RSA,52.76316813835782,91.76927113928039,reliable
encode_9,0.33641077002112224,resnet18-supervised-pool-1000components,bonner.Object2Vec.RSA,61.02983387629889,155.8459847659157,reliable
encode_1.conv,0.1885745749522767,resnet18-la-1000components,bonner.Object2Vec.RSA,8.74087094419823,52.489866273237894,reliable
encode_1,0.22199733949392375,resnet18-la-1000components,bonner.Object2Vec.RSA,14.190528984244041,57.01257891167812,reliable
encode_2,0.24878663312545196,resnet18-la-1000components,bonner.Object2Vec.RSA,16.06600140318216,216.9292577130078,reliable
encode_3,0.2503017219037949,resnet18-la-1000components,bonner.Object2Vec.RSA,30.182270823072372,627.9908497171853,reliable
encode_4,0.25515465921020325,resnet18-la-1000components,bonner.Object2Vec.RSA,29.166491536868584,454.6930603965079,reliable
encode_5,0.2581369464508909,resnet18-la-1000components,bonner.Object2Vec.RSA,26.98118477651173,560.4546395422608,reliable
encode_6,0.2702114541373452,resnet18-la-1000components,bonner.Object2Vec.RSA,21.14760797747803,241.50848101711287,reliable
encode_7,0.16702247615894872,resnet18-la-1000components,bonner.Object2Vec.RSA,5.120354724628983,54.92261013825796,reliable
encode_8,0.13104591495071785,resnet18-la-1000components,bonner.Object2Vec.RSA,1.9935412667817416,16.04707199557393,reliable
encode_9,0.3204857520453187,resnet18-la-1000components,bonner.Object2Vec.RSA,44.98646120923697,290.50594356437296,reliable
encode_3,0.30435754686663397,resnet18-la-pool-1000components,bonner.Object2Vec.RSA,14.148989260813005,21.115893248710478,reliable
encode_5,0.3372147590694399,resnet18-la-pool-1000components,bonner.Object2Vec.RSA,23.38239418798642,54.836266961273246,reliable
encode_7,0.11530103455085303,resnet18-la-pool-1000components,bonner.Object2Vec.RSA,2.513186166129751,4.380190091979924,reliable
encode_9,0.2861599543787038,resnet18-la-pool-1000components,bonner.Object2Vec.RSA,45.86564272896818,118.40163479445803,reliable
encode_1.conv,0.1817919852875846,resnet18-ir-1000components,bonner.Object2Vec.RSA,11.885134713252077,103.61080027603973,reliable
encode_1,0.22631032484807384,resnet18-ir-1000components,bonner.Object2Vec.RSA,16.089952809945707,73.82007516352552,reliable
encode_2,0.23484203758296435,resnet18-ir-1000components,bonner.Object2Vec.RSA,24.95939721844915,268.551229517882,reliable
encode_3,0.23620068988403217,resnet18-ir-1000components,bonner.Object2Vec.RSA,31.83868299669502,596.3459503478392,reliable
encode_4,0.26181837583721485,resnet18-ir-1000components,bonner.Object2Vec.RSA,29.716816596001664,404.5137761286565,reliable
encode_5,0.2513759478785648,resnet18-ir-1000components,bonner.Object2Vec.RSA,29.844939950626376,558.6391546108658,reliable
encode_6,0.26785849475357815,resnet18-ir-1000components,bonner.Object2Vec.RSA,22.23990340789626,255.18624267231905,reliable
encode_7,0.17964902392336465,resnet18-ir-1000components,bonner.Object2Vec.RSA,7.508290678780839,139.03298585860742,reliable
encode_8,0.15703958105792326,resnet18-ir-1000components,bonner.Object2Vec.RSA,4.007043546039805,41.83629553713771,reliable
