layer,score,score_error,model,effective_dimensionality_dataset,effective_dimensionality_imagenet,region
encode_1,0.165980594499945,0.004600418883037112,resnet18-supervised,18.064687399164562,89.97359217845607,IT
encode_1.conv,0.10215632967797982,0.0034588796742030517,resnet18-supervised,10.904449143886053,100.2374844587045,IT
encode_2,0.2052693050484022,0.003969966774865819,resnet18-supervised,24.531935002152895,276.181491240111,IT
encode_3,0.21066236303799518,0.0028890526629135145,resnet18-supervised,44.643707289236325,623.8813004925357,IT
encode_4,0.2744991794003688,0.0032179380114246477,resnet18-supervised,51.701035956848,525.4846251732583,IT
encode_5,0.3069165635678491,0.0029144764834378267,resnet18-supervised,75.85653414397834,676.2756978212252,IT
encode_6,0.4385738463923803,0.0025409603505391486,resnet18-supervised,66.62226863073352,359.13919457947935,IT
encode_7,0.44679561951355856,0.003654133534905784,resnet18-supervised,59.454407384286576,439.2157757851501,IT
encode_8,0.44544196589169655,0.003568452322930317,resnet18-supervised,60.12960674644942,427.5878502889277,IT
encode_9,0.38809477001144244,0.003809958774025664,resnet18-supervised,44.78600237621766,313.8762749108132,IT
encode_1,0.1681115186822109,0.003912704488243272,resnet18-la,15.629796407496077,57.01257891167812,IT
encode_1.conv,0.08583752030494977,0.004089594702067943,resnet18-la,8.888408951335759,52.489866273237894,IT
encode_2,0.20379551670169896,0.00469069360444262,resnet18-la,16.242131137336656,216.9292577130078,IT
encode_3,0.19301043665223944,0.003732816929650964,resnet18-la,45.002326950180695,627.9908497171853,IT
encode_4,0.27329799099305846,0.004390355693288177,resnet18-la,48.755410326187096,454.6930603965079,IT
encode_5,0.2968359455974856,0.0029890762809727787,resnet18-la,52.962814571194905,560.4546395422608,IT
encode_6,0.4289429204103233,0.0017445445155815377,resnet18-la,43.07809806383003,241.50848101711287,IT
encode_7,0.458713530209422,0.0029179937109111236,resnet18-la,25.902364767907542,54.92261013825796,IT
encode_8,0.4903677034120198,0.002996908707312262,resnet18-la,8.275935838597222,16.04707199557393,IT
encode_9,0.4797730760192079,0.0034038938711111574,resnet18-la,45.72388266620264,290.50594356437296,IT
encode_1,0.16665975347422216,0.00450924453099006,resnet18-ir,18.028111698528942,73.82007516352552,IT
encode_1.conv,0.10132750367467323,0.003979480654509538,resnet18-ir,11.057272742272232,103.61080027603973,IT
encode_2,0.19434510935751198,0.005119465739216575,resnet18-ir,26.06061317992372,268.551229517882,IT
encode_3,0.1942603164893386,0.0035851076134154006,resnet18-ir,38.601394230233645,596.3459503478392,IT
encode_4,0.2743189282251035,0.0029314470416875508,resnet18-ir,40.66415354938452,404.5137761286565,IT
encode_5,0.28285491107534055,0.002543041202848101,resnet18-ir,56.181544830847756,558.6391546108658,IT
encode_6,0.41838101931728816,0.0017605591109587464,resnet18-ir,42.56790138926355,255.18624267231905,IT
encode_7,0.4362073345568034,0.0019176673848954938,resnet18-ir,43.17806672399647,139.03298585860742,IT
encode_8,0.45418906736940046,0.002740550130482165,resnet18-ir,33.97686187479745,41.83629553713771,IT
encode_9,0.45559217238575866,0.002091066968581362,resnet18-ir,45.55612494017423,279.09791794316965,IT
encode_1,0.1339495361320235,0.0050884379493987345,resnet18-ae,12.542082809925061,17.167193015301862,IT
encode_1.conv,0.10654004029217666,0.004158156730854823,resnet18-ae,10.65419394462166,15.147674372039473,IT
