layer,score,score_error,model,effective_dimensionality_dataset,effective_dimensionality_imagenet,region
encode_1,0.23360680977204382,0.0038303405734152586,resnet18-supervised,18.064687399164562,89.97359217845607,IT
encode_1.conv,0.18244431719425494,0.0035619529197117414,resnet18-supervised,10.904449143886053,100.2374844587045,IT
encode_2,0.2909968683469121,0.0031833296306828522,resnet18-supervised,24.531935002152895,276.181491240111,IT
encode_3,0.30652793197531314,0.00318020579487321,resnet18-supervised,44.643707289236325,623.8813004925357,IT
encode_4,0.3677651017437526,0.0027807822812268576,resnet18-supervised,51.701035956848,525.4846251732583,IT
encode_5,0.3975070476768962,0.002892604915583745,resnet18-supervised,75.85653414397834,676.2756978212252,IT
encode_6,0.5085014109143847,0.0036512311323212503,resnet18-supervised,66.62226863073352,359.13919457947935,IT
encode_7,0.5108053040358835,0.003817741098328356,resnet18-supervised,59.454407384286576,439.2157757851501,IT
encode_8,0.528498152506743,0.0038729797243327326,resnet18-supervised,60.12960674644942,427.5878502889277,IT
encode_9,0.4751504479512549,0.0035004206068207713,resnet18-supervised,44.78600237621766,313.8762749108132,IT
encode_1,0.2260769437418816,0.004127031619319611,resnet18-la,15.629796407496077,57.01257891167812,IT
encode_1.conv,0.15529570086761096,0.004832722985734557,resnet18-la,8.888408951335759,52.489866273237894,IT
encode_2,0.2784571887879943,0.003915847491165538,resnet18-la,16.242131137336656,216.9292577130078,IT
encode_3,0.29548266504294496,0.00468776960508889,resnet18-la,45.002326950180695,627.9908497171853,IT
encode_4,0.36703781717635525,0.004664075452020876,resnet18-la,48.755410326187096,454.6930603965079,IT
encode_5,0.38285316183097473,0.003700656959913677,resnet18-la,52.962814571194905,560.4546395422608,IT
encode_6,0.4813216585353691,0.0038131065251109336,resnet18-la,43.07809806383003,241.50848101711287,IT
encode_7,0.49320144222771556,0.003838208872206835,resnet18-la,25.902364767907542,54.92261013825796,IT
encode_8,0.5456523249126303,0.00300348943067557,resnet18-la,8.275935838597222,16.04707199557393,IT
encode_9,0.5474080353599766,0.0027973493923187463,resnet18-la,45.72388266620264,290.50594356437296,IT
encode_1,0.2283302317681975,0.004398872932623642,resnet18-ir,18.028111698528942,73.82007516352552,IT
encode_1.conv,0.1766663107516957,0.0035125602872683017,resnet18-ir,11.057272742272232,103.61080027603973,IT
encode_2,0.27689923623344626,0.003884915590557272,resnet18-ir,26.06061317992372,268.551229517882,IT
encode_3,0.2957970791216637,0.0035181618331596018,resnet18-ir,38.601394230233645,596.3459503478392,IT
encode_4,0.3623082978279175,0.0029801551651948265,resnet18-ir,40.66415354938452,404.5137761286565,IT
encode_5,0.3712556631294403,0.002664108287878099,resnet18-ir,56.181544830847756,558.6391546108658,IT
encode_6,0.46922935516450404,0.0037724482276007844,resnet18-ir,42.56790138926355,255.18624267231905,IT
encode_7,0.4864512972142484,0.003189557954973504,resnet18-ir,43.17806672399647,139.03298585860742,IT
encode_8,0.5293548615869648,0.0030365332470376136,resnet18-ir,33.97686187479745,41.83629553713771,IT
encode_9,0.5278096527261126,0.0035542576655986594,resnet18-ir,45.55612494017423,279.09791794316965,IT
encode_1,0.21874552820168677,0.004080335593488045,resnet18-ae,12.542082809925061,17.167193015301862,IT
encode_1.conv,0.17296606162111716,0.003981803370012002,resnet18-ae,10.65419394462166,15.147674372039473,IT
encode_2,0.22592707164790804,0.005018927270112673,resnet18-ae,16.59005433308759,27.480866041734213,IT
encode_3,0.24255368617403328,0.003933526021767546,resnet18-ae,18.574109074150094,32.11138963920859,IT
encode_4,0.2518497372948265,0.004231631300452106,resnet18-ae,24.804875499343787,43.63955789653345,IT
encode_5,0.2585115708786108,0.004114668334912853,resnet18-ae,30.003748229399317,47.07083575572173,IT
encode_6,0.2525881550979068,0.004540055706827295,resnet18-ae,35.54907491681423,49.80381899278779,IT
encode_7,0.23682180642715098,0.005499369759844363,resnet18-ae,43.262859698660456,42.156729809304046,IT
encode_8,0.21796290587008882,0.0047784300653469294,resnet18-ae,41.94152573217687,33.8992954669629,IT
encode_9,0.21170744190094784,0.0045807756056448,resnet18-ae,62.26804594789959,83.94592303074742,IT
encode_1,0.2245943460314723,0.0038038160309999806,resnet18-cpc,16.404558157485074,75.24962635343476,IT
encode_1.conv,0.1971180805645655,0.004364240305238605,resnet18-cpc,19.588064276122292,290.7572905216086,IT
encode_2,0.28460609354543365,0.0030367894478258756,resnet18-cpc,20.765005286072995,270.7773254856769,IT
encode_3,0.30635712866477893,0.002689022589015816,resnet18-cpc,17.268225957615908,224.7896254073912,IT
