layer,score,score_error,model,effective_dimensionality_dataset,effective_dimensionality_imagenet,region
encode_1,0.33568960098172373,0.003944406173150429,resnet18-supervised,19.818357006303497,89.97359217845607,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_1.conv,0.3039943482802332,0.004087363987669347,resnet18-supervised,13.20726288723605,100.2374844587045,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_2,0.386434147294676,0.0043979209683549705,resnet18-supervised,24.048256601556663,276.181491240111,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_3,0.4127194472503988,0.0044472476645267146,resnet18-supervised,30.01118666809185,623.8813004925357,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_4,0.43842651057925364,0.004371844554742855,resnet18-supervised,31.914942865130826,525.4846251732583,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_5,0.4592245322183233,0.0044953826170435005,resnet18-supervised,30.108409586391286,676.2756978212252,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_6,0.47477438074910305,0.004421878691361617,resnet18-supervised,34.12337120704819,359.13919457947935,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_7,0.47535912698564614,0.004400951244547451,resnet18-supervised,26.272457535128275,439.2157757851501,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_8,0.4763684022795953,0.004313995541908145,resnet18-supervised,32.3892748161692,427.5878502889277,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_9,0.49131806711246684,0.003952867953242461,resnet18-supervised,51.25732520276732,313.8762749108132,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_1,0.312936967785915,0.0037685421725527496,resnet18-la,14.190528984244041,57.01257891167812,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_1.conv,0.2744914032107206,0.004089479624504097,resnet18-la,8.74087094419823,52.489866273237894,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_2,0.35982202126310714,0.004129816002024125,resnet18-la,16.06600140318216,216.9292577130078,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_3,0.4148743123778582,0.004406131158516808,resnet18-la,30.182270823072372,627.9908497171853,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_4,0.4261563832813644,0.004663303878224432,resnet18-la,29.166491536868584,454.6930603965079,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_5,0.45021849593550456,0.0046957144650344815,resnet18-la,26.98118477651173,560.4546395422608,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_6,0.45889420653423085,0.004569548488863254,resnet18-la,21.14760797747803,241.50848101711287,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_7,0.4529801333216036,0.00452026876064866,resnet18-la,5.120354724628983,54.92261013825796,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_8,0.4897582467474658,0.004384745055134206,resnet18-la,1.9935412667817416,16.04707199557393,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_9,0.43824626209334455,0.004316555741045686,resnet18-la,44.98646120923697,290.50594356437296,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_1,0.3306678153794177,0.0038106868219728827,resnet18-ir,16.089952809945707,73.82007516352552,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_1.conv,0.3093269544370043,0.004238647127959903,resnet18-ir,11.885134713252077,103.61080027603973,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_2,0.36145582283846905,0.004151643222354073,resnet18-ir,24.95939721844915,268.551229517882,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_3,0.3954506449598986,0.004377112844108386,resnet18-ir,31.83868299669502,596.3459503478392,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_4,0.4178606193118889,0.004710979751427131,resnet18-ir,29.716816596001664,404.5137761286565,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_5,0.43079996252782427,0.004700518046062173,resnet18-ir,29.844939950626376,558.6391546108658,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_6,0.45159190927475706,0.004531055842008508,resnet18-ir,22.23990340789626,255.18624267231905,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_7,0.45471329886440315,0.004495961506330779,resnet18-ir,7.508290678780839,139.03298585860742,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_8,0.4765863876844845,0.004595653357898828,resnet18-ir,4.007043546039805,41.83629553713771,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_9,0.4853549464445255,0.004636117372302583,resnet18-ir,45.492666301397875,279.09791794316965,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_1,0.23651755677083305,0.004619172908737795,resnet18-ae,11.346105846246038,17.167193015301862,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_1.conv,0.23635190636208941,0.004550572074768326,resnet18-ae,9.06557679883299,15.147674372039473,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_2,0.2777973790538342,0.004928381082633267,resnet18-ae,14.005853524359958,27.480866041734213,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_3,0.2734292561388701,0.00503421464804402,resnet18-ae,15.773406111542345,32.11138963920859,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_4,0.2591779220820428,0.004814361064543528,resnet18-ae,17.161690249129894,43.63955789653345,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_5,0.23337766268069798,0.004849767434188305,resnet18-ae,14.577019670644361,47.07083575572173,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_6,0.23573238009983222,0.004812654021328077,resnet18-ae,14.625778128359018,49.80381899278779,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_7,0.2462156172004858,0.004933679242081785,resnet18-ae,12.94169878986603,42.156729809304046,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_8,0.23458453358718145,0.00489364659661088,resnet18-ae,14.787551254155808,33.8992954669629,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_9,0.256857147552572,0.004916210121052892,resnet18-ae,23.394746745116272,83.94592303074742,EVC+OPA+PPA+LOC+PFS+OFA+FFA
