layer,score,score_error,model,effective_dimensionality_dataset,effective_dimensionality_imagenet,region
encode_1,0.35183578697833595,0.003975430449874243,resnet18-supervised,19.818357006303497,89.97359217845607,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_1.conv,0.3300932095684222,0.004038315061535622,resnet18-supervised,13.20726288723605,100.2374844587045,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_2,0.394624965677966,0.004470013788198936,resnet18-supervised,24.048256601556663,276.181491240111,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_3,0.4228645123852044,0.004366389842764235,resnet18-supervised,30.01118666809185,623.8813004925357,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_4,0.45014639627420383,0.004312654831604191,resnet18-supervised,31.914942865130826,525.4846251732583,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_5,0.4676060598226047,0.004346381675588342,resnet18-supervised,30.108409586391286,676.2756978212252,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_6,0.48491828492036093,0.00415217778507587,resnet18-supervised,34.12337120704819,359.13919457947935,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_7,0.4877853320515557,0.004168266900525989,resnet18-supervised,26.272457535128275,439.2157757851501,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_8,0.49453556461869125,0.004070292624869064,resnet18-supervised,32.3892748161692,427.5878502889277,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_9,0.5099762162627248,0.003737187190307794,resnet18-supervised,51.25732520276732,313.8762749108132,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_1,0.32516202343377476,0.0039088080392974504,resnet18-la,14.190528984244041,57.01257891167812,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_1.conv,0.2949301340069923,0.004179752523845971,resnet18-la,8.74087094419823,52.489866273237894,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_2,0.3611350952786724,0.00419969703584081,resnet18-la,16.06600140318216,216.9292577130078,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_3,0.4260705954549264,0.004352014221206562,resnet18-la,30.182270823072372,627.9908497171853,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_4,0.43344313154620573,0.004592143599746121,resnet18-la,29.166491536868584,454.6930603965079,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_5,0.46240148207991966,0.004575669329300511,resnet18-la,26.98118477651173,560.4546395422608,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_6,0.47303101598970865,0.004513421924839402,resnet18-la,21.14760797747803,241.50848101711287,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_7,0.46434547704505147,0.0044122642486411874,resnet18-la,5.120354724628983,54.92261013825796,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_8,0.5026939129499158,0.004272273682955264,resnet18-la,1.9935412667817416,16.04707199557393,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_9,0.45581029921405214,0.004251070341376692,resnet18-la,44.98646120923697,290.50594356437296,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_1,0.34145522009191487,0.0038737247083913172,resnet18-ir,16.089952809945707,73.82007516352552,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_1.conv,0.3309437858458602,0.004265919118914264,resnet18-ir,11.885134713252077,103.61080027603973,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_2,0.3667794993205544,0.004147637008298645,resnet18-ir,24.95939721844915,268.551229517882,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_3,0.4110017246217148,0.004375673282437124,resnet18-ir,31.83868299669502,596.3459503478392,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_4,0.4309300825826661,0.004634480768386039,resnet18-ir,29.716816596001664,404.5137761286565,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_5,0.4418527273973519,0.004509973511245619,resnet18-ir,29.844939950626376,558.6391546108658,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_6,0.46800799754917854,0.004481318155796904,resnet18-ir,22.23990340789626,255.18624267231905,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_7,0.46690312421735536,0.004371038017637025,resnet18-ir,7.508290678780839,139.03298585860742,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_8,0.4900163740998139,0.004434577442896487,resnet18-ir,4.007043546039805,41.83629553713771,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_9,0.49215821990787456,0.004383632116986561,resnet18-ir,45.492666301397875,279.09791794316965,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_1,0.26206797125202724,0.00484901821252244,resnet18-ae,11.346105846246038,17.167193015301862,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_1.conv,0.2713772056084521,0.00462992629401371,resnet18-ae,9.06557679883299,15.147674372039473,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_2,0.3064638578124693,0.00498465072623413,resnet18-ae,14.005853524359958,27.480866041734213,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_3,0.3053899751395632,0.004981629864872553,resnet18-ae,15.773406111542345,32.11138963920859,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_4,0.29312891482409453,0.004937634039181868,resnet18-ae,17.161690249129894,43.63955789653345,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_5,0.2662986630101789,0.004716616692583712,resnet18-ae,14.577019670644361,47.07083575572173,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_6,0.2669224473780292,0.0046229286481032665,resnet18-ae,14.625778128359018,49.80381899278779,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_7,0.26821408432667826,0.004729971966150772,resnet18-ae,12.94169878986603,42.156729809304046,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_8,0.2691353539739444,0.004654481947917623,resnet18-ae,14.787551254155808,33.8992954669629,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_9,0.28106304695763595,0.004801622195708927,resnet18-ae,23.394746745116272,83.94592303074742,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_1,0.31581269352300245,0.004294379817527734,resnet18-cpc,18.696044132432597,75.24962635343476,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_1.conv,0.3488400336206775,0.004458416171259209,resnet18-cpc,21.87052965985079,290.7572905216086,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_2,0.35082166642998824,0.004325212934957987,resnet18-cpc,23.325088198646636,270.7773254856769,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_3,0.3798694460718318,0.004455522721659476,resnet18-cpc,12.742504915399877,224.7896254073912,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_4,0.39423403526889866,0.004447072929834168,resnet18-cpc,9.311902667838874,176.35589862976306,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_5,0.38121226292513094,0.004199416171172165,resnet18-cpc,4.805537283906857,82.60374219992657,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_6,0.38162789166473376,0.004283232889571195,resnet18-cpc,4.586607453980831,138.49029416863033,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_7,0.3599720425841946,0.003963018479645388,resnet18-cpc,4.340457971695588,167.62342022519124,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_8,0.30099632959569544,0.0036501520416070588,resnet18-cpc,2.4634548855109433,7.4813382511725255,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_9,0.3094089293583435,0.003641456276587382,resnet18-cpc,1.4180584511156757,1.7377031641892018,EVC+OPA+PPA+LOC+PFS+OFA+FFA
