layer,score,score_error,architecture,task,kind,source
layer1.0.relu,0.01677605265571438,0.00037939241856172807,ResNet18,None,Untrained,PyTorch
layer1.1.relu,0.014526818474101862,0.00032813052633633166,ResNet18,None,Untrained,PyTorch
layer2.0.relu,0.014178942777873484,0.00029423708034822415,ResNet18,None,Untrained,PyTorch
layer2.1.relu,0.014119575146636438,0.00026750831799705454,ResNet18,None,Untrained,PyTorch
layer3.0.relu,0.012090326921127962,0.0002388182431330842,ResNet18,None,Untrained,PyTorch
layer3.1.relu,0.009842924714071964,0.0002328319577306345,ResNet18,None,Untrained,PyTorch
layer4.0.relu,0.009144757592234888,0.0002479125207862328,ResNet18,None,Untrained,PyTorch
layer4.1.relu,0.007316886687801881,0.00024382194631738523,ResNet18,None,Untrained,PyTorch
layer1.0.relu,0.00862612508067901,0.0004635126405884618,ResNet50,None,Untrained,PyTorch
layer1.1.relu,0.0067969102425632635,0.00040572963164433673,ResNet50,None,Untrained,PyTorch
layer1.2.relu,0.006223176171324374,0.00031524215678510495,ResNet50,None,Untrained,PyTorch
layer2.0.relu,0.005373517180029809,0.0003186194659047293,ResNet50,None,Untrained,PyTorch
layer2.1.relu,0.004418670657008053,0.0003319939396475563,ResNet50,None,Untrained,PyTorch
layer2.2.relu,0.003624037481007509,0.0003076388304037185,ResNet50,None,Untrained,PyTorch
layer2.3.relu,0.002965756255985947,0.0003097659126679473,ResNet50,None,Untrained,PyTorch
layer3.0.relu,0.0027713177762324175,0.0002919875482217063,ResNet50,None,Untrained,PyTorch
layer3.1.relu,0.002546358787311673,0.0002832831751771627,ResNet50,None,Untrained,PyTorch
layer3.2.relu,0.0022282954331145676,0.0002658141161948345,ResNet50,None,Untrained,PyTorch
layer3.3.relu,0.002002555525616905,0.0002600170822242234,ResNet50,None,Untrained,PyTorch
layer3.4.relu,0.0017511652702800035,0.00026348318520593567,ResNet50,None,Untrained,PyTorch
layer3.5.relu,0.001595288639271869,0.0002645157517659072,ResNet50,None,Untrained,PyTorch
layer4.0.relu,0.0015158684252016582,0.00026726569263687335,ResNet50,None,Untrained,PyTorch
layer4.1.relu,0.0012957326006844164,0.0002619189569236689,ResNet50,None,Untrained,PyTorch
layer4.2.relu,0.0011940571661198458,0.00026225228219420863,ResNet50,None,Untrained,PyTorch
layer1.0.relu,0.016855174493585368,0.00033044257500510773,ResNet18,Object Classification,Supervised,PyTorch
layer1.1.relu,0.01513028645437874,0.00034961095883739873,ResNet18,Object Classification,Supervised,PyTorch
layer2.0.relu,0.019629631080224568,0.0004745235189075924,ResNet18,Object Classification,Supervised,PyTorch
layer2.1.relu,0.021476739033390244,0.0003966523112010281,ResNet18,Object Classification,Supervised,PyTorch
layer3.0.relu,0.037767962670738564,0.00041366667189963194,ResNet18,Object Classification,Supervised,PyTorch
layer3.1.relu,0.0380562769434933,0.000388814132149083,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu,0.09793349202704665,0.00034025864367955185,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu,0.13163513132634833,0.0004591388791553783,ResNet18,Object Classification,Supervised,PyTorch
layer1.0.relu,0.01640191989456877,0.00031796153282042115,ResNet50,Object Classification,Supervised,PyTorch
layer1.1.relu,0.014059387754205326,0.0003353872358076241,ResNet50,Object Classification,Supervised,PyTorch
layer1.2.relu,0.014344292590030512,0.00034026317150297354,ResNet50,Object Classification,Supervised,PyTorch
layer2.0.relu,0.02163153693657724,0.00040583881078248824,ResNet50,Object Classification,Supervised,PyTorch
layer2.1.relu,0.02212604942387814,0.000383799315036478,ResNet50,Object Classification,Supervised,PyTorch
layer2.2.relu,0.024517089535859963,0.00042214189917602455,ResNet50,Object Classification,Supervised,PyTorch
layer2.3.relu,0.02549256844838897,0.00042802563921573287,ResNet50,Object Classification,Supervised,PyTorch
layer3.0.relu,0.03374317563661405,0.0004448490775260185,ResNet50,Object Classification,Supervised,PyTorch
layer3.1.relu,0.03787116188396289,0.0004454156508802096,ResNet50,Object Classification,Supervised,PyTorch
layer3.2.relu,0.04003604015051665,0.000459510886733151,ResNet50,Object Classification,Supervised,PyTorch
layer3.3.relu,0.04136565412187993,0.00045857150377677557,ResNet50,Object Classification,Supervised,PyTorch
layer3.4.relu,0.043856703420261926,0.0004386997128856052,ResNet50,Object Classification,Supervised,PyTorch
layer3.5.relu,0.04371960504106708,0.0004391186820421904,ResNet50,Object Classification,Supervised,PyTorch
layer4.0.relu,0.07267189488196024,0.0004603236511414248,ResNet50,Object Classification,Supervised,PyTorch
layer4.1.relu,0.06516762780612426,0.0004074953979805028,ResNet50,Object Classification,Supervised,PyTorch
layer4.2.relu,0.09880562677349693,0.0005491271624114635,ResNet50,Object Classification,Supervised,PyTorch
encode_2,0.014323442091044261,0.00032079517650613655,ResNet18,Object Classification,Supervised,VVS
encode_3,0.01431540808933918,0.0003537436818558943,ResNet18,Object Classification,Supervised,VVS
encode_4,0.015876436170579357,0.00044699241356315096,ResNet18,Object Classification,Supervised,VVS
encode_5,0.021600740028674795,0.000381068534976642,ResNet18,Object Classification,Supervised,VVS
encode_6,0.04538691505021408,0.0003913391968235738,ResNet18,Object Classification,Supervised,VVS
encode_7,0.047007196837268214,0.0004381575850904758,ResNet18,Object Classification,Supervised,VVS
encode_8,0.09610561305969413,0.00033771866461529605,ResNet18,Object Classification,Supervised,VVS
encode_9,0.14398742513950688,0.00048209673792861394,ResNet18,Object Classification,Supervised,VVS
encode_2,0.009542969389034392,0.0002780471358433578,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_3,0.012958844049255866,0.0003174377927818026,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_4,0.016339979426063467,0.0003546952943773142,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_5,0.018477036781695672,0.0003714631868227141,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_6,0.03000538421379152,0.00038441628922698454,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_7,0.030176181501146614,0.00031070539931855895,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_8,0.028056028609643745,0.000319109718968222,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_9,0.1396647476694294,0.0002511544734528349,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_2,0.011249771082973235,0.000309433066118165,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_3,0.014679708318730111,0.0003969694617547025,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_4,0.016956768925880508,0.0003690865104114891,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_5,0.019061762077208888,0.00035844220859183347,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_6,0.03264595412953605,0.0003364266922666598,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_7,0.03859534372398132,0.00026291803820246957,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_8,0.047539672108958674,0.00022770234370729094,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_9,0.12485773098301813,0.00029951391195156684,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_2,0.017295970488706847,0.0005037218505984347,ResNet18,Auto-Encoder,Self-Supervised,VVS
encode_3,0.017333869109092154,0.0005012527738404157,ResNet18,Auto-Encoder,Self-Supervised,VVS
encode_4,0.017243735014407853,0.0004549784643586903,ResNet18,Auto-Encoder,Self-Supervised,VVS
encode_5,0.01835053359740204,0.00044138389753666153,ResNet18,Auto-Encoder,Self-Supervised,VVS
encode_6,0.015968122042743813,0.0004370030066504189,ResNet18,Auto-Encoder,Self-Supervised,VVS
encode_7,0.014709272200715936,0.00040625787654745353,ResNet18,Auto-Encoder,Self-Supervised,VVS
encode_8,0.01296271389724888,0.0004126475949043951,ResNet18,Auto-Encoder,Self-Supervised,VVS
encode_9,0.01193110411996032,0.00032150611737553436,ResNet18,Auto-Encoder,Self-Supervised,VVS
encode_2,0.01581680225403559,0.0004186064204126691,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
encode_3,0.013709776081847985,0.00039142429934507225,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
encode_4,0.016464034570181085,0.0004165379720650936,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
encode_5,0.014720171400039108,0.00042032529511661516,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
encode_6,0.01643663079162698,0.0003922760707479485,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
encode_7,0.01309463521279063,0.00040879247161253185,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
encode_8,0.010527017063296453,0.000245522399172081,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
