80% variance,alpha,effective dimensionality,layer,architecture,task,kind,source
47.0,0.18679309571724226,60.00485458544058,layer1.0.relu,ResNet18,None,Untrained,PyTorch
46.0,0.18972533882280374,59.811204557442366,layer1.1.relu,ResNet18,None,Untrained,PyTorch
87.0,0.2365677783347658,111.37333319667206,layer2.0.relu,ResNet18,None,Untrained,PyTorch
87.0,0.27056816830883257,109.7799214543353,layer2.1.relu,ResNet18,None,Untrained,PyTorch
143.0,0.668283566447471,53.039467074390565,layer3.0.relu,ResNet18,None,Untrained,PyTorch
154.0,0.3114014690592267,189.27836053807656,layer3.1.relu,ResNet18,None,Untrained,PyTorch
224.0,0.5888320338205428,213.49671042805164,layer4.0.relu,ResNet18,None,Untrained,PyTorch
233.0,0.4655170480229,246.87291465386545,layer4.1.relu,ResNet18,None,Untrained,PyTorch
155.0,0.34154061093662824,189.4625750557514,layer1.0.relu,ResNet50,None,Untrained,PyTorch
155.0,0.31263958156762756,191.18113605518664,layer1.1.relu,ResNet50,None,Untrained,PyTorch
155.0,1.233215591585983,189.18483513628047,layer1.2.relu,ResNet50,None,Untrained,PyTorch
230.0,1.1404469097235366,241.47331994293174,layer2.0.relu,ResNet50,None,Untrained,PyTorch
231.0,1.2823793297349557,244.43874627152326,layer2.1.relu,ResNet50,None,Untrained,PyTorch
232.0,0.4735936499267052,245.52449319579966,layer2.2.relu,ResNet50,None,Untrained,PyTorch
232.0,0.9503405194042303,247.16026965779002,layer2.3.relu,ResNet50,None,Untrained,PyTorch
83.0,1.7636168392819465,54.10371974690417,layer3.0.relu,ResNet50,None,Untrained,PyTorch
43.0,1.7176062106721375,20.41367834376666,layer3.1.relu,ResNet50,None,Untrained,PyTorch
36.0,1.9403751140746046,10.945746424533668,layer3.2.relu,ResNet50,None,Untrained,PyTorch
37.0,2.0015181546352054,10.26872231583425,layer3.3.relu,ResNet50,None,Untrained,PyTorch
43.0,1.9943705608284017,14.264258631632163,layer3.4.relu,ResNet50,None,Untrained,PyTorch
50.0,1.9589647123179057,26.028656253907975,layer3.5.relu,ResNet50,None,Untrained,PyTorch
396.0,1.5973543715986944,146.3875761988561,layer4.0.relu,ResNet50,None,Untrained,PyTorch
501.0,1.5876614704680578,165.8295432803481,layer4.1.relu,ResNet50,None,Untrained,PyTorch
540.0,1.5271637861228369,191.42563710538644,layer4.2.relu,ResNet50,None,Untrained,PyTorch
47.0,0.18299819535337422,60.01622670341633,layer1.0.relu,ResNet18,Object Classification,Supervised,PyTorch
47.0,0.18627625548317342,60.00506633751605,layer1.1.relu,ResNet18,Object Classification,Supervised,PyTorch
88.0,0.2275463202144961,112.31247398838929,layer2.0.relu,ResNet18,Object Classification,Supervised,PyTorch
87.0,0.23736072064405467,111.71438063489884,layer2.1.relu,ResNet18,Object Classification,Supervised,PyTorch
157.0,0.3045009910197185,192.23221854927095,layer3.0.relu,ResNet18,Object Classification,Supervised,PyTorch
157.0,0.3100864121911753,192.1186455175487,layer3.1.relu,ResNet18,Object Classification,Supervised,PyTorch
237.0,0.4615159707263938,250.67592179264196,layer4.0.relu,ResNet18,Object Classification,Supervised,PyTorch
238.0,0.46220763652942715,251.31119820445406,layer4.1.relu,ResNet18,Object Classification,Supervised,PyTorch
143.0,0.9997391842775276,177.63058840973582,layer1.0.relu,ResNet50,Object Classification,Supervised,PyTorch
152.0,1.093922406888203,186.77258153736457,layer1.1.relu,ResNet50,Object Classification,Supervised,PyTorch
156.0,0.30853475588808177,191.5763337942055,layer1.2.relu,ResNet50,Object Classification,Supervised,PyTorch
226.0,1.1485869436000884,249.42650618403295,layer2.0.relu,ResNet50,Object Classification,Supervised,PyTorch
237.0,1.1568940716581255,252.4745396933687,layer2.1.relu,ResNet50,Object Classification,Supervised,PyTorch
238.0,0.45927159771719533,252.58554739245517,layer2.2.relu,ResNet50,Object Classification,Supervised,PyTorch
238.0,0.4589118883922381,252.5640973974717,layer2.3.relu,ResNet50,Object Classification,Supervised,PyTorch
26.0,2.108179889461391,19.057858871532698,layer3.0.relu,ResNet50,Object Classification,Supervised,PyTorch
20.0,2.2697297005112818,27.92588840411797,layer3.1.relu,ResNet50,Object Classification,Supervised,PyTorch
21.0,2.170439796214077,28.13092228443669,layer3.2.relu,ResNet50,Object Classification,Supervised,PyTorch
20.0,2.36948467604978,27.502990998684353,layer3.3.relu,ResNet50,Object Classification,Supervised,PyTorch
21.0,1.864863775403907,28.082965523952236,layer3.4.relu,ResNet50,Object Classification,Supervised,PyTorch
21.0,1.8930612684591732,27.78825030799715,layer3.5.relu,ResNet50,Object Classification,Supervised,PyTorch
608.0,1.0363507780837058,726.8127318150647,layer4.0.relu,ResNet50,Object Classification,Supervised,PyTorch
606.0,1.050371580212486,716.894966739155,layer4.1.relu,ResNet50,Object Classification,Supervised,PyTorch
584.0,1.0790208863049,656.1976860461116,layer4.2.relu,ResNet50,Object Classification,Supervised,PyTorch
46.0,0.19857348246012843,59.76979126949534,encode_2,ResNet18,Object Classification,Supervised,VVS
47.0,0.18355837027536906,60.09508955117345,encode_3,ResNet18,Object Classification,Supervised,VVS
87.0,0.24551807934224484,111.54451857015168,encode_4,ResNet18,Object Classification,Supervised,VVS
88.0,0.23392240835403857,111.93769017561831,encode_5,ResNet18,Object Classification,Supervised,VVS
157.0,0.3036127699136115,192.74525803436632,encode_6,ResNet18,Object Classification,Supervised,VVS
157.0,0.30536158862985663,193.01539290026332,encode_7,ResNet18,Object Classification,Supervised,VVS
238.0,0.45857340704400085,252.77016404872364,encode_8,ResNet18,Object Classification,Supervised,VVS
238.0,0.460357657786262,252.75612915000679,encode_9,ResNet18,Object Classification,Supervised,VVS
47.0,0.19288563591935556,59.89019664632833,encode_2,ResNet18,Local Aggregation,Self-Supervised,VVS
46.0,0.19044138446787223,59.866679176931314,encode_3,ResNet18,Local Aggregation,Self-Supervised,VVS
