layer,score,score_error,architecture,task,kind,source
layer1.0.relu,0.12350413983122444,0.0042660447799883735,ResNet18,None,Untrained,PyTorch
layer1.1.relu,0.12389904685928262,0.002455140351546497,ResNet18,None,Untrained,PyTorch
layer2.0.relu,0.12873364093457795,0.0038406279733796058,ResNet18,None,Untrained,PyTorch
layer2.1.relu,0.14416378151284723,0.002974192591973391,ResNet18,None,Untrained,PyTorch
layer3.0.relu,0.14938054739355033,0.0035183538866188253,ResNet18,None,Untrained,PyTorch
layer3.1.relu,0.14875082839357107,0.0036569522873944227,ResNet18,None,Untrained,PyTorch
layer4.0.relu,0.13960886025291758,0.0036241292640355216,ResNet18,None,Untrained,PyTorch
layer4.1.relu,0.16271586889926826,0.005729794641253446,ResNet18,None,Untrained,PyTorch
layer1.0.relu,0.1479376346690784,0.004571060166675015,ResNet50,None,Untrained,PyTorch
layer1.1.relu,0.14766768596630558,0.0037758485535609636,ResNet50,None,Untrained,PyTorch
layer1.2.relu,0.14256604076767196,0.003519093540696351,ResNet50,None,Untrained,PyTorch
layer2.0.relu,0.1266339239381939,0.0034144178568972514,ResNet50,None,Untrained,PyTorch
layer2.1.relu,0.12933849945100362,0.004754863619308612,ResNet50,None,Untrained,PyTorch
layer2.2.relu,0.12651043356685132,0.005057449820602582,ResNet50,None,Untrained,PyTorch
layer2.3.relu,0.1168781691561908,0.0056521212224687496,ResNet50,None,Untrained,PyTorch
layer3.0.relu,0.08155389726560003,0.0052390254510955555,ResNet50,None,Untrained,PyTorch
layer3.1.relu,0.059727796881984346,0.005698787857584045,ResNet50,None,Untrained,PyTorch
layer3.2.relu,0.054764777643104855,0.0028349545543997576,ResNet50,None,Untrained,PyTorch
layer3.3.relu,0.053077948481867365,0.006923352051545931,ResNet50,None,Untrained,PyTorch
layer3.4.relu,0.06101577118966252,0.004560858460968566,ResNet50,None,Untrained,PyTorch
layer3.5.relu,0.05913662392995976,0.0027799412969243984,ResNet50,None,Untrained,PyTorch
layer4.0.relu,0.07451628301477826,0.006175494120100889,ResNet50,None,Untrained,PyTorch
layer4.1.relu,0.09344946403136166,0.007154776272760442,ResNet50,None,Untrained,PyTorch
layer4.2.relu,0.09770393816721802,0.0047986212829210706,ResNet50,None,Untrained,PyTorch
layer1.0.relu,0.17883105745552816,0.003085215987283514,ResNet18,Object Classification,Supervised,PyTorch
layer1.1.relu,0.17542299976293282,0.004070868747732149,ResNet18,Object Classification,Supervised,PyTorch
layer2.0.relu,0.22816330824924538,0.004090684392758879,ResNet18,Object Classification,Supervised,PyTorch
layer2.1.relu,0.2461556935755833,0.003395739869739476,ResNet18,Object Classification,Supervised,PyTorch
layer3.0.relu,0.31136645281966735,0.003457078167091172,ResNet18,Object Classification,Supervised,PyTorch
layer3.1.relu,0.3049348868314836,0.0034080978988205615,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu,0.39109136177143555,0.0036456417234271487,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu,0.3517491979687452,0.0036261558189355832,ResNet18,Object Classification,Supervised,PyTorch
layer1.0.relu,0.20341530675168387,0.003558789264209165,ResNet50,Object Classification,Supervised,PyTorch
layer1.1.relu,0.21737323370666017,0.0025655072035004065,ResNet50,Object Classification,Supervised,PyTorch
layer1.2.relu,0.22116488331461587,0.003476813392177712,ResNet50,Object Classification,Supervised,PyTorch
